,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,15,0.1,1,4,42.62295081967213,16.39344262295082,31.37254901960784
1,ckm_physicians,AND,15,0.1,1,7,96.2655601659751,15.352697095435685,95.58823529411765
2,er1,AND,15,0.1,1,3,100.0,15.0,100.0
3,er2,AND,15,0.1,1,4,99.4,15.0,99.29411764705883
4,er3,AND,15,0.1,1,6,96.5,15.0,95.88235294117646
5,er5,AND,15,0.1,1,5,97.6,15.0,97.17647058823529
6,eu_trans_1,AND,15,0.1,1,1,100.0,15.873015873015872,100.00000000000001
7,eu_transportation,AND,15,0.1,1,2,18.705035971223023,15.107913669064748,4.237288135593221
8,lazega,AND,15,0.1,1,3,100.0,15.492957746478872,100.0
9,sf1,AND,15,0.1,1,3,94.19999999999999,15.0,93.17647058823529
10,sf2,AND,15,0.1,1,4,68.7,15.0,63.1764705882353
11,sf3,AND,15,0.1,1,9,37.1,15.0,26.0
12,sf5,AND,15,0.1,1,9,39.5,15.0,28.823529411764707
13,aucs,AND,15,0.2,1,3,37.704918032786885,16.39344262295082,25.49019607843137
14,ckm_physicians,AND,15,0.2,1,15,96.2655601659751,15.352697095435685,95.58823529411765
15,er1,AND,15,0.2,1,4,100.0,15.0,100.0
16,er2,AND,15,0.2,1,5,99.4,15.0,99.29411764705883
17,er3,AND,15,0.2,1,7,96.5,15.0,95.88235294117646
18,er5,AND,15,0.2,1,11,97.6,15.0,97.17647058823529
19,eu_trans_1,AND,15,0.2,1,1,100.0,15.873015873015872,100.00000000000001
20,eu_transportation,AND,15,0.2,1,2,18.705035971223023,15.107913669064748,4.237288135593221
21,lazega,AND,15,0.2,1,5,100.0,15.492957746478872,100.0
22,sf1,AND,15,0.2,1,4,94.19999999999999,15.0,93.17647058823529
23,sf2,AND,15,0.2,1,5,68.7,15.0,63.1764705882353
24,sf3,AND,15,0.2,1,2,15.7,15.0,0.8235294117647051
25,sf5,AND,15,0.2,1,1,16.0,15.0,1.1764705882352942
26,aucs,AND,15,0.3,1,3,32.78688524590164,16.39344262295082,19.6078431372549
27,ckm_physicians,AND,15,0.3,1,5,49.37759336099585,15.352697095435685,40.19607843137255
28,er1,AND,15,0.3,1,5,100.0,15.0,100.0
29,er2,AND,15,0.3,1,7,99.4,15.0,99.29411764705883
30,er3,AND,15,0.3,1,16,96.5,15.0,95.88235294117646
31,er5,AND,15,0.3,1,3,17.5,15.0,2.9411764705882355
32,eu_trans_1,AND,15,0.3,1,1,100.0,15.873015873015872,100.00000000000001
33,eu_transportation,AND,15,0.3,1,2,18.465227817745802,15.107913669064748,3.954802259887004
34,lazega,AND,15,0.3,1,0,15.492957746478872,15.492957746478872,0.0
35,sf1,AND,15,0.3,1,5,94.19999999999999,15.0,93.17647058823529
36,sf2,AND,15,0.3,1,11,68.7,15.0,63.1764705882353
37,sf3,AND,15,0.3,1,1,15.2,15.0,0.235294117647058
38,sf5,AND,15,0.3,1,1,15.4,15.0,0.4705882352941181
39,aucs,AND,15,0.4,1,5,27.86885245901639,16.39344262295082,13.72549019607843
40,ckm_physicians,AND,15,0.4,1,5,22.821576763485478,15.352697095435685,8.823529411764707
41,er1,AND,15,0.4,1,10,100.0,15.0,100.0
42,er2,AND,15,0.4,1,5,22.1,15.0,8.352941176470589
43,er3,AND,15,0.4,1,2,17.4,15.0,2.8235294117647043
44,er5,AND,15,0.4,1,1,15.299999999999999,15.0,0.352941176470587
45,eu_trans_1,AND,15,0.4,1,1,100.0,15.873015873015872,100.00000000000001
46,eu_transportation,AND,15,0.4,1,1,17.985611510791365,15.107913669064748,3.389830508474574
47,lazega,AND,15,0.4,1,0,15.492957746478872,15.492957746478872,0.0
48,sf1,AND,15,0.4,1,5,20.599999999999998,15.0,6.588235294117644
49,sf2,AND,15,0.4,1,2,16.1,15.0,1.2941176470588251
50,sf3,AND,15,0.4,1,0,15.0,15.0,0.0
51,sf5,AND,15,0.4,1,0,15.0,15.0,0.0
52,aucs,AND,15,0.5,1,0,16.39344262295082,16.39344262295082,0.0
53,ckm_physicians,AND,15,0.5,1,1,17.842323651452283,15.352697095435685,2.9411764705882355
54,er1,AND,15,0.5,1,3,21.7,15.0,7.882352941176469
55,er2,AND,15,0.5,1,2,16.1,15.0,1.2941176470588251
56,er3,AND,15,0.5,1,2,15.299999999999999,15.0,0.352941176470587
57,er5,AND,15,0.5,1,0,15.0,15.0,0.0
58,eu_trans_1,AND,15,0.5,1,1,100.0,15.873015873015872,100.00000000000001
59,eu_transportation,AND,15,0.5,1,1,16.06714628297362,15.107913669064748,1.1299435028248581
60,lazega,AND,15,0.5,1,0,15.492957746478872,15.492957746478872,0.0
61,sf1,AND,15,0.5,1,3,17.4,15.0,2.8235294117647043
62,sf2,AND,15,0.5,1,1,15.4,15.0,0.4705882352941181
63,sf3,AND,15,0.5,1,0,15.0,15.0,0.0
64,sf5,AND,15,0.5,1,0,15.0,15.0,0.0
65,aucs,AND,15,0.6,1,0,16.39344262295082,16.39344262295082,0.0
66,ckm_physicians,AND,15,0.6,1,1,17.842323651452283,15.352697095435685,2.9411764705882355
67,er1,AND,15,0.6,1,2,19.900000000000002,15.0,5.764705882352944
68,er2,AND,15,0.6,1,2,15.8,15.0,0.9411764705882362
69,er3,AND,15,0.6,1,1,15.1,15.0,0.117647058823529
70,er5,AND,15,0.6,1,0,15.0,15.0,0.0
71,eu_trans_1,AND,15,0.6,1,1,100.0,15.873015873015872,100.00000000000001
72,eu_transportation,AND,15,0.6,1,1,16.06714628297362,15.107913669064748,1.1299435028248581
73,lazega,AND,15,0.6,1,0,15.492957746478872,15.492957746478872,0.0
74,sf1,AND,15,0.6,1,2,17.2,15.0,2.5882352941176463
75,sf2,AND,15,0.6,1,1,15.4,15.0,0.4705882352941181
76,sf3,AND,15,0.6,1,0,15.0,15.0,0.0
77,sf5,AND,15,0.6,1,0,15.0,15.0,0.0
78,aucs,AND,15,0.7,1,0,16.39344262295082,16.39344262295082,0.0
79,ckm_physicians,AND,15,0.7,1,1,17.012448132780083,15.352697095435685,1.9607843137254897
80,er1,AND,15,0.7,1,1,16.5,15.0,1.7647058823529411
81,er2,AND,15,0.7,1,0,15.0,15.0,0.0
82,er3,AND,15,0.7,1,0,15.0,15.0,0.0
83,er5,AND,15,0.7,1,0,15.0,15.0,0.0
84,eu_trans_1,AND,15,0.7,1,1,100.0,15.873015873015872,100.00000000000001
85,eu_transportation,AND,15,0.7,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
86,lazega,AND,15,0.7,1,0,15.492957746478872,15.492957746478872,0.0
87,sf1,AND,15,0.7,1,1,15.4,15.0,0.4705882352941181
88,sf2,AND,15,0.7,1,1,15.1,15.0,0.117647058823529
89,sf3,AND,15,0.7,1,0,15.0,15.0,0.0
90,sf5,AND,15,0.7,1,0,15.0,15.0,0.0
91,aucs,AND,15,0.8,1,0,16.39344262295082,16.39344262295082,0.0
92,ckm_physicians,AND,15,0.8,1,1,17.012448132780083,15.352697095435685,1.9607843137254897
93,er1,AND,15,0.8,1,1,15.9,15.0,1.058823529411765
94,er2,AND,15,0.8,1,0,15.0,15.0,0.0
95,er3,AND,15,0.8,1,0,15.0,15.0,0.0
96,er5,AND,15,0.8,1,0,15.0,15.0,0.0
97,eu_trans_1,AND,15,0.8,1,1,100.0,15.873015873015872,100.00000000000001
98,eu_transportation,AND,15,0.8,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
99,lazega,AND,15,0.8,1,0,15.492957746478872,15.492957746478872,0.0
100,sf1,AND,15,0.8,1,1,15.1,15.0,0.117647058823529
101,sf2,AND,15,0.8,1,0,15.0,15.0,0.0
102,sf3,AND,15,0.8,1,0,15.0,15.0,0.0
103,sf5,AND,15,0.8,1,0,15.0,15.0,0.0
104,aucs,AND,15,0.9,1,0,16.39344262295082,16.39344262295082,0.0
105,ckm_physicians,AND,15,0.9,1,1,17.012448132780083,15.352697095435685,1.9607843137254897
106,er1,AND,15,0.9,1,1,15.9,15.0,1.058823529411765
107,er2,AND,15,0.9,1,0,15.0,15.0,0.0
108,er3,AND,15,0.9,1,0,15.0,15.0,0.0
109,er5,AND,15,0.9,1,0,15.0,15.0,0.0
110,eu_trans_1,AND,15,0.9,1,1,100.0,15.873015873015872,100.00000000000001
111,eu_transportation,AND,15,0.9,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
112,lazega,AND,15,0.9,1,0,15.492957746478872,15.492957746478872,0.0
113,sf1,AND,15,0.9,1,1,15.1,15.0,0.117647058823529
114,sf2,AND,15,0.9,1,0,15.0,15.0,0.0
115,sf3,AND,15,0.9,1,0,15.0,15.0,0.0
116,sf5,AND,15,0.9,1,0,15.0,15.0,0.0
117,aucs,AND,20,0.1,1,4,68.85245901639344,21.311475409836063,60.416666666666664
118,ckm_physicians,AND,20,0.1,1,6,96.2655601659751,20.33195020746888,95.3125
119,er1,AND,20,0.1,1,3,100.0,20.0,100.0
120,er2,AND,20,0.1,1,4,99.4,20.0,99.25000000000001
121,er3,AND,20,0.1,1,6,96.5,20.0,95.625
122,er5,AND,20,0.1,1,4,97.7,20.0,97.125
123,eu_trans_1,AND,20,0.1,1,1,100.0,20.634920634920633,100.0
124,eu_transportation,AND,20,0.1,1,1,22.062350119904075,20.14388489208633,2.402402402402401
