,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,OR,1,0.1,1,3,100.0,1.639344262295082,100.0
1,ckm_physicians,OR,1,0.1,1,4,85.47717842323651,1.2448132780082988,85.29411764705881
2,er1,OR,1,0.1,1,5,100.0,1.0,100.0
3,er2,OR,1,0.1,1,4,100.0,1.0,100.0
4,er3,OR,1,0.1,1,3,100.0,1.0,100.0
5,er5,OR,1,0.1,1,3,100.0,1.0,100.0
6,eu_trans_1,OR,1,0.1,1,1,100.0,1.5873015873015872,99.99999999999999
7,eu_transportation,OR,1,0.1,1,5,100.0,1.1990407673860912,100.00000000000001
8,lazega,OR,1,0.1,1,4,100.0,1.4084507042253522,100.0
9,sf1,OR,1,0.1,1,5,93.2,1.0,93.13131313131314
10,sf2,OR,1,0.1,1,4,80.10000000000001,1.0,79.89898989898991
11,sf3,OR,1,0.1,1,4,88.0,1.0,87.87878787878788
12,sf5,OR,1,0.1,1,3,98.9,1.0,98.88888888888889
13,aucs,OR,1,0.2,1,4,100.0,1.639344262295082,100.0
14,ckm_physicians,OR,1,0.2,1,5,85.47717842323651,1.2448132780082988,85.29411764705881
15,er1,OR,1,0.2,1,13,100.0,1.0,100.0
16,er2,OR,1,0.2,1,6,100.0,1.0,100.0
17,er3,OR,1,0.2,1,4,100.0,1.0,100.0
18,er5,OR,1,0.2,1,4,100.0,1.0,100.0
19,eu_trans_1,OR,1,0.2,1,1,100.0,1.5873015873015872,99.99999999999999
20,eu_transportation,OR,1,0.2,1,5,100.0,1.1990407673860912,100.00000000000001
21,lazega,OR,1,0.2,1,0,1.4084507042253522,1.4084507042253522,0.0
22,sf1,OR,1,0.2,1,2,2.7,1.0,1.7171717171717173
23,sf2,OR,1,0.2,1,8,80.10000000000001,1.0,79.89898989898991
24,sf3,OR,1,0.2,1,6,88.0,1.0,87.87878787878788
25,sf5,OR,1,0.2,1,4,98.9,1.0,98.88888888888889
26,aucs,OR,1,0.3,1,5,100.0,1.639344262295082,100.0
27,ckm_physicians,OR,1,0.3,1,5,85.47717842323651,1.2448132780082988,85.29411764705881
28,er1,OR,1,0.3,1,2,1.9,1.0,0.909090909090909
29,er2,OR,1,0.3,1,14,100.0,1.0,100.0
30,er3,OR,1,0.3,1,6,100.0,1.0,100.0
