,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,15,0.1,1,4,75.40983606557377,16.39344262295082,70.58823529411765
1,ckm_physicians,AND,15,0.1,1,6,88.38174273858921,15.352697095435685,86.27450980392156
2,er1,AND,15,0.1,1,3,100.0,15.0,100.0
3,er2,AND,15,0.1,1,4,99.4,15.0,99.29411764705883
4,er3,AND,15,0.1,1,7,96.5,15.0,95.88235294117646
5,er5,AND,15,0.1,1,6,97.6,15.0,97.17647058823529
6,eu_trans_1,AND,15,0.1,1,1,100.0,15.873015873015872,100.00000000000001
7,eu_transportation,AND,15,0.1,1,1,18.94484412470024,15.107913669064748,4.519774011299434
8,lazega,AND,15,0.1,1,2,100.0,15.492957746478872,100.0
9,sf1,AND,15,0.1,1,3,93.10000000000001,15.0,91.88235294117648
10,sf2,AND,15,0.1,1,3,62.6,15.0,56.0
11,sf3,AND,15,0.1,1,3,26.900000000000002,15.0,14.000000000000004
12,sf5,AND,15,0.1,1,5,35.5,15.0,24.11764705882353
13,aucs,AND,15,0.2,1,4,62.295081967213115,16.39344262295082,54.90196078431372
14,ckm_physicians,AND,15,0.2,1,10,80.91286307053942,15.352697095435685,77.45098039215685
15,er1,AND,15,0.2,1,4,100.0,15.0,100.0
16,er2,AND,15,0.2,1,6,99.4,15.0,99.29411764705883
17,er3,AND,15,0.2,1,10,96.5,15.0,95.88235294117646
18,er5,AND,15,0.2,1,3,18.3,15.0,3.8823529411764715
19,eu_trans_1,AND,15,0.2,1,1,100.0,15.873015873015872,100.00000000000001
20,eu_transportation,AND,15,0.2,1,1,18.705035971223023,15.107913669064748,4.237288135593221
21,lazega,AND,15,0.2,1,3,100.0,15.492957746478872,100.0
22,sf1,AND,15,0.2,1,3,93.10000000000001,15.0,91.88235294117648
23,sf2,AND,15,0.2,1,3,62.6,15.0,56.0
24,sf3,AND,15,0.2,1,5,25.8,15.0,12.705882352941176
25,sf5,AND,15,0.2,1,9,30.0,15.0,17.647058823529413
26,aucs,AND,15,0.3,1,3,40.98360655737705,16.39344262295082,29.411764705882355
27,ckm_physicians,AND,15,0.3,1,7,55.601659751037346,15.352697095435685,47.549019607843135
28,er1,AND,15,0.3,1,5,100.0,15.0,100.0
29,er2,AND,15,0.3,1,10,99.3,15.0,99.17647058823529
30,er3,AND,15,0.3,1,4,22.7,15.0,9.058823529411763
31,er5,AND,15,0.3,1,2,16.3,15.0,1.529411764705883
32,eu_trans_1,AND,15,0.3,1,1,100.0,15.873015873015872,100.00000000000001
33,eu_transportation,AND,15,0.3,1,1,18.465227817745802,15.107913669064748,3.954802259887004
34,lazega,AND,15,0.3,1,1,16.901408450704224,15.492957746478872,1.6666666666666667
35,sf1,AND,15,0.3,1,3,93.10000000000001,15.0,91.88235294117648
36,sf2,AND,15,0.3,1,4,62.6,15.0,56.0
37,sf3,AND,15,0.3,1,4,21.9,15.0,8.117647058823527
38,sf5,AND,15,0.3,1,4,20.5,15.0,6.470588235294118
39,aucs,AND,15,0.4,1,4,29.508196721311474,16.39344262295082,15.686274509803921
40,ckm_physicians,AND,15,0.4,1,5,24.896265560165975,15.352697095435685,11.274509803921568
41,er1,AND,15,0.4,1,10,31.900000000000002,15.0,19.882352941176475
42,er2,AND,15,0.4,1,4,18.7,15.0,4.352941176470588
43,er3,AND,15,0.4,1,2,16.3,15.0,1.529411764705883
44,er5,AND,15,0.4,1,0,15.0,15.0,0.0
45,eu_trans_1,AND,15,0.4,1,1,100.0,15.873015873015872,100.00000000000001
46,eu_transportation,AND,15,0.4,1,1,18.225419664268586,15.107913669064748,3.672316384180791
47,lazega,AND,15,0.4,1,0,15.492957746478872,15.492957746478872,0.0
48,sf1,AND,15,0.4,1,6,93.10000000000001,15.0,91.88235294117648
49,sf2,AND,15,0.4,1,10,62.6,15.0,56.0
50,sf3,AND,15,0.4,1,4,16.900000000000002,15.0,2.2352941176470615
51,sf5,AND,15,0.4,1,3,16.3,15.0,1.529411764705883
52,aucs,AND,15,0.5,1,0,16.39344262295082,16.39344262295082,0.0
53,ckm_physicians,AND,15,0.5,1,2,17.012448132780083,15.352697095435685,1.9607843137254897
54,er1,AND,15,0.5,1,2,17.7,15.0,3.1764705882352935
55,er2,AND,15,0.5,1,1,15.9,15.0,1.058823529411765
56,er3,AND,15,0.5,1,2,15.4,15.0,0.4705882352941181
57,er5,AND,15,0.5,1,0,15.0,15.0,0.0
