,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,OR,1,0.1,1,3,100.0,1.639344262295082,100.0
1,ckm_physicians,OR,1,0.1,1,4,68.46473029045643,1.2448132780082988,68.0672268907563
2,er1,OR,1,0.1,1,5,100.0,1.0,100.0
3,er2,OR,1,0.1,1,4,100.0,1.0,100.0
4,er3,OR,1,0.1,1,4,100.0,1.0,100.0
5,er5,OR,1,0.1,1,3,100.0,1.0,100.0
6,eu_trans_1,OR,1,0.1,1,1,100.0,1.5873015873015872,99.99999999999999
7,eu_transportation,OR,1,0.1,1,4,100.0,1.1990407673860912,100.00000000000001
8,lazega,OR,1,0.1,1,3,100.0,1.4084507042253522,100.0
9,sf1,OR,1,0.1,1,4,93.10000000000001,1.0,93.03030303030303
10,sf2,OR,1,0.1,1,3,79.9,1.0,79.6969696969697
11,sf3,OR,1,0.1,1,3,87.8,1.0,87.67676767676768
12,sf5,OR,1,0.1,1,3,98.8,1.0,98.78787878787878
13,aucs,OR,1,0.2,1,5,100.0,1.639344262295082,100.0
14,ckm_physicians,OR,1,0.2,1,5,68.46473029045643,1.2448132780082988,68.0672268907563
15,er1,OR,1,0.2,1,14,100.0,1.0,100.0
16,er2,OR,1,0.2,1,7,100.0,1.0,100.0
17,er3,OR,1,0.2,1,5,100.0,1.0,100.0
18,er5,OR,1,0.2,1,4,100.0,1.0,100.0
19,eu_trans_1,OR,1,0.2,1,1,100.0,1.5873015873015872,99.99999999999999
20,eu_transportation,OR,1,0.2,1,5,100.0,1.1990407673860912,100.00000000000001
21,lazega,OR,1,0.2,1,1,4.225352112676056,1.4084507042253522,2.857142857142857
22,sf1,OR,1,0.2,1,5,93.10000000000001,1.0,93.03030303030303
23,sf2,OR,1,0.2,1,4,79.9,1.0,79.6969696969697
24,sf3,OR,1,0.2,1,4,87.8,1.0,87.67676767676768
25,sf5,OR,1,0.2,1,3,98.8,1.0,98.78787878787878
26,aucs,OR,1,0.3,1,7,100.0,1.639344262295082,100.0
27,ckm_physicians,OR,1,0.3,1,6,68.46473029045643,1.2448132780082988,68.0672268907563
28,er1,OR,1,0.3,1,1,1.3,1.0,0.30303030303030304
29,er2,OR,1,0.3,1,6,3.9,1.0,2.9292929292929295
30,er3,OR,1,0.3,1,7,100.0,1.0,100.0
31,er5,OR,1,0.3,1,6,100.0,1.0,100.0
32,eu_trans_1,OR,1,0.3,1,1,100.0,1.5873015873015872,99.99999999999999
33,eu_transportation,OR,1,0.3,1,6,100.0,1.1990407673860912,100.00000000000001
34,lazega,OR,1,0.3,1,0,1.4084507042253522,1.4084507042253522,0.0
35,sf1,OR,1,0.3,1,9,93.10000000000001,1.0,93.03030303030303
36,sf2,OR,1,0.3,1,5,79.9,1.0,79.6969696969697
37,sf3,OR,1,0.3,1,5,87.8,1.0,87.67676767676768
38,sf5,OR,1,0.3,1,4,98.8,1.0,98.78787878787878
39,aucs,OR,1,0.4,1,0,1.639344262295082,1.639344262295082,0.0
40,ckm_physicians,OR,1,0.4,1,7,25.72614107883817,1.2448132780082988,24.789915966386552
41,er1,OR,1,0.4,1,1,1.0999999999999999,1.0,0.10101010101010087
42,er2,OR,1,0.4,1,2,1.7999999999999998,1.0,0.808080808080808
43,er3,OR,1,0.4,1,10,5.3,1.0,4.343434343434343
44,er5,OR,1,0.4,1,4,2.3,1.0,1.313131313131313
45,eu_trans_1,OR,1,0.4,1,1,100.0,1.5873015873015872,99.99999999999999
46,eu_transportation,OR,1,0.4,1,8,100.0,1.1990407673860912,100.00000000000001
47,lazega,OR,1,0.4,1,0,1.4084507042253522,1.4084507042253522,0.0
48,sf1,OR,1,0.4,1,2,3.1,1.0,2.121212121212121
49,sf2,OR,1,0.4,1,4,5.800000000000001,1.0,4.848484848484849
50,sf3,OR,1,0.4,1,27,87.8,1.0,87.67676767676768
51,sf5,OR,1,0.4,1,6,98.8,1.0,98.78787878787878
52,aucs,OR,1,0.5,1,0,1.639344262295082,1.639344262295082,0.0
53,ckm_physicians,OR,1,0.5,1,2,2.4896265560165975,1.2448132780082988,1.2605042016806722
54,er1,OR,1,0.5,1,0,1.0,1.0,0.0
55,er2,OR,1,0.5,1,1,1.0999999999999999,1.0,0.10101010101010087
56,er3,OR,1,0.5,1,1,1.3,1.0,0.30303030303030304
57,er5,OR,1,0.5,1,0,1.0,1.0,0.0
58,eu_trans_1,OR,1,0.5,1,1,100.0,1.5873015873015872,99.99999999999999
