,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,15,0.1,1,4,80.32786885245902,16.39344262295082,76.47058823529413
1,ckm_physicians,AND,15,0.1,1,5,96.2655601659751,15.352697095435685,95.58823529411765
2,er1,AND,15,0.1,1,3,100.0,15.0,100.0
3,er2,AND,15,0.1,1,4,99.4,15.0,99.29411764705883
4,er3,AND,15,0.1,1,6,96.5,15.0,95.88235294117646
5,er5,AND,15,0.1,1,5,97.6,15.0,97.17647058823529
6,eu_trans_1,AND,15,0.1,1,1,100.0,15.873015873015872,100.00000000000001
7,eu_transportation,AND,15,0.1,1,5,99.52038369304557,15.107913669064748,99.43502824858757
8,lazega,AND,15,0.1,1,2,100.0,15.492957746478872,100.0
9,sf1,AND,15,0.1,1,2,93.10000000000001,15.0,91.88235294117648
10,sf2,AND,15,0.1,1,2,62.6,15.0,56.0
11,sf3,AND,15,0.1,1,3,30.599999999999998,15.0,18.352941176470587
12,sf5,AND,15,0.1,1,4,37.3,15.0,26.235294117647054
13,aucs,AND,15,0.2,1,3,65.57377049180327,16.39344262295082,58.823529411764696
14,ckm_physicians,AND,15,0.2,1,9,96.2655601659751,15.352697095435685,95.58823529411765
15,er1,AND,15,0.2,1,3,100.0,15.0,100.0
16,er2,AND,15,0.2,1,5,99.4,15.0,99.29411764705883
17,er3,AND,15,0.2,1,7,96.5,15.0,95.88235294117646
18,er5,AND,15,0.2,1,8,97.6,15.0,97.17647058823529
19,eu_trans_1,AND,15,0.2,1,1,100.0,15.873015873015872,100.00000000000001
20,eu_transportation,AND,15,0.2,1,5,99.52038369304557,15.107913669064748,99.43502824858757
21,lazega,AND,15,0.2,1,3,100.0,15.492957746478872,100.0
22,sf1,AND,15,0.2,1,2,93.10000000000001,15.0,91.88235294117648
23,sf2,AND,15,0.2,1,3,62.6,15.0,56.0
24,sf3,AND,15,0.2,1,4,30.2,15.0,17.88235294117647
25,sf5,AND,15,0.2,1,6,36.199999999999996,15.0,24.94117647058823
26,aucs,AND,15,0.3,1,5,65.57377049180327,16.39344262295082,58.823529411764696
27,ckm_physicians,AND,15,0.3,1,14,88.79668049792531,15.352697095435685,86.76470588235294
28,er1,AND,15,0.3,1,4,100.0,15.0,100.0
29,er2,AND,15,0.3,1,7,99.4,15.0,99.29411764705883
30,er3,AND,15,0.3,1,11,96.5,15.0,95.88235294117646
31,er5,AND,15,0.3,1,5,21.2,15.0,7.2941176470588225
32,eu_trans_1,AND,15,0.3,1,1,100.0,15.873015873015872,100.00000000000001
33,eu_transportation,AND,15,0.3,1,7,99.52038369304557,15.107913669064748,99.43502824858757
34,lazega,AND,15,0.3,1,1,19.718309859154928,15.492957746478872,5.0
35,sf1,AND,15,0.3,1,2,93.10000000000001,15.0,91.88235294117648
36,sf2,AND,15,0.3,1,3,62.6,15.0,56.0
37,sf3,AND,15,0.3,1,4,29.2,15.0,16.705882352941178
