,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,15,0.1,1,4,80.32786885245902,16.39344262295082,76.47058823529413
1,ckm_physicians,AND,15,0.1,1,10,96.2655601659751,15.352697095435685,95.58823529411765
2,er1,AND,15,0.1,1,3,100.0,15.0,100.0
3,er2,AND,15,0.1,1,4,99.5,15.0,99.41176470588235
4,er3,AND,15,0.1,1,5,96.7,15.0,96.11764705882354
5,er5,AND,15,0.1,1,5,98.1,15.0,97.76470588235294
6,eu_trans_1,AND,15,0.1,1,2,100.0,15.873015873015872,100.00000000000001
7,eu_transportation,AND,15,0.1,1,3,19.424460431654676,15.107913669064748,5.084745762711863
8,lazega,AND,15,0.1,1,2,100.0,15.492957746478872,100.0
9,sf1,AND,15,0.1,1,3,94.19999999999999,15.0,93.17647058823529
10,sf2,AND,15,0.1,1,3,66.7,15.0,60.8235294117647
11,sf3,AND,15,0.1,1,5,33.1,15.0,21.294117647058826
12,sf5,AND,15,0.1,1,7,40.699999999999996,15.0,30.235294117647054
13,aucs,AND,15,0.2,1,4,65.57377049180327,16.39344262295082,58.823529411764696
14,ckm_physicians,AND,15,0.2,1,11,83.40248962655602,15.352697095435685,80.3921568627451
15,er1,AND,15,0.2,1,4,100.0,15.0,100.0
16,er2,AND,15,0.2,1,6,99.5,15.0,99.41176470588235
17,er3,AND,15,0.2,1,8,96.7,15.0,96.11764705882354
18,er5,AND,15,0.2,1,20,23.200000000000003,15.0,9.647058823529415
19,eu_trans_1,AND,15,0.2,1,0,15.873015873015872,15.873015873015872,0.0
20,eu_transportation,AND,15,0.2,1,3,19.424460431654676,15.107913669064748,5.084745762711863
21,lazega,AND,15,0.2,1,5,100.0,15.492957746478872,100.0
22,sf1,AND,15,0.2,1,3,94.19999999999999,15.0,93.17647058823529
23,sf2,AND,15,0.2,1,4,66.7,15.0,60.8235294117647
24,sf3,AND,15,0.2,1,9,29.4,15.0,16.941176470588232
25,sf5,AND,15,0.2,1,9,31.4,15.0,19.294117647058822
26,aucs,AND,15,0.3,1,9,65.57377049180327,16.39344262295082,58.823529411764696
27,ckm_physicians,AND,15,0.3,1,9,45.22821576763486,15.352697095435685,35.294117647058826
28,er1,AND,15,0.3,1,5,100.0,15.0,100.0
29,er2,AND,15,0.3,1,10,99.5,15.0,99.41176470588235
30,er3,AND,15,0.3,1,4,20.1,15.0,6.000000000000002
31,er5,AND,15,0.3,1,2,16.0,15.0,1.1764705882352942
32,eu_trans_1,AND,15,0.3,1,0,15.873015873015872,15.873015873015872,0.0
33,eu_transportation,AND,15,0.3,1,3,19.18465227817746,15.107913669064748,4.8022598870056505
34,lazega,AND,15,0.3,1,0,15.492957746478872,15.492957746478872,0.0
35,sf1,AND,15,0.3,1,4,94.19999999999999,15.0,93.17647058823529
36,sf2,AND,15,0.3,1,5,66.7,15.0,60.8235294117647
37,sf3,AND,15,0.3,1,3,17.599999999999998,15.0,3.058823529411762
38,sf5,AND,15,0.3,1,2,16.1,15.0,1.2941176470588251
39,aucs,AND,15,0.4,1,1,21.311475409836063,16.39344262295082,5.882352941176469
40,ckm_physicians,AND,15,0.4,1,1,16.59751037344398,15.352697095435685,1.4705882352941144
41,er1,AND,15,0.4,1,5,28.299999999999997,15.0,15.64705882352941
42,er2,AND,15,0.4,1,2,18.099999999999998,15.0,3.647058823529409
43,er3,AND,15,0.4,1,1,15.7,15.0,0.8235294117647051
44,er5,AND,15,0.4,1,0,15.0,15.0,0.0
45,eu_trans_1,AND,15,0.4,1,0,15.873015873015872,15.873015873015872,0.0
46,eu_transportation,AND,15,0.4,1,1,18.225419664268586,15.107913669064748,3.672316384180791
47,lazega,AND,15,0.4,1,0,15.492957746478872,15.492957746478872,0.0
48,sf1,AND,15,0.4,1,8,94.19999999999999,15.0,93.17647058823529
49,sf2,AND,15,0.4,1,21,66.7,15.0,60.8235294117647
50,sf3,AND,15,0.4,1,1,15.4,15.0,0.4705882352941181
51,sf5,AND,15,0.4,1,0,15.0,15.0,0.0
52,aucs,AND,15,0.5,1,1,18.0327868852459,16.39344262295082,1.9607843137254912
53,ckm_physicians,AND,15,0.5,1,0,15.352697095435685,15.352697095435685,0.0
54,er1,AND,15,0.5,1,2,17.4,15.0,2.8235294117647043
55,er2,AND,15,0.5,1,1,15.7,15.0,0.8235294117647051
56,er3,AND,15,0.5,1,1,15.1,15.0,0.117647058823529
57,er5,AND,15,0.5,1,0,15.0,15.0,0.0
58,eu_trans_1,AND,15,0.5,1,0,15.873015873015872,15.873015873015872,0.0
59,eu_transportation,AND,15,0.5,1,2,16.30695443645084,15.107913669064748,1.412429378531075
60,lazega,AND,15,0.5,1,0,15.492957746478872,15.492957746478872,0.0
61,sf1,AND,15,0.5,1,7,30.7,15.0,18.470588235294116
62,sf2,AND,15,0.5,1,3,18.9,15.0,4.588235294117646
63,sf3,AND,15,0.5,1,1,15.2,15.0,0.235294117647058
64,sf5,AND,15,0.5,1,0,15.0,15.0,0.0
65,aucs,AND,15,0.6,1,1,18.0327868852459,16.39344262295082,1.9607843137254912
66,ckm_physicians,AND,15,0.6,1,0,15.352697095435685,15.352697095435685,0.0
67,er1,AND,15,0.6,1,1,17.2,15.0,2.5882352941176463
68,er2,AND,15,0.6,1,1,15.7,15.0,0.8235294117647051
69,er3,AND,15,0.6,1,1,15.1,15.0,0.117647058823529
70,er5,AND,15,0.6,1,0,15.0,15.0,0.0
71,eu_trans_1,AND,15,0.6,1,0,15.873015873015872,15.873015873015872,0.0
72,eu_transportation,AND,15,0.6,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
73,lazega,AND,15,0.6,1,0,15.492957746478872,15.492957746478872,0.0
74,sf1,AND,15,0.6,1,3,28.599999999999998,15.0,15.999999999999996
75,sf2,AND,15,0.6,1,3,18.7,15.0,4.352941176470588
76,sf3,AND,15,0.6,1,1,15.2,15.0,0.235294117647058
77,sf5,AND,15,0.6,1,0,15.0,15.0,0.0
78,aucs,AND,15,0.7,1,0,16.39344262295082,16.39344262295082,0.0
79,ckm_physicians,AND,15,0.7,1,0,15.352697095435685,15.352697095435685,0.0
80,er1,AND,15,0.7,1,1,15.6,15.0,0.7058823529411761
81,er2,AND,15,0.7,1,1,15.5,15.0,0.5882352941176471
82,er3,AND,15,0.7,1,0,15.0,15.0,0.0
83,er5,AND,15,0.7,1,0,15.0,15.0,0.0
84,eu_trans_1,AND,15,0.7,1,0,15.873015873015872,15.873015873015872,0.0
85,eu_transportation,AND,15,0.7,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
86,lazega,AND,15,0.7,1,0,15.492957746478872,15.492957746478872,0.0
87,sf1,AND,15,0.7,1,2,18.2,15.0,3.7647058823529407
88,sf2,AND,15,0.7,1,1,15.6,15.0,0.7058823529411761
89,sf3,AND,15,0.7,1,1,15.1,15.0,0.117647058823529
90,sf5,AND,15,0.7,1,0,15.0,15.0,0.0
91,aucs,AND,15,0.8,1,0,16.39344262295082,16.39344262295082,0.0
92,ckm_physicians,AND,15,0.8,1,0,15.352697095435685,15.352697095435685,0.0
93,er1,AND,15,0.8,1,1,15.4,15.0,0.4705882352941181
94,er2,AND,15,0.8,1,1,15.299999999999999,15.0,0.352941176470587
95,er3,AND,15,0.8,1,0,15.0,15.0,0.0
96,er5,AND,15,0.8,1,0,15.0,15.0,0.0
97,eu_trans_1,AND,15,0.8,1,0,15.873015873015872,15.873015873015872,0.0
98,eu_transportation,AND,15,0.8,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
99,lazega,AND,15,0.8,1,0,15.492957746478872,15.492957746478872,0.0
100,sf1,AND,15,0.8,1,1,16.6,15.0,1.8823529411764723
101,sf2,AND,15,0.8,1,1,15.2,15.0,0.235294117647058
102,sf3,AND,15,0.8,1,1,15.1,15.0,0.117647058823529
103,sf5,AND,15,0.8,1,0,15.0,15.0,0.0
104,aucs,AND,15,0.9,1,0,16.39344262295082,16.39344262295082,0.0
105,ckm_physicians,AND,15,0.9,1,0,15.352697095435685,15.352697095435685,0.0
106,er1,AND,15,0.9,1,1,15.4,15.0,0.4705882352941181
107,er2,AND,15,0.9,1,1,15.299999999999999,15.0,0.352941176470587
108,er3,AND,15,0.9,1,0,15.0,15.0,0.0
109,er5,AND,15,0.9,1,0,15.0,15.0,0.0
110,eu_trans_1,AND,15,0.9,1,0,15.873015873015872,15.873015873015872,0.0
111,eu_transportation,AND,15,0.9,1,1,15.827338129496402,15.107913669064748,0.8474576271186429
112,lazega,AND,15,0.9,1,0,15.492957746478872,15.492957746478872,0.0
113,sf1,AND,15,0.9,1,1,16.6,15.0,1.8823529411764723
114,sf2,AND,15,0.9,1,1,15.2,15.0,0.235294117647058
115,sf3,AND,15,0.9,1,1,15.1,15.0,0.117647058823529
116,sf5,AND,15,0.9,1,0,15.0,15.0,0.0
117,aucs,AND,20,0.1,1,4,83.60655737704919,21.311475409836063,79.16666666666667
118,ckm_physicians,AND,20,0.1,1,10,97.5103734439834,20.33195020746888,96.87499999999999
119,er1,AND,20,0.1,1,3,100.0,20.0,100.0
120,er2,AND,20,0.1,1,4,99.8,20.0,99.75
121,er3,AND,20,0.1,1,5,97.1,20.0,96.37499999999999
122,er5,AND,20,0.1,1,5,98.1,20.0,97.62499999999999
123,eu_trans_1,AND,20,0.1,1,2,100.0,20.634920634920633,100.0
124,eu_transportation,AND,20,0.1,1,1,22.54196642685851,20.14388489208633,3.0030030030030024
125,lazega,AND,20,0.1,1,2,100.0,21.12676056338028,100.0
126,sf1,AND,20,0.1,1,2,94.5,20.0,93.125
127,sf2,AND,20,0.1,1,3,68.30000000000001,20.0,60.375000000000014
128,sf3,AND,20,0.1,1,4,39.2,20.0,24.000000000000004
129,sf5,AND,20,0.1,1,5,44.5,20.0,30.625
130,aucs,AND,20,0.2,1,4,68.85245901639344,21.311475409836063,60.416666666666664
131,ckm_physicians,AND,20,0.2,1,9,85.06224066390041,20.33195020746888,81.24999999999999
132,er1,AND,20,0.2,1,4,100.0,20.0,100.0
133,er2,AND,20,0.2,1,5,99.8,20.0,99.75
134,er3,AND,20,0.2,1,7,97.1,20.0,96.37499999999999
135,er5,AND,20,0.2,1,8,98.1,20.0,97.62499999999999
136,eu_trans_1,AND,20,0.2,1,2,100.0,20.634920634920633,100.0
137,eu_transportation,AND,20,0.2,1,1,22.54196642685851,20.14388489208633,3.0030030030030024
138,lazega,AND,20,0.2,1,3,100.0,21.12676056338028,100.0
139,sf1,AND,20,0.2,1,2,94.5,20.0,93.125
140,sf2,AND,20,0.2,1,3,68.30000000000001,20.0,60.375000000000014
141,sf3,AND,20,0.2,1,6,38.0,20.0,22.5
142,sf5,AND,20,0.2,1,8,41.699999999999996,20.0,27.124999999999993
143,aucs,AND,20,0.3,1,7,68.85245901639344,21.311475409836063,60.416666666666664
144,ckm_physicians,AND,20,0.3,1,12,84.64730290456431,20.33195020746888,80.72916666666666
145,er1,AND,20,0.3,1,4,100.0,20.0,100.0
146,er2,AND,20,0.3,1,7,99.8,20.0,99.75
147,er3,AND,20,0.3,1,14,97.1,20.0,96.37499999999999
148,er5,AND,20,0.3,1,4,24.6,20.0,5.750000000000002
149,eu_trans_1,AND,20,0.3,1,0,20.634920634920633,20.634920634920633,0.0
150,eu_transportation,AND,20,0.3,1,1,22.302158273381295,20.14388489208633,2.7027027027027035
151,lazega,AND,20,0.3,1,6,100.0,21.12676056338028,100.0
152,sf1,AND,20,0.3,1,3,94.5,20.0,93.125
153,sf2,AND,20,0.3,1,4,68.30000000000001,20.0,60.375000000000014
154,sf3,AND,20,0.3,1,18,31.8,20.0,14.75
155,sf5,AND,20,0.3,1,7,25.1,20.0,6.375000000000002
156,aucs,AND,20,0.4,1,1,26.229508196721312,21.311475409836063,6.2500000000000036
157,ckm_physicians,AND,20,0.4,1,2,24.066390041493776,20.33195020746888,4.687500000000001
158,er1,AND,20,0.4,1,9,100.0,20.0,100.0
159,er2,AND,20,0.4,1,4,28.299999999999997,20.0,10.374999999999996
160,er3,AND,20,0.4,1,2,21.6,20.0,2.0000000000000018
161,er5,AND,20,0.4,1,2,20.5,20.0,0.625
162,eu_trans_1,AND,20,0.4,1,0,20.634920634920633,20.634920634920633,0.0
163,eu_transportation,AND,20,0.4,1,1,22.302158273381295,20.14388489208633,2.7027027027027035
164,lazega,AND,20,0.4,1,0,21.12676056338028,21.12676056338028,0.0
165,sf1,AND,20,0.4,1,4,94.5,20.0,93.125
166,sf2,AND,20,0.4,1,9,68.30000000000001,20.0,60.375000000000014
167,sf3,AND,20,0.4,1,1,20.8,20.0,1.0000000000000009
168,sf5,AND,20,0.4,1,1,20.200000000000003,20.0,0.25000000000000355
169,aucs,AND,20,0.5,1,1,22.950819672131146,21.311475409836063,2.0833333333333344
170,ckm_physicians,AND,20,0.5,1,1,20.74688796680498,20.33195020746888,0.5208333333333359
171,er1,AND,20,0.5,1,3,24.8,20.0,6.000000000000001
172,er2,AND,20,0.5,1,1,21.4,20.0,1.7499999999999982
173,er3,AND,20,0.5,1,1,20.1,20.0,0.12500000000000178
174,er5,AND,20,0.5,1,0,20.0,20.0,0.0
175,eu_trans_1,AND,20,0.5,1,0,20.634920634920633,20.634920634920633,0.0
176,eu_transportation,AND,20,0.5,1,1,20.623501199040767,20.14388489208633,0.6006006006006014
177,lazega,AND,20,0.5,1,0,21.12676056338028,21.12676056338028,0.0
178,sf1,AND,20,0.5,1,14,94.5,20.0,93.125
179,sf2,AND,20,0.5,1,3,28.7,20.0,10.874999999999998
180,sf3,AND,20,0.5,1,1,20.5,20.0,0.625
181,sf5,AND,20,0.5,1,0,20.0,20.0,0.0
182,aucs,AND,20,0.6,1,1,22.950819672131146,21.311475409836063,2.0833333333333344
183,ckm_physicians,AND,20,0.6,1,1,20.74688796680498,20.33195020746888,0.5208333333333359
184,er1,AND,20,0.6,1,1,24.0,20.0,5.0
185,er2,AND,20,0.6,1,1,21.099999999999998,20.0,1.3749999999999973
186,er3,AND,20,0.6,1,1,20.1,20.0,0.12500000000000178
187,er5,AND,20,0.6,1,0,20.0,20.0,0.0
188,eu_trans_1,AND,20,0.6,1,0,20.634920634920633,20.634920634920633,0.0
189,eu_transportation,AND,20,0.6,1,1,20.623501199040767,20.14388489208633,0.6006006006006014
190,lazega,AND,20,0.6,1,0,21.12676056338028,21.12676056338028,0.0
191,sf1,AND,20,0.6,1,19,59.5,20.0,49.375
