,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,OR,1,0.1,1,3,100.0,1.639344262295082,100.0
1,ckm_physicians,OR,1,0.1,1,5,85.47717842323651,1.2448132780082988,85.29411764705881
2,er1,OR,1,0.1,1,5,100.0,1.0,100.0
3,er2,OR,1,0.1,1,4,100.0,1.0,100.0
4,er3,OR,1,0.1,1,3,100.0,1.0,100.0
5,er5,OR,1,0.1,1,3,100.0,1.0,100.0
6,eu_trans_1,OR,1,0.1,1,0,1.5873015873015872,1.5873015873015872,0.0
7,eu_transportation,OR,1,0.1,1,4,100.0,1.1990407673860912,100.00000000000001
8,lazega,OR,1,0.1,1,3,100.0,1.4084507042253522,100.0
9,sf1,OR,1,0.1,1,4,93.2,1.0,93.13131313131314
10,sf2,OR,1,0.1,1,4,80.30000000000001,1.0,80.1010101010101
11,sf3,OR,1,0.1,1,4,88.2,1.0,88.08080808080808
12,sf5,OR,1,0.1,1,3,99.0,1.0,98.98989898989899
13,aucs,OR,1,0.2,1,4,100.0,1.639344262295082,100.0
14,ckm_physicians,OR,1,0.2,1,5,85.47717842323651,1.2448132780082988,85.29411764705881
15,er1,OR,1,0.2,1,3,2.8000000000000003,1.0,1.8181818181818186
16,er2,OR,1,0.2,1,7,100.0,1.0,100.0
17,er3,OR,1,0.2,1,5,100.0,1.0,100.0
18,er5,OR,1,0.2,1,4,100.0,1.0,100.0
19,eu_trans_1,OR,1,0.2,1,0,1.5873015873015872,1.5873015873015872,0.0
20,eu_transportation,OR,1,0.2,1,4,100.0,1.1990407673860912,100.00000000000001
21,lazega,OR,1,0.2,1,0,1.4084507042253522,1.4084507042253522,0.0
22,sf1,OR,1,0.2,1,7,93.2,1.0,93.13131313131314
23,sf2,OR,1,0.2,1,6,80.30000000000001,1.0,80.1010101010101
24,sf3,OR,1,0.2,1,5,88.2,1.0,88.08080808080808
25,sf5,OR,1,0.2,1,4,99.0,1.0,98.98989898989899
26,aucs,OR,1,0.3,1,6,100.0,1.639344262295082,100.0
27,ckm_physicians,OR,1,0.3,1,8,85.47717842323651,1.2448132780082988,85.29411764705881
28,er1,OR,1,0.3,1,1,1.6,1.0,0.6060606060606061
29,er2,OR,1,0.3,1,10,6.6000000000000005,1.0,5.656565656565657
30,er3,OR,1,0.3,1,7,100.0,1.0,100.0
31,er5,OR,1,0.3,1,6,100.0,1.0,100.0
32,eu_trans_1,OR,1,0.3,1,0,1.5873015873015872,1.5873015873015872,0.0
33,eu_transportation,OR,1,0.3,1,6,100.0,1.1990407673860912,100.00000000000001
34,lazega,OR,1,0.3,1,0,1.4084507042253522,1.4084507042253522,0.0
35,sf1,OR,1,0.3,1,7,8.3,1.0,7.373737373737375
36,sf2,OR,1,0.3,1,15,80.30000000000001,1.0,80.1010101010101
37,sf3,OR,1,0.3,1,8,88.2,1.0,88.08080808080808
38,sf5,OR,1,0.3,1,4,99.0,1.0,98.98989898989899
39,aucs,OR,1,0.4,1,9,100.0,1.639344262295082,100.0
40,ckm_physicians,OR,1,0.4,1,9,21.991701244813278,1.2448132780082988,21.008403361344538
41,er1,OR,1,0.4,1,1,1.2,1.0,0.202020202020202
42,er2,OR,1,0.4,1,2,1.6,1.0,0.6060606060606061
43,er3,OR,1,0.4,1,4,2.5,1.0,1.5151515151515151
44,er5,OR,1,0.4,1,1,1.3,1.0,0.30303030303030304
45,eu_trans_1,OR,1,0.4,1,0,1.5873015873015872,1.5873015873015872,0.0
46,eu_transportation,OR,1,0.4,1,7,98.56115107913669,1.1990407673860912,98.54368932038835
47,lazega,OR,1,0.4,1,0,1.4084507042253522,1.4084507042253522,0.0
48,sf1,OR,1,0.4,1,1,1.4000000000000001,1.0,0.4040404040404042
49,sf2,OR,1,0.4,1,2,1.6,1.0,0.6060606060606061
50,sf3,OR,1,0.4,1,2,1.4000000000000001,1.0,0.4040404040404042
51,sf5,OR,1,0.4,1,11,99.0,1.0,98.98989898989899
52,aucs,OR,1,0.5,1,3,11.475409836065573,1.639344262295082,9.999999999999998
53,ckm_physicians,OR,1,0.5,1,0,1.2448132780082988,1.2448132780082988,0.0
54,er1,OR,1,0.5,1,0,1.0,1.0,0.0
55,er2,OR,1,0.5,1,1,1.0999999999999999,1.0,0.10101010101010087
56,er3,OR,1,0.5,1,1,1.5,1.0,0.5050505050505051
57,er5,OR,1,0.5,1,1,1.2,1.0,0.202020202020202
58,eu_trans_1,OR,1,0.5,1,0,1.5873015873015872,1.5873015873015872,0.0
59,eu_transportation,OR,1,0.5,1,2,1.9184652278177456,1.1990407673860912,0.728155339805825
60,lazega,OR,1,0.5,1,0,1.4084507042253522,1.4084507042253522,0.0
61,sf1,OR,1,0.5,1,1,1.2,1.0,0.202020202020202
62,sf2,OR,1,0.5,1,1,1.0999999999999999,1.0,0.10101010101010087
63,sf3,OR,1,0.5,1,1,1.0999999999999999,1.0,0.10101010101010087
64,sf5,OR,1,0.5,1,2,2.6,1.0,1.6161616161616161
65,aucs,OR,1,0.6,1,3,11.475409836065573,1.639344262295082,9.999999999999998
66,ckm_physicians,OR,1,0.6,1,0,1.2448132780082988,1.2448132780082988,0.0
67,er1,OR,1,0.6,1,0,1.0,1.0,0.0
68,er2,OR,1,0.6,1,1,1.0999999999999999,1.0,0.10101010101010087
69,er3,OR,1,0.6,1,1,1.5,1.0,0.5050505050505051
70,er5,OR,1,0.6,1,1,1.2,1.0,0.202020202020202
71,eu_trans_1,OR,1,0.6,1,0,1.5873015873015872,1.5873015873015872,0.0
72,eu_transportation,OR,1,0.6,1,2,1.9184652278177456,1.1990407673860912,0.728155339805825
73,lazega,OR,1,0.6,1,0,1.4084507042253522,1.4084507042253522,0.0
74,sf1,OR,1,0.6,1,1,1.2,1.0,0.202020202020202
75,sf2,OR,1,0.6,1,1,1.0999999999999999,1.0,0.10101010101010087
76,sf3,OR,1,0.6,1,1,1.0999999999999999,1.0,0.10101010101010087
77,sf5,OR,1,0.6,1,2,2.6,1.0,1.6161616161616161
78,aucs,OR,1,0.7,1,3,9.836065573770492,1.639344262295082,8.333333333333334
79,ckm_physicians,OR,1,0.7,1,0,1.2448132780082988,1.2448132780082988,0.0
80,er1,OR,1,0.7,1,0,1.0,1.0,0.0
81,er2,OR,1,0.7,1,1,1.0999999999999999,1.0,0.10101010101010087
82,er3,OR,1,0.7,1,1,1.5,1.0,0.5050505050505051
83,er5,OR,1,0.7,1,1,1.2,1.0,0.202020202020202
84,eu_trans_1,OR,1,0.7,1,0,1.5873015873015872,1.5873015873015872,0.0
85,eu_transportation,OR,1,0.7,1,2,1.9184652278177456,1.1990407673860912,0.728155339805825
86,lazega,OR,1,0.7,1,0,1.4084507042253522,1.4084507042253522,0.0
87,sf1,OR,1,0.7,1,0,1.0,1.0,0.0
88,sf2,OR,1,0.7,1,1,1.0999999999999999,1.0,0.10101010101010087
89,sf3,OR,1,0.7,1,1,1.0999999999999999,1.0,0.10101010101010087
90,sf5,OR,1,0.7,1,1,2.5,1.0,1.5151515151515151
91,aucs,OR,1,0.8,1,3,9.836065573770492,1.639344262295082,8.333333333333334
92,ckm_physicians,OR,1,0.8,1,0,1.2448132780082988,1.2448132780082988,0.0
93,er1,OR,1,0.8,1,0,1.0,1.0,0.0
94,er2,OR,1,0.8,1,1,1.0999999999999999,1.0,0.10101010101010087
95,er3,OR,1,0.8,1,1,1.5,1.0,0.5050505050505051
96,er5,OR,1,0.8,1,1,1.2,1.0,0.202020202020202
97,eu_trans_1,OR,1,0.8,1,0,1.5873015873015872,1.5873015873015872,0.0
98,eu_transportation,OR,1,0.8,1,2,1.9184652278177456,1.1990407673860912,0.728155339805825
99,lazega,OR,1,0.8,1,0,1.4084507042253522,1.4084507042253522,0.0
100,sf1,OR,1,0.8,1,0,1.0,1.0,0.0
101,sf2,OR,1,0.8,1,1,1.0999999999999999,1.0,0.10101010101010087
102,sf3,OR,1,0.8,1,1,1.0999999999999999,1.0,0.10101010101010087
103,sf5,OR,1,0.8,1,1,2.5,1.0,1.5151515151515151
104,aucs,OR,1,0.9,1,3,9.836065573770492,1.639344262295082,8.333333333333334
105,ckm_physicians,OR,1,0.9,1,0,1.2448132780082988,1.2448132780082988,0.0
106,er1,OR,1,0.9,1,0,1.0,1.0,0.0
107,er2,OR,1,0.9,1,1,1.0999999999999999,1.0,0.10101010101010087
108,er3,OR,1,0.9,1,1,1.5,1.0,0.5050505050505051
109,er5,OR,1,0.9,1,1,1.2,1.0,0.202020202020202
110,eu_trans_1,OR,1,0.9,1,0,1.5873015873015872,1.5873015873015872,0.0
111,eu_transportation,OR,1,0.9,1,2,1.9184652278177456,1.1990407673860912,0.728155339805825
112,lazega,OR,1,0.9,1,0,1.4084507042253522,1.4084507042253522,0.0
113,sf1,OR,1,0.9,1,0,1.0,1.0,0.0
114,sf2,OR,1,0.9,1,1,1.0999999999999999,1.0,0.10101010101010087
115,sf3,OR,1,0.9,1,1,1.0999999999999999,1.0,0.10101010101010087
116,sf5,OR,1,0.9,1,1,2.5,1.0,1.5151515151515151
117,aucs,OR,2,0.1,1,2,100.0,3.278688524590164,100.0
118,ckm_physicians,OR,2,0.1,1,4,85.47717842323651,2.0746887966804977,85.16949152542374
119,er1,OR,2,0.1,1,4,100.0,2.0,100.0
120,er2,OR,2,0.1,1,4,100.0,2.0,100.0
121,er3,OR,2,0.1,1,3,100.0,2.0,100.0
122,er5,OR,2,0.1,1,3,100.0,2.0,100.0
123,eu_trans_1,OR,2,0.1,1,0,3.1746031746031744,3.1746031746031744,0.0
124,eu_transportation,OR,2,0.1,1,4,100.0,2.158273381294964,100.0
125,lazega,OR,2,0.1,1,3,100.0,2.8169014084507045,100.0
126,sf1,OR,2,0.1,1,4,93.30000000000001,2.0,93.16326530612247
127,sf2,OR,2,0.1,1,3,80.60000000000001,2.0,80.20408163265307
128,sf3,OR,2,0.1,1,4,88.7,2.0,88.46938775510205
129,sf5,OR,2,0.1,1,3,99.0,2.0,98.9795918367347
