,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,15,0.1,1,3,68.85245901639344,16.39344262295082,62.745098039215684
1,ckm_physicians,AND,15,0.1,1,6,96.2655601659751,15.352697095435685,95.58823529411765
2,er1,AND,15,0.1,1,3,100.0,15.0,100.0
3,er2,AND,15,0.1,1,4,99.4,15.0,99.29411764705883
4,er3,AND,15,0.1,1,5,96.5,15.0,95.88235294117646
5,er5,AND,15,0.1,1,5,97.6,15.0,97.17647058823529
6,eu_trans_1,AND,15,0.1,1,1,100.0,15.873015873015872,100.00000000000001
7,eu_transportation,AND,15,0.1,1,5,99.04076738609112,15.107913669064748,98.87005649717513
8,lazega,AND,15,0.1,1,2,100.0,15.492957746478872,100.0
9,sf1,AND,15,0.1,1,2,93.10000000000001,15.0,91.88235294117648
10,sf2,AND,15,0.1,1,2,62.6,15.0,56.0
11,sf3,AND,15,0.1,1,3,32.0,15.0,20.0
12,sf5,AND,15,0.1,1,6,37.4,15.0,26.352941176470587
13,aucs,AND,15,0.2,1,5,68.85245901639344,16.39344262295082,62.745098039215684
14,ckm_physicians,AND,15,0.2,1,7,96.2655601659751,15.352697095435685,95.58823529411765
15,er1,AND,15,0.2,1,3,100.0,15.0,100.0
16,er2,AND,15,0.2,1,5,99.4,15.0,99.29411764705883
17,er3,AND,15,0.2,1,7,96.5,15.0,95.88235294117646
18,er5,AND,15,0.2,1,8,97.6,15.0,97.17647058823529
19,eu_trans_1,AND,15,0.2,1,1,100.0,15.873015873015872,100.00000000000001
20,eu_transportation,AND,15,0.2,1,5,99.04076738609112,15.107913669064748,98.87005649717513
21,lazega,AND,15,0.2,1,3,100.0,15.492957746478872,100.0
22,sf1,AND,15,0.2,1,2,93.10000000000001,15.0,91.88235294117648
23,sf2,AND,15,0.2,1,3,62.6,15.0,56.0
24,sf3,AND,15,0.2,1,4,31.5,15.0,19.41176470588235
25,sf5,AND,15,0.2,1,7,35.9,15.0,24.58823529411765
26,aucs,AND,15,0.3,1,5,62.295081967213115,16.39344262295082,54.90196078431372
27,ckm_physicians,AND,15,0.3,1,10,96.2655601659751,15.352697095435685,95.58823529411765
28,er1,AND,15,0.3,1,4,100.0,15.0,100.0
29,er2,AND,15,0.3,1,6,99.4,15.0,99.29411764705883
30,er3,AND,15,0.3,1,11,96.5,15.0,95.88235294117646
31,er5,AND,15,0.3,1,3,19.1,15.0,4.823529411764707
32,eu_trans_1,AND,15,0.3,1,1,100.0,15.873015873015872,100.00000000000001
33,eu_transportation,AND,15,0.3,1,7,99.04076738609112,15.107913669064748,98.87005649717513
34,lazega,AND,15,0.3,1,7,100.0,15.492957746478872,100.0
35,sf1,AND,15,0.3,1,2,93.10000000000001,15.0,91.88235294117648
36,sf2,AND,15,0.3,1,3,62.6,15.0,56.0
37,sf3,AND,15,0.3,1,4,30.4,15.0,18.117647058823525
38,sf5,AND,15,0.3,1,8,30.9,15.0,18.705882352941174
39,aucs,AND,15,0.4,1,2,22.950819672131146,16.39344262295082,7.8431372549019605
40,ckm_physicians,AND,15,0.4,1,7,31.12033195020747,15.352697095435685,18.627450980392158
41,er1,AND,15,0.4,1,7,100.0,15.0,100.0
42,er2,AND,15,0.4,1,26,99.4,15.0,99.29411764705883
43,er3,AND,15,0.4,1,5,18.099999999999998,15.0,3.647058823529409
44,er5,AND,15,0.4,1,1,15.299999999999999,15.0,0.352941176470587
45,eu_trans_1,AND,15,0.4,1,1,100.0,15.873015873015872,100.00000000000001
46,eu_transportation,AND,15,0.4,1,9,94.00479616306954,15.107913669064748,92.93785310734464
47,lazega,AND,15,0.4,1,0,15.492957746478872,15.492957746478872,0.0
48,sf1,AND,15,0.4,1,3,93.10000000000001,15.0,91.88235294117648
49,sf2,AND,15,0.4,1,5,62.6,15.0,56.0
50,sf3,AND,15,0.4,1,6,23.799999999999997,15.0,10.352941176470585
51,sf5,AND,15,0.4,1,4,17.5,15.0,2.9411764705882355
52,aucs,AND,15,0.5,1,2,19.672131147540984,16.39344262295082,3.9215686274509824
53,ckm_physicians,AND,15,0.5,1,1,18.672199170124482,15.352697095435685,3.9215686274509816
54,er1,AND,15,0.5,1,5,28.799999999999997,15.0,16.235294117647054
55,er2,AND,15,0.5,1,2,17.7,15.0,3.1764705882352935
56,er3,AND,15,0.5,1,1,15.299999999999999,15.0,0.352941176470587
57,er5,AND,15,0.5,1,1,15.1,15.0,0.117647058823529
58,eu_trans_1,AND,15,0.5,1,1,100.0,15.873015873015872,100.00000000000001
59,eu_transportation,AND,15,0.5,1,4,66.90647482014388,15.107913669064748,61.016949152542374
60,lazega,AND,15,0.5,1,0,15.492957746478872,15.492957746478872,0.0
61,sf1,AND,15,0.5,1,8,93.10000000000001,15.0,91.88235294117648
62,sf2,AND,15,0.5,1,19,53.0,15.0,44.705882352941174
63,sf3,AND,15,0.5,1,2,18.3,15.0,3.8823529411764715
64,sf5,AND,15,0.5,1,1,15.5,15.0,0.5882352941176471
65,aucs,AND,15,0.6,1,1,18.0327868852459,16.39344262295082,1.9607843137254912
66,ckm_physicians,AND,15,0.6,1,1,18.672199170124482,15.352697095435685,3.9215686274509816
67,er1,AND,15,0.6,1,4,22.8,15.0,9.176470588235295
68,er2,AND,15,0.6,1,2,17.0,15.0,2.3529411764705883
69,er3,AND,15,0.6,1,1,15.2,15.0,0.235294117647058
70,er5,AND,15,0.6,1,1,15.1,15.0,0.117647058823529
71,eu_trans_1,AND,15,0.6,1,1,100.0,15.873015873015872,100.00000000000001
72,eu_transportation,AND,15,0.6,1,5,64.74820143884892,15.107913669064748,58.474576271186436
73,lazega,AND,15,0.6,1,0,15.492957746478872,15.492957746478872,0.0
74,sf1,AND,15,0.6,1,10,93.10000000000001,15.0,91.88235294117648
75,sf2,AND,15,0.6,1,10,41.3,15.0,30.94117647058823
76,sf3,AND,15,0.6,1,2,17.599999999999998,15.0,3.058823529411762
77,sf5,AND,15,0.6,1,1,15.5,15.0,0.5882352941176471
78,aucs,AND,15,0.7,1,1,18.0327868852459,16.39344262295082,1.9607843137254912
79,ckm_physicians,AND,15,0.7,1,1,16.59751037344398,15.352697095435685,1.4705882352941144
80,er1,AND,15,0.7,1,1,17.1,15.0,2.4705882352941195
81,er2,AND,15,0.7,1,1,15.6,15.0,0.7058823529411761
82,er3,AND,15,0.7,1,1,15.2,15.0,0.235294117647058
83,er5,AND,15,0.7,1,1,15.1,15.0,0.117647058823529
84,eu_trans_1,AND,15,0.7,1,1,100.0,15.873015873015872,100.00000000000001
85,eu_transportation,AND,15,0.7,1,2,49.88009592326139,15.107913669064748,40.96045197740113
86,lazega,AND,15,0.7,1,0,15.492957746478872,15.492957746478872,0.0
87,sf1,AND,15,0.7,1,3,32.0,15.0,20.0
88,sf2,AND,15,0.7,1,2,21.2,15.0,7.2941176470588225
89,sf3,AND,15,0.7,1,1,15.5,15.0,0.5882352941176471
90,sf5,AND,15,0.7,1,0,15.0,15.0,0.0
91,aucs,AND,15,0.8,1,0,16.39344262295082,16.39344262295082,0.0
92,ckm_physicians,AND,15,0.8,1,1,16.182572614107883,15.352697095435685,0.9803921568627436
93,er1,AND,15,0.8,1,1,16.3,15.0,1.529411764705883
94,er2,AND,15,0.8,1,1,15.2,15.0,0.235294117647058
95,er3,AND,15,0.8,1,0,15.0,15.0,0.0
96,er5,AND,15,0.8,1,0,15.0,15.0,0.0
97,eu_trans_1,AND,15,0.8,1,1,100.0,15.873015873015872,100.00000000000001
98,eu_transportation,AND,15,0.8,1,1,46.043165467625904,15.107913669064748,36.440677966101696
99,lazega,AND,15,0.8,1,0,15.492957746478872,15.492957746478872,0.0
100,sf1,AND,15,0.8,1,1,23.1,15.0,9.529411764705884
101,sf2,AND,15,0.8,1,1,17.9,15.0,3.4117647058823515
102,sf3,AND,15,0.8,1,1,15.1,15.0,0.117647058823529
103,sf5,AND,15,0.8,1,0,15.0,15.0,0.0
104,aucs,AND,15,0.9,1,0,16.39344262295082,16.39344262295082,0.0
105,ckm_physicians,AND,15,0.9,1,1,16.182572614107883,15.352697095435685,0.9803921568627436
106,er1,AND,15,0.9,1,1,16.1,15.0,1.2941176470588251
107,er2,AND,15,0.9,1,1,15.1,15.0,0.117647058823529
108,er3,AND,15,0.9,1,0,15.0,15.0,0.0
109,er5,AND,15,0.9,1,0,15.0,15.0,0.0
110,eu_trans_1,AND,15,0.9,1,1,100.0,15.873015873015872,100.00000000000001
111,eu_transportation,AND,15,0.9,1,1,45.08393285371702,15.107913669064748,35.31073446327683
112,lazega,AND,15,0.9,1,0,15.492957746478872,15.492957746478872,0.0
113,sf1,AND,15,0.9,1,1,22.900000000000002,15.0,9.294117647058826
114,sf2,AND,15,0.9,1,1,17.599999999999998,15.0,3.058823529411762
115,sf3,AND,15,0.9,1,1,15.1,15.0,0.117647058823529
116,sf5,AND,15,0.9,1,0,15.0,15.0,0.0
117,aucs,AND,20,0.1,1,3,72.1311475409836,21.311475409836063,64.58333333333334
118,ckm_physicians,AND,20,0.1,1,4,97.5103734439834,20.33195020746888,96.87499999999999
119,er1,AND,20,0.1,1,3,100.0,20.0,100.0
120,er2,AND,20,0.1,1,4,99.4,20.0,99.25000000000001
121,er3,AND,20,0.1,1,5,96.5,20.0,95.625
122,er5,AND,20,0.1,1,4,97.7,20.0,97.125
123,eu_trans_1,AND,20,0.1,1,1,100.0,20.634920634920633,100.0
124,eu_transportation,AND,20,0.1,1,3,99.52038369304557,20.14388489208633,99.39939939939941
125,lazega,AND,20,0.1,1,2,100.0,21.12676056338028,100.0
126,sf1,AND,20,0.1,1,2,93.10000000000001,20.0,91.37500000000001
127,sf2,AND,20,0.1,1,2,62.7,20.0,53.375
128,sf3,AND,20,0.1,1,3,34.8,20.0,18.499999999999996
129,sf5,AND,20,0.1,1,6,40.6,20.0,25.75
130,aucs,AND,20,0.2,1,3,72.1311475409836,21.311475409836063,64.58333333333334
131,ckm_physicians,AND,20,0.2,1,5,97.5103734439834,20.33195020746888,96.87499999999999
132,er1,AND,20,0.2,1,3,100.0,20.0,100.0
133,er2,AND,20,0.2,1,5,99.4,20.0,99.25000000000001
134,er3,AND,20,0.2,1,5,96.5,20.0,95.625
135,er5,AND,20,0.2,1,6,97.7,20.0,97.125
136,eu_trans_1,AND,20,0.2,1,1,100.0,20.634920634920633,100.0
137,eu_transportation,AND,20,0.2,1,4,99.52038369304557,20.14388489208633,99.39939939939941
138,lazega,AND,20,0.2,1,3,100.0,21.12676056338028,100.0
139,sf1,AND,20,0.2,1,2,93.10000000000001,20.0,91.37500000000001
140,sf2,AND,20,0.2,1,3,62.7,20.0,53.375
141,sf3,AND,20,0.2,1,4,34.8,20.0,18.499999999999996
142,sf5,AND,20,0.2,1,5,39.5,20.0,24.375
143,aucs,AND,20,0.3,1,3,67.21311475409836,21.311475409836063,58.33333333333333
144,ckm_physicians,AND,20,0.3,1,6,97.5103734439834,20.33195020746888,96.87499999999999
145,er1,AND,20,0.3,1,3,100.0,20.0,100.0
146,er2,AND,20,0.3,1,5,99.4,20.0,99.25000000000001
147,er3,AND,20,0.3,1,7,96.5,20.0,95.625
148,er5,AND,20,0.3,1,13,97.7,20.0,97.125
149,eu_trans_1,AND,20,0.3,1,1,100.0,20.634920634920633,100.0
150,eu_transportation,AND,20,0.3,1,4,99.52038369304557,20.14388489208633,99.39939939939941
151,lazega,AND,20,0.3,1,3,100.0,21.12676056338028,100.0
152,sf1,AND,20,0.3,1,2,93.10000000000001,20.0,91.37500000000001
153,sf2,AND,20,0.3,1,3,62.7,20.0,53.375
154,sf3,AND,20,0.3,1,4,33.800000000000004,20.0,17.250000000000007
155,sf5,AND,20,0.3,1,5,37.0,20.0,21.25
156,aucs,AND,20,0.4,1,3,44.26229508196721,21.311475409836063,29.166666666666664
157,ckm_physicians,AND,20,0.4,1,10,54.356846473029044,20.33195020746888,42.70833333333333
158,er1,AND,20,0.4,1,6,100.0,20.0,100.0
159,er2,AND,20,0.4,1,9,99.4,20.0,99.25000000000001
160,er3,AND,20,0.4,1,6,30.3,20.0,12.875
161,er5,AND,20,0.4,1,1,21.2,20.0,1.4999999999999991
162,eu_trans_1,AND,20,0.4,1,1,100.0,20.634920634920633,100.0
163,eu_transportation,AND,20,0.4,1,6,98.08153477218225,20.14388489208633,97.59759759759758
164,lazega,AND,20,0.4,1,1,22.535211267605636,21.12676056338028,1.7857142857142905
165,sf1,AND,20,0.4,1,3,93.10000000000001,20.0,91.37500000000001
