,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,31,0.1,1,1,100.0,31.746031746031743,100.0
1,er1,AND,31,0.1,1,2,100.0,31.0,100.0
2,sf1,AND,31,0.1,1,1,93.10000000000001,31.0,90.00000000000001
3,eu_trans_1,AND,31,0.2,1,1,100.0,31.746031746031743,100.0
4,er1,AND,31,0.2,1,3,100.0,31.0,100.0
5,sf1,AND,31,0.2,1,1,93.10000000000001,31.0,90.00000000000001
6,eu_trans_1,AND,31,0.3,1,1,100.0,31.746031746031743,100.0
7,er1,AND,31,0.3,1,3,100.0,31.0,100.0
8,sf1,AND,31,0.3,1,2,93.10000000000001,31.0,90.00000000000001
9,eu_trans_1,AND,31,0.4,1,1,100.0,31.746031746031743,100.0
10,er1,AND,31,0.4,1,4,100.0,31.0,100.0
11,sf1,AND,31,0.4,1,2,93.10000000000001,31.0,90.00000000000001
12,eu_trans_1,AND,31,0.5,1,1,100.0,31.746031746031743,100.0
13,er1,AND,31,0.5,1,13,99.7,31.0,99.56521739130434
14,sf1,AND,31,0.5,1,4,93.10000000000001,31.0,90.00000000000001
15,eu_trans_1,AND,31,0.6,1,1,100.0,31.746031746031743,100.0
16,er1,AND,31,0.6,1,15,99.7,31.0,99.56521739130434
17,sf1,AND,31,0.6,1,4,93.10000000000001,31.0,90.00000000000001
18,eu_trans_1,AND,31,0.7,1,1,100.0,31.746031746031743,100.0
19,er1,AND,31,0.7,1,4,45.0,31.0,20.28985507246377
20,sf1,AND,31,0.7,1,6,79.4,31.0,70.1449275362319
21,eu_trans_1,AND,31,0.8,1,1,100.0,31.746031746031743,100.0
22,er1,AND,31,0.8,1,2,38.0,31.0,10.144927536231885
23,sf1,AND,31,0.8,1,1,53.400000000000006,31.0,32.46376811594204
24,eu_trans_1,AND,31,0.9,1,1,100.0,31.746031746031743,100.0
25,er1,AND,31,0.9,1,1,35.5,31.0,6.521739130434782
26,sf1,AND,31,0.9,1,1,53.400000000000006,31.0,32.46376811594204
27,eu_trans_1,AND,32,0.1,1,1,100.0,33.33333333333333,100.0
28,er1,AND,32,0.1,1,2,100.0,32.0,100.0
29,sf1,AND,32,0.1,1,1,93.10000000000001,32.0,89.85294117647061
30,eu_trans_1,AND,32,0.2,1,1,100.0,33.33333333333333,100.0
31,er1,AND,32,0.2,1,3,100.0,32.0,100.0
32,sf1,AND,32,0.2,1,1,93.10000000000001,32.0,89.85294117647061
33,eu_trans_1,AND,32,0.3,1,1,100.0,33.33333333333333,100.0
34,er1,AND,32,0.3,1,3,100.0,32.0,100.0
35,sf1,AND,32,0.3,1,2,93.10000000000001,32.0,89.85294117647061
36,eu_trans_1,AND,32,0.4,1,1,100.0,33.33333333333333,100.0
37,er1,AND,32,0.4,1,4,100.0,32.0,100.0
38,sf1,AND,32,0.4,1,2,93.10000000000001,32.0,89.85294117647061
39,eu_trans_1,AND,32,0.5,1,1,100.0,33.33333333333333,100.0
40,er1,AND,32,0.5,1,13,99.7,32.0,99.55882352941177
41,sf1,AND,32,0.5,1,4,93.10000000000001,32.0,89.85294117647061
42,eu_trans_1,AND,32,0.6,1,1,100.0,33.33333333333333,100.0
43,er1,AND,32,0.6,1,13,99.7,32.0,99.55882352941177
44,sf1,AND,32,0.6,1,4,93.10000000000001,32.0,89.85294117647061
45,eu_trans_1,AND,32,0.7,1,1,100.0,33.33333333333333,100.0
46,er1,AND,32,0.7,1,4,47.8,32.0,23.235294117647054
47,sf1,AND,32,0.7,1,6,81.8,32.0,73.23529411764706
48,eu_trans_1,AND,32,0.8,1,1,100.0,33.33333333333333,100.0
49,er1,AND,32,0.8,1,2,39.1,32.0,10.441176470588237
50,sf1,AND,32,0.8,1,1,55.60000000000001,32.0,34.70588235294119
51,eu_trans_1,AND,32,0.9,1,1,100.0,33.33333333333333,100.0
52,er1,AND,32,0.9,1,1,36.6,32.0,6.764705882352943
53,sf1,AND,32,0.9,1,1,55.60000000000001,32.0,34.70588235294119
54,eu_trans_1,AND,33,0.1,1,1,100.0,33.33333333333333,100.0
55,er1,AND,33,0.1,1,2,100.0,33.0,100.0
56,sf1,AND,33,0.1,1,1,93.10000000000001,33.0,89.70149253731344
57,eu_trans_1,AND,33,0.2,1,1,100.0,33.33333333333333,100.0
58,er1,AND,33,0.2,1,3,100.0,33.0,100.0
59,sf1,AND,33,0.2,1,1,93.10000000000001,33.0,89.70149253731344
60,eu_trans_1,AND,33,0.3,1,1,100.0,33.33333333333333,100.0
61,er1,AND,33,0.3,1,3,100.0,33.0,100.0
62,sf1,AND,33,0.3,1,2,93.10000000000001,33.0,89.70149253731344
63,eu_trans_1,AND,33,0.4,1,1,100.0,33.33333333333333,100.0
64,er1,AND,33,0.4,1,4,100.0,33.0,100.0
65,sf1,AND,33,0.4,1,2,93.10000000000001,33.0,89.70149253731344
66,eu_trans_1,AND,33,0.5,1,1,100.0,33.33333333333333,100.0
67,er1,AND,33,0.5,1,13,99.7,33.0,99.55223880597015
68,sf1,AND,33,0.5,1,4,93.10000000000001,33.0,89.70149253731344
69,eu_trans_1,AND,33,0.6,1,1,100.0,33.33333333333333,100.0
70,er1,AND,33,0.6,1,13,99.7,33.0,99.55223880597015
71,sf1,AND,33,0.6,1,4,93.10000000000001,33.0,89.70149253731344
72,eu_trans_1,AND,33,0.7,1,1,100.0,33.33333333333333,100.0
73,er1,AND,33,0.7,1,4,49.8,33.0,25.07462686567164
74,sf1,AND,33,0.7,1,6,84.0,33.0,76.11940298507463
75,eu_trans_1,AND,33,0.8,1,1,100.0,33.33333333333333,100.0
76,er1,AND,33,0.8,1,2,40.5,33.0,11.194029850746269
77,sf1,AND,33,0.8,1,1,57.9,33.0,37.16417910447761
78,eu_trans_1,AND,33,0.9,1,1,100.0,33.33333333333333,100.0
79,er1,AND,33,0.9,1,1,37.9,33.0,7.313432835820894
80,sf1,AND,33,0.9,1,1,57.9,33.0,37.16417910447761
81,eu_trans_1,AND,34,0.1,1,1,100.0,34.92063492063492,100.0
82,er1,AND,34,0.1,1,2,100.0,34.0,100.0
83,sf1,AND,34,0.1,1,1,93.10000000000001,34.0,89.54545454545456
84,eu_trans_1,AND,34,0.2,1,1,100.0,34.92063492063492,100.0
85,er1,AND,34,0.2,1,3,100.0,34.0,100.0
86,sf1,AND,34,0.2,1,1,93.10000000000001,34.0,89.54545454545456
87,eu_trans_1,AND,34,0.3,1,1,100.0,34.92063492063492,100.0
88,er1,AND,34,0.3,1,3,100.0,34.0,100.0
89,sf1,AND,34,0.3,1,2,93.10000000000001,34.0,89.54545454545456
90,eu_trans_1,AND,34,0.4,1,1,100.0,34.92063492063492,100.0
91,er1,AND,34,0.4,1,4,100.0,34.0,100.0
92,sf1,AND,34,0.4,1,2,93.10000000000001,34.0,89.54545454545456
93,eu_trans_1,AND,34,0.5,1,1,100.0,34.92063492063492,100.0
94,er1,AND,34,0.5,1,13,99.7,34.0,99.54545454545455
