,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,2,85.24590163934425,31.147540983606557,78.57142857142857
1,ckm_physicians,AND,31,0.1,1,4,99.1701244813278,31.12033195020747,98.79518072289157
2,eu_transportation,AND,31,0.1,1,1,35.011990407673856,31.17505995203837,5.574912891986053
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,3,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,4,97.6,31.0,96.52173913043477
7,sf2,AND,31,0.1,1,2,62.6,31.0,45.79710144927536
8,sf3,AND,31,0.1,1,2,35.3,31.0,6.23188405797101
9,sf5,AND,31,0.1,1,2,43.1,31.0,17.536231884057976
10,aucs,AND,31,0.2,1,3,85.24590163934425,31.147540983606557,78.57142857142857
11,ckm_physicians,AND,31,0.2,1,4,99.1701244813278,31.12033195020747,98.79518072289157
12,eu_transportation,AND,31,0.2,1,1,34.53237410071942,31.17505995203837,4.8780487804878
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,4,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,4,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.6,31.0,96.52173913043477
17,sf2,AND,31,0.2,1,2,62.6,31.0,45.79710144927536
18,sf3,AND,31,0.2,1,2,35.3,31.0,6.23188405797101
19,sf5,AND,31,0.2,1,2,43.0,31.0,17.391304347826086
20,aucs,AND,31,0.30000000000000004,1,4,78.68852459016394,31.147540983606557,69.04761904761905
21,ckm_physicians,AND,31,0.30000000000000004,1,5,99.1701244813278,31.12033195020747,98.79518072289157
22,eu_transportation,AND,31,0.30000000000000004,1,1,34.2925659472422,31.17505995203837,4.529616724738668
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,4,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,7,97.6,31.0,96.52173913043477
27,sf2,AND,31,0.30000000000000004,1,2,62.6,31.0,45.79710144927536
28,sf3,AND,31,0.30000000000000004,1,2,35.3,31.0,6.23188405797101
29,sf5,AND,31,0.30000000000000004,1,3,42.5,31.0,16.666666666666668
30,aucs,AND,31,0.4,1,5,72.1311475409836,31.147540983606557,59.52380952380952
31,ckm_physicians,AND,31,0.4,1,6,75.93360995850622,31.12033195020747,65.06024096385542
32,eu_transportation,AND,31,0.4,1,1,33.81294964028777,31.17505995203837,3.832752613240415
33,lazega,AND,31,0.4,1,3,100.0,32.3943661971831,100.0
34,er2,AND,31,0.4,1,6,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,15,95.0,31.0,92.7536231884058
36,er5,AND,31,0.4,1,12,43.1,31.0,17.536231884057976
37,sf2,AND,31,0.4,1,3,62.6,31.0,45.79710144927536
38,sf3,AND,31,0.4,1,1,34.4,31.0,4.927536231884057
39,sf5,AND,31,0.4,1,3,37.5,31.0,9.420289855072463
40,aucs,AND,31,0.5,1,1,37.704918032786885,31.147540983606557,9.523809523809526
41,ckm_physicians,AND,31,0.5,1,3,46.47302904564315,31.12033195020747,22.289156626506024
42,eu_transportation,AND,31,0.5,1,1,31.654676258992804,31.17505995203837,0.6968641114982534
43,lazega,AND,31,0.5,1,5,45.07042253521127,32.3943661971831,18.75
44,er2,AND,31,0.5,1,7,56.10000000000001,31.0,36.37681159420291
45,er3,AND,31,0.5,1,2,34.8,31.0,5.50724637681159
46,er5,AND,31,0.5,1,1,31.900000000000002,31.0,1.3043478260869596
