,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,1,0.1,1,1,100.0,1.5873015873015872,99.99999999999999
1,er1,AND,1,0.1,1,4,100.0,1.0,100.0
2,sf1,AND,1,0.1,1,3,93.10000000000001,1.0,93.03030303030303
3,eu_trans_1,AND,1,0.2,1,1,100.0,1.5873015873015872,99.99999999999999
4,er1,AND,1,0.2,1,11,100.0,1.0,100.0
5,sf1,AND,1,0.2,1,4,93.10000000000001,1.0,93.03030303030303
6,eu_trans_1,AND,1,0.3,1,1,100.0,1.5873015873015872,99.99999999999999
7,er1,AND,1,0.3,1,4,3.0,1.0,2.0202020202020203
8,sf1,AND,1,0.3,1,7,93.10000000000001,1.0,93.03030303030303
9,eu_trans_1,AND,1,0.4,1,1,100.0,1.5873015873015872,99.99999999999999
10,er1,AND,1,0.4,1,1,1.2,1.0,0.202020202020202
11,sf1,AND,1,0.4,1,3,5.0,1.0,4.040404040404041
12,eu_trans_1,AND,1,0.5,1,1,100.0,1.5873015873015872,99.99999999999999
13,er1,AND,1,0.5,1,1,1.0999999999999999,1.0,0.10101010101010087
14,sf1,AND,1,0.5,1,1,2.5,1.0,1.5151515151515151
15,eu_trans_1,AND,1,0.6,1,1,100.0,1.5873015873015872,99.99999999999999
16,er1,AND,1,0.6,1,1,1.0999999999999999,1.0,0.10101010101010087
17,sf1,AND,1,0.6,1,1,2.5,1.0,1.5151515151515151
18,eu_trans_1,AND,1,0.7,1,1,100.0,1.5873015873015872,99.99999999999999
19,er1,AND,1,0.7,1,1,1.0999999999999999,1.0,0.10101010101010087
20,sf1,AND,1,0.7,1,1,1.2,1.0,0.202020202020202
21,eu_trans_1,AND,1,0.8,1,1,100.0,1.5873015873015872,99.99999999999999
22,er1,AND,1,0.8,1,1,1.0999999999999999,1.0,0.10101010101010087
23,sf1,AND,1,0.8,1,1,1.0999999999999999,1.0,0.10101010101010087
24,eu_trans_1,AND,1,0.9,1,1,100.0,1.5873015873015872,99.99999999999999
25,er1,AND,1,0.9,1,1,1.0999999999999999,1.0,0.10101010101010087
26,sf1,AND,1,0.9,1,1,1.0999999999999999,1.0,0.10101010101010087
27,eu_trans_1,AND,2,0.1,1,1,100.0,3.1746031746031744,100.0
28,er1,AND,2,0.1,1,4,100.0,2.0,100.0
29,sf1,AND,2,0.1,1,3,93.10000000000001,2.0,92.95918367346938
30,eu_trans_1,AND,2,0.2,1,1,100.0,3.1746031746031744,100.0
31,er1,AND,2,0.2,1,7,100.0,2.0,100.0
32,sf1,AND,2,0.2,1,4,93.10000000000001,2.0,92.95918367346938
33,eu_trans_1,AND,2,0.3,1,1,100.0,3.1746031746031744,100.0
34,er1,AND,2,0.3,1,4,5.1,2.0,3.1632653061224483
35,sf1,AND,2,0.3,1,5,93.10000000000001,2.0,92.95918367346938
36,eu_trans_1,AND,2,0.4,1,1,100.0,3.1746031746031744,100.0
37,er1,AND,2,0.4,1,1,2.7,2.0,0.7142857142857144
38,sf1,AND,2,0.4,1,5,13.100000000000001,2.0,11.3265306122449
39,eu_trans_1,AND,2,0.5,1,1,100.0,3.1746031746031744,100.0
40,er1,AND,2,0.5,1,1,2.3,2.0,0.3061224489795917
41,sf1,AND,2,0.5,1,2,6.0,2.0,4.081632653061225
42,eu_trans_1,AND,2,0.6,1,1,100.0,3.1746031746031744,100.0
43,er1,AND,2,0.6,1,1,2.3,2.0,0.3061224489795917
44,sf1,AND,2,0.6,1,2,6.0,2.0,4.081632653061225
45,eu_trans_1,AND,2,0.7,1,1,100.0,3.1746031746031744,100.0
46,er1,AND,2,0.7,1,1,2.1999999999999997,2.0,0.20408163265306092
47,sf1,AND,2,0.7,1,1,2.5,2.0,0.5102040816326531
48,eu_trans_1,AND,2,0.8,1,1,100.0,3.1746031746031744,100.0
49,er1,AND,2,0.8,1,1,2.1999999999999997,2.0,0.20408163265306092
50,sf1,AND,2,0.8,1,1,2.1,2.0,0.1020408163265307
51,eu_trans_1,AND,2,0.9,1,1,100.0,3.1746031746031744,100.0
52,er1,AND,2,0.9,1,1,2.1999999999999997,2.0,0.20408163265306092
53,sf1,AND,2,0.9,1,1,2.1,2.0,0.1020408163265307
54,eu_trans_1,AND,3,0.1,1,1,100.0,3.1746031746031744,100.0
55,er1,AND,3,0.1,1,4,100.0,3.0,100.0
56,sf1,AND,3,0.1,1,3,93.10000000000001,3.0,92.88659793814433
57,eu_trans_1,AND,3,0.2,1,1,100.0,3.1746031746031744,100.0
58,er1,AND,3,0.2,1,6,100.0,3.0,100.0
59,sf1,AND,3,0.2,1,4,93.10000000000001,3.0,92.88659793814433
60,eu_trans_1,AND,3,0.3,1,1,100.0,3.1746031746031744,100.0
61,er1,AND,3,0.3,1,14,100.0,3.0,100.0
62,sf1,AND,3,0.3,1,5,93.10000000000001,3.0,92.88659793814433
63,eu_trans_1,AND,3,0.4,1,1,100.0,3.1746031746031744,100.0
64,er1,AND,3,0.4,1,1,4.0,3.0,1.0309278350515463
65,sf1,AND,3,0.4,1,10,28.7,3.0,26.49484536082474
66,eu_trans_1,AND,3,0.5,1,1,100.0,3.1746031746031744,100.0
67,er1,AND,3,0.5,1,1,3.4000000000000004,3.0,0.4123711340206189
68,sf1,AND,3,0.5,1,4,11.600000000000001,3.0,8.8659793814433
69,eu_trans_1,AND,3,0.6,1,1,100.0,3.1746031746031744,100.0
70,er1,AND,3,0.6,1,1,3.4000000000000004,3.0,0.4123711340206189
71,sf1,AND,3,0.6,1,3,11.200000000000001,3.0,8.453608247422682
72,eu_trans_1,AND,3,0.7,1,1,100.0,3.1746031746031744,100.0
73,er1,AND,3,0.7,1,1,3.2,3.0,0.20618556701030946
74,sf1,AND,3,0.7,1,1,3.9,3.0,0.9278350515463916
75,eu_trans_1,AND,3,0.8,1,1,100.0,3.1746031746031744,100.0
76,er1,AND,3,0.8,1,1,3.2,3.0,0.20618556701030946
77,sf1,AND,3,0.8,1,1,3.3000000000000003,3.0,0.3092783505154642
78,eu_trans_1,AND,3,0.9,1,1,100.0,3.1746031746031744,100.0
79,er1,AND,3,0.9,1,1,3.2,3.0,0.20618556701030946
80,sf1,AND,3,0.9,1,1,3.3000000000000003,3.0,0.3092783505154642
81,eu_trans_1,AND,4,0.1,1,1,100.0,4.761904761904762,100.00000000000001
82,er1,AND,4,0.1,1,4,100.0,4.0,100.0
83,sf1,AND,4,0.1,1,3,93.10000000000001,4.0,92.8125
84,eu_trans_1,AND,4,0.2,1,1,100.0,4.761904761904762,100.00000000000001
85,er1,AND,4,0.2,1,6,100.0,4.0,100.0
86,sf1,AND,4,0.2,1,3,93.10000000000001,4.0,92.8125
87,eu_trans_1,AND,4,0.3,1,1,100.0,4.761904761904762,100.00000000000001
88,er1,AND,4,0.3,1,11,100.0,4.0,100.0
89,sf1,AND,4,0.3,1,4,93.10000000000001,4.0,92.8125
90,eu_trans_1,AND,4,0.4,1,1,100.0,4.761904761904762,100.00000000000001
91,er1,AND,4,0.4,1,1,5.4,4.0,1.4583333333333337
92,sf1,AND,4,0.4,1,14,93.10000000000001,4.0,92.8125
93,eu_trans_1,AND,4,0.5,1,1,100.0,4.761904761904762,100.00000000000001
94,er1,AND,4,0.5,1,1,4.7,4.0,0.7291666666666669
95,sf1,AND,4,0.5,1,4,14.000000000000002,4.0,10.41666666666667
96,eu_trans_1,AND,4,0.6,1,1,100.0,4.761904761904762,100.00000000000001
97,er1,AND,4,0.6,1,1,4.7,4.0,0.7291666666666669
98,sf1,AND,4,0.6,1,3,13.600000000000001,4.0,10.000000000000002
99,eu_trans_1,AND,4,0.7,1,1,100.0,4.761904761904762,100.00000000000001
100,er1,AND,4,0.7,1,1,4.2,4.0,0.2083333333333335
101,sf1,AND,4,0.7,1,1,5.4,4.0,1.4583333333333337
102,eu_trans_1,AND,4,0.8,1,1,100.0,4.761904761904762,100.00000000000001
103,er1,AND,4,0.8,1,1,4.2,4.0,0.2083333333333335
104,sf1,AND,4,0.8,1,1,4.8,4.0,0.8333333333333331
105,eu_trans_1,AND,4,0.9,1,1,100.0,4.761904761904762,100.00000000000001
106,er1,AND,4,0.9,1,1,4.2,4.0,0.2083333333333335
107,sf1,AND,4,0.9,1,1,4.8,4.0,0.8333333333333331
108,eu_trans_1,AND,5,0.1,1,1,100.0,6.349206349206349,100.0
109,er1,AND,5,0.1,1,4,100.0,5.0,100.0
110,sf1,AND,5,0.1,1,3,93.10000000000001,5.0,92.73684210526316
111,eu_trans_1,AND,5,0.2,1,1,100.0,6.349206349206349,100.0
112,er1,AND,5,0.2,1,5,100.0,5.0,100.0
113,sf1,AND,5,0.2,1,3,93.10000000000001,5.0,92.73684210526316
114,eu_trans_1,AND,5,0.3,1,1,100.0,6.349206349206349,100.0
115,er1,AND,5,0.3,1,9,100.0,5.0,100.0
116,sf1,AND,5,0.3,1,4,93.10000000000001,5.0,92.73684210526316
117,eu_trans_1,AND,5,0.4,1,1,100.0,6.349206349206349,100.0
118,er1,AND,5,0.4,1,2,7.8,5.0,2.9473684210526314
119,sf1,AND,5,0.4,1,9,93.10000000000001,5.0,92.73684210526316
120,eu_trans_1,AND,5,0.5,1,1,100.0,6.349206349206349,100.0
121,er1,AND,5,0.5,1,1,5.8999999999999995,5.0,0.947368421052631
122,sf1,AND,5,0.5,1,4,17.599999999999998,5.0,13.263157894736839
123,eu_trans_1,AND,5,0.6,1,1,100.0,6.349206349206349,100.0
124,er1,AND,5,0.6,1,1,5.8999999999999995,5.0,0.947368421052631
125,sf1,AND,5,0.6,1,3,16.400000000000002,5.0,12.000000000000002
126,eu_trans_1,AND,5,0.7,1,1,100.0,6.349206349206349,100.0
127,er1,AND,5,0.7,1,1,5.3,5.0,0.31578947368421034
128,sf1,AND,5,0.7,1,1,7.199999999999999,5.0,2.3157894736842097
129,eu_trans_1,AND,5,0.8,1,1,100.0,6.349206349206349,100.0
130,er1,AND,5,0.8,1,1,5.3,5.0,0.31578947368421034
131,sf1,AND,5,0.8,1,1,6.1,5.0,1.1578947368421049
132,eu_trans_1,AND,5,0.9,1,1,100.0,6.349206349206349,100.0
133,er1,AND,5,0.9,1,1,5.3,5.0,0.31578947368421034
134,sf1,AND,5,0.9,1,1,6.1,5.0,1.1578947368421049
135,eu_trans_1,AND,6,0.1,1,1,100.0,6.349206349206349,100.0
136,er1,AND,6,0.1,1,4,100.0,6.0,100.0
137,sf1,AND,6,0.1,1,3,93.10000000000001,6.0,92.65957446808511
138,eu_trans_1,AND,6,0.2,1,1,100.0,6.349206349206349,100.0
139,er1,AND,6,0.2,1,5,100.0,6.0,100.0
140,sf1,AND,6,0.2,1,3,93.10000000000001,6.0,92.65957446808511
141,eu_trans_1,AND,6,0.3,1,1,100.0,6.349206349206349,100.0
142,er1,AND,6,0.3,1,8,100.0,6.0,100.0
143,sf1,AND,6,0.3,1,4,93.10000000000001,6.0,92.65957446808511
144,eu_trans_1,AND,6,0.4,1,1,100.0,6.349206349206349,100.0
145,er1,AND,6,0.4,1,2,10.0,6.0,4.25531914893617
146,sf1,AND,6,0.4,1,8,93.10000000000001,6.0,92.65957446808511
147,eu_trans_1,AND,6,0.5,1,1,100.0,6.349206349206349,100.0
148,er1,AND,6,0.5,1,1,7.199999999999999,6.0,1.2765957446808502
149,sf1,AND,6,0.5,1,5,21.3,6.0,16.27659574468085
150,eu_trans_1,AND,6,0.6,1,1,100.0,6.349206349206349,100.0
151,er1,AND,6,0.6,1,1,7.199999999999999,6.0,1.2765957446808502
152,sf1,AND,6,0.6,1,3,19.900000000000002,6.0,14.787234042553195
153,eu_trans_1,AND,6,0.7,1,1,100.0,6.349206349206349,100.0
154,er1,AND,6,0.7,1,1,6.4,6.0,0.4255319148936174
155,sf1,AND,6,0.7,1,2,9.2,6.0,3.4042553191489358
156,eu_trans_1,AND,6,0.8,1,1,100.0,6.349206349206349,100.0
157,er1,AND,6,0.8,1,1,6.4,6.0,0.4255319148936174
158,sf1,AND,6,0.8,1,1,7.3999999999999995,6.0,1.489361702127659
159,eu_trans_1,AND,6,0.9,1,1,100.0,6.349206349206349,100.0
160,er1,AND,6,0.9,1,1,6.4,6.0,0.4255319148936174
161,sf1,AND,6,0.9,1,1,7.3999999999999995,6.0,1.489361702127659
162,eu_trans_1,AND,7,0.1,1,1,100.0,7.936507936507936,100.0
163,er1,AND,7,0.1,1,4,100.0,7.000000000000001,100.0
164,sf1,AND,7,0.1,1,3,93.10000000000001,7.000000000000001,92.58064516129032
165,eu_trans_1,AND,7,0.2,1,1,100.0,7.936507936507936,100.0
166,er1,AND,7,0.2,1,5,100.0,7.000000000000001,100.0
167,sf1,AND,7,0.2,1,3,93.10000000000001,7.000000000000001,92.58064516129032
168,eu_trans_1,AND,7,0.3,1,1,100.0,7.936507936507936,100.0
169,er1,AND,7,0.3,1,7,100.0,7.000000000000001,100.0
170,sf1,AND,7,0.3,1,4,93.10000000000001,7.000000000000001,92.58064516129032
171,eu_trans_1,AND,7,0.4,1,1,100.0,7.936507936507936,100.0
172,er1,AND,7,0.4,1,5,12.6,7.000000000000001,6.021505376344085
173,sf1,AND,7,0.4,1,7,93.10000000000001,7.000000000000001,92.58064516129032
174,eu_trans_1,AND,7,0.5,1,1,100.0,7.936507936507936,100.0
175,er1,AND,7,0.5,1,1,8.4,7.000000000000001,1.5053763440860208
176,sf1,AND,7,0.5,1,7,28.4,7.000000000000001,23.010752688172044
177,eu_trans_1,AND,7,0.6,1,1,100.0,7.936507936507936,100.0
178,er1,AND,7,0.6,1,1,8.4,7.000000000000001,1.5053763440860208
179,sf1,AND,7,0.6,1,5,24.7,7.000000000000001,19.032258064516128
180,eu_trans_1,AND,7,0.7,1,1,100.0,7.936507936507936,100.0
181,er1,AND,7,0.7,1,1,7.3999999999999995,7.000000000000001,0.4301075268817189
182,sf1,AND,7,0.7,1,2,11.0,7.000000000000001,4.301075268817203
183,eu_trans_1,AND,7,0.8,1,1,100.0,7.936507936507936,100.0
184,er1,AND,7,0.8,1,1,7.3999999999999995,7.000000000000001,0.4301075268817189
185,sf1,AND,7,0.8,1,1,9.0,7.000000000000001,2.150537634408601
186,eu_trans_1,AND,7,0.9,1,1,100.0,7.936507936507936,100.0
187,er1,AND,7,0.9,1,1,7.3999999999999995,7.000000000000001,0.4301075268817189
188,sf1,AND,7,0.9,1,1,9.0,7.000000000000001,2.150537634408601
189,eu_trans_1,AND,8,0.1,1,1,100.0,9.523809523809524,100.0
190,er1,AND,8,0.1,1,4,100.0,8.0,100.0
191,sf1,AND,8,0.1,1,3,93.10000000000001,8.0,92.5
192,eu_trans_1,AND,8,0.2,1,1,100.0,9.523809523809524,100.0
193,er1,AND,8,0.2,1,4,100.0,8.0,100.0
194,sf1,AND,8,0.2,1,3,93.10000000000001,8.0,92.5
195,eu_trans_1,AND,8,0.3,1,1,100.0,9.523809523809524,100.0
196,er1,AND,8,0.3,1,6,100.0,8.0,100.0
197,sf1,AND,8,0.3,1,3,93.10000000000001,8.0,92.5
198,eu_trans_1,AND,8,0.4,1,1,100.0,9.523809523809524,100.0
199,er1,AND,8,0.4,1,6,17.0,8.0,9.782608695652174
200,sf1,AND,8,0.4,1,6,93.10000000000001,8.0,92.5
201,eu_trans_1,AND,8,0.5,1,1,100.0,9.523809523809524,100.0
202,er1,AND,8,0.5,1,2,9.6,8.0,1.7391304347826084
203,sf1,AND,8,0.5,1,17,48.199999999999996,8.0,43.69565217391304
204,eu_trans_1,AND,8,0.6,1,1,100.0,9.523809523809524,100.0
205,er1,AND,8,0.6,1,2,9.6,8.0,1.7391304347826084
206,sf1,AND,8,0.6,1,5,30.4,8.0,24.347826086956523
207,eu_trans_1,AND,8,0.7,1,1,100.0,9.523809523809524,100.0
208,er1,AND,8,0.7,1,1,8.5,8.0,0.5434782608695652
209,sf1,AND,8,0.7,1,2,13.200000000000001,8.0,5.652173913043479
210,eu_trans_1,AND,8,0.8,1,1,100.0,9.523809523809524,100.0
211,er1,AND,8,0.8,1,1,8.5,8.0,0.5434782608695652
212,sf1,AND,8,0.8,1,1,10.7,8.0,2.9347826086956514
213,eu_trans_1,AND,8,0.9,1,1,100.0,9.523809523809524,100.0
214,er1,AND,8,0.9,1,1,8.5,8.0,0.5434782608695652
215,sf1,AND,8,0.9,1,1,10.7,8.0,2.9347826086956514
