,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,96.72131147540983,31.147540983606557,95.23809523809523
1,ckm_physicians,AND,31,0.1,1,3,97.9253112033195,31.12033195020747,96.98795180722891
2,eu_transportation,AND,31,0.1,1,2,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,4,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,3,97.7,31.0,96.66666666666667
7,sf2,AND,31,0.1,1,2,63.9,31.0,47.68115942028985
8,sf3,AND,31,0.1,1,2,41.4,31.0,15.072463768115938
9,sf5,AND,31,0.1,1,3,47.5,31.0,23.91304347826087
10,aucs,AND,31,0.2,1,4,96.72131147540983,31.147540983606557,95.23809523809523
11,ckm_physicians,AND,31,0.2,1,3,97.9253112033195,31.12033195020747,96.98795180722891
12,eu_transportation,AND,31,0.2,1,2,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,4,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,4,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,4,97.7,31.0,96.66666666666667
17,sf2,AND,31,0.2,1,2,63.9,31.0,47.68115942028985
18,sf3,AND,31,0.2,1,2,41.4,31.0,15.072463768115938
19,sf5,AND,31,0.2,1,3,47.4,31.0,23.76811594202898
20,aucs,AND,31,0.30000000000000004,1,4,96.72131147540983,31.147540983606557,95.23809523809523
21,ckm_physicians,AND,31,0.30000000000000004,1,4,97.9253112033195,31.12033195020747,96.98795180722891
22,eu_transportation,AND,31,0.30000000000000004,1,2,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
