,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
0,arxiv,AND,15,0.1,4,78.00213295414149,15.00177746178457,74.11961522375576,vote_rank_mln
1,timik1q2009,AND,15,0.1,11,97.21078733266346,15.001134485105831,96.71852953514092,vote_rank_mln
2,arxiv,AND,15,0.2,4,77.51155350159972,15.00177746178457,73.54245085738185,vote_rank_mln
3,timik1q2009,AND,15,0.2,11,97.20592525363844,15.001134485105831,96.7128093658239,vote_rank_mln
4,arxiv,AND,15,0.3,4,72.9754710273729,15.00177746178457,68.20577164366374,vote_rank_mln
5,timik1q2009,AND,15,0.3,21,97.11354575216362,15.001134485105831,96.60412614880066,vote_rank_mln
6,arxiv,AND,15,0.4,6,57.83149662282261,15.00177746178457,50.38895859473025,vote_rank_mln
7,timik1q2009,AND,15,0.4,12,96.32426825710674,15.001134485105831,95.6755519963391,vote_rank_mln
8,arxiv,AND,15,0.5,6,36.9925346605048,15.00177746178457,25.87202007528231,vote_rank_mln
9,timik1q2009,AND,15,0.5,7,90.04894492885158,15.001134485105831,88.29272013118256,vote_rank_mln
10,arxiv,AND,15,0.6,8,35.15819409882688,15.00177746178457,23.71392722710163,vote_rank_mln
11,timik1q2009,AND,15,0.6,8,89.60811643058571,15.001134485105831,87.77409144644014,vote_rank_mln
12,arxiv,AND,15,0.7,4,25.68787771062922,15.00177746178457,12.572145545796738,vote_rank_mln
13,timik1q2009,AND,15,0.7,11,79.62788888528735,15.001134485105831,76.03249056172062,vote_rank_mln
14,arxiv,AND,15,0.8,3,23.3771773906861,15.00177746178457,9.85361773316604,vote_rank_mln
15,timik1q2009,AND,15,0.8,14,60.727367022138665,15.001134485105831,53.79628570339015,vote_rank_mln
16,arxiv,AND,15,0.9,1,23.192321365090653,15.00177746178457,9.636135508155588,vote_rank_mln
17,timik1q2009,AND,15,0.9,3,50.6725875984571,15.001134485105831,41.96697555580978,vote_rank_mln
18,arxiv,AND,20,0.1,3,82.3249200142197,20.0,77.90615001777462,vote_rank_mln
19,timik1q2009,AND,20,0.1,11,97.78289196460406,20.000972415805,97.22858126861288,vote_rank_mln
20,arxiv,AND,20,0.2,3,81.83434056167792,20.0,77.29292570209739,vote_rank_mln
21,timik1q2009,AND,20,0.2,11,97.78289196460406,20.000972415805,97.22858126861288,vote_rank_mln
22,arxiv,AND,20,0.3,3,81.59260575897618,20.0,76.99075719872022,vote_rank_mln
23,timik1q2009,AND,20,0.3,11,97.76992642053742,20.000972415805,97.21237414152873,vote_rank_mln
24,arxiv,AND,20,0.4,3,69.37077852826164,20.0,61.71347316032704,vote_rank_mln
25,timik1q2009,AND,20,0.4,9,97.32747722926324,20.000972415805,96.65930592978263,vote_rank_mln
26,arxiv,AND,20,0.5,5,48.04123711340206,20.0,35.05154639175258,vote_rank_mln
27,timik1q2009,AND,20,0.5,6,92.8576059122881,20.000972415805,91.071898867527,vote_rank_mln
28,arxiv,AND,20,0.6,7,46.9676501955208,20.0,33.709562744401,vote_rank_mln
29,timik1q2009,AND,20,0.6,6,92.7781919548799,20.000972415805,90.97263021413666,vote_rank_mln
30,arxiv,AND,20,0.7,5,35.17952364024173,20.0,18.974404550302165,vote_rank_mln
31,timik1q2009,AND,20,0.7,8,87.11711127678196,20.000972415805,83.89619335102613,vote_rank_mln
32,arxiv,AND,20,0.8,3,30.650551013153216,20.0,13.313188766441518,vote_rank_mln
33,timik1q2009,AND,20,0.8,11,76.81436582282583,20.000972415805,71.01760499179514,vote_rank_mln
34,arxiv,AND,20,0.9,1,30.344827586206897,20.0,12.931034482758625,vote_rank_mln
35,timik1q2009,AND,20,0.9,5,63.921752941557806,20.000972415805,54.90164299750815,vote_rank_mln
36,arxiv,AND,25,0.1,2,91.6032705296836,25.00533238535371,88.80356465680698,vote_rank_mln
37,timik1q2009,AND,25,0.1,4,98.32744481540308,25.000810346504167,97.76990232517936,vote_rank_mln
38,arxiv,AND,25,0.2,2,91.11269107714185,25.00533238535371,88.14941221084565,vote_rank_mln
39,timik1q2009,AND,25,0.2,4,98.32744481540308,25.000810346504167,97.76990232517936,vote_rank_mln
40,arxiv,AND,25,0.3,2,90.87095627444008,25.00533238535371,87.82707622298065,vote_rank_mln
41,timik1q2009,AND,25,0.3,4,98.32744481540308,25.000810346504167,97.76990232517936,vote_rank_mln
42,arxiv,AND,25,0.4,3,81.61393530039103,25.00533238535371,75.4835039817975,vote_rank_mln
43,timik1q2009,AND,25,0.4,9,98.2220997698616,25.000810346504167,97.6294407468234,vote_rank_mln
44,arxiv,AND,25,0.5,5,57.32669747600426,25.00533238535371,43.09821767159651,vote_rank_mln
45,timik1q2009,AND,25,0.5,4,95.22219701144208,25.000810346504167,93.6295271847178,vote_rank_mln
46,arxiv,AND,25,0.6,4,56.08958407394241,25.00533238535371,41.44861585134623,vote_rank_mln
47,timik1q2009,AND,25,0.6,4,95.22219701144208,25.000810346504167,93.6295271847178,vote_rank_mln
48,arxiv,AND,25,0.7,5,43.00035549235691,25.00533238535371,23.99507015547971,vote_rank_mln
49,timik1q2009,AND,25,0.7,5,92.10398366341448,25.000810346504167,89.47186446538163,vote_rank_mln
50,arxiv,AND,25,0.8,3,37.50444365446143,25.00533238535371,16.666666666666668,vote_rank_mln
51,timik1q2009,AND,25,0.8,6,86.24517843830021,25.000810346504167,81.6600397614314,vote_rank_mln
52,arxiv,AND,25,0.9,2,37.03519374333452,25.00533238535371,16.04095563139932,vote_rank_mln
53,timik1q2009,AND,25,0.9,7,77.0526076950504,25.000810346504167,69.40314633935517,vote_rank_mln
54,arxiv,AND,30,0.1,2,92.0298613579808,30.00355492356914,88.6135093956323,vote_rank_mln
55,timik1q2009,AND,30,0.1,3,98.65644549609412,30.000648277203336,98.08061864740338,vote_rank_mln
56,arxiv,AND,30,0.2,2,91.53928190543904,30.00355492356914,87.91264601320466,vote_rank_mln
57,timik1q2009,AND,30,0.2,3,98.65644549609412,30.000648277203336,98.08061864740338,vote_rank_mln
58,arxiv,AND,30,0.3,2,91.29754710273728,30.00355492356914,87.56729304215337,vote_rank_mln
59,timik1q2009,AND,30,0.3,3,98.65644549609412,30.000648277203336,98.08061864740338,vote_rank_mln
60,arxiv,AND,30,0.4,3,90.70031994312122,30.00355492356914,86.71406805485017,vote_rank_mln
61,timik1q2009,AND,30,0.4,3,98.64834203105248,30.000648277203336,98.06904216156144,vote_rank_mln
62,arxiv,AND,30,0.5,3,70.20263064344117,30.00355492356914,57.43016759776536,vote_rank_mln
63,timik1q2009,AND,30,0.5,3,96.53171696217302,30.000648277203336,95.04526405964204,vote_rank_mln
64,arxiv,AND,30,0.6,3,69.13615357269819,30.00355492356914,55.906551549009656,vote_rank_mln
65,timik1q2009,AND,30,0.6,3,96.53171696217302,30.000648277203336,95.04526405964204,vote_rank_mln
66,arxiv,AND,30,0.7,5,51.40419480981159,30.00355492356914,30.573895378364647,vote_rank_mln
67,timik1q2009,AND,30,0.7,3,94.6987131697514,30.000648277203336,92.4266629621912,vote_rank_mln
68,arxiv,AND,30,0.8,4,45.154639175257735,30.00355492356914,21.645505332656175,vote_rank_mln
69,timik1q2009,AND,30,0.8,4,91.80739684289,30.000648277203336,88.29617281378064,vote_rank_mln
70,arxiv,AND,30,0.9,2,44.33700675435478,30.00355492356914,20.477399695276794,vote_rank_mln
71,timik1q2009,AND,30,0.9,4,87.70542283880587,30.000648277203336,82.4361556805816,vote_rank_mln
72,arxiv,AND,31,0.1,2,92.05830074653394,31.006043370067545,88.48928276999176,vote_rank_mln
73,timik1q2009,AND,31,0.1,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
74,arxiv,AND,31,0.2,2,91.56772129399218,31.006043370067545,87.77823577906018,vote_rank_mln
75,timik1q2009,AND,31,0.2,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
76,arxiv,AND,31,0.3,2,91.32598649129044,31.006043370067545,87.42786479802143,vote_rank_mln
77,timik1q2009,AND,31,0.3,3,99.05837736216006,31.000615863343167,98.63531732982572,vote_rank_mln
78,arxiv,AND,31,0.4,3,90.72875933167435,31.006043370067545,86.56224237427865,vote_rank_mln
79,timik1q2009,AND,31,0.4,3,99.05027389711842,31.000615863343167,98.62357307276744,vote_rank_mln
80,arxiv,AND,31,0.5,3,72.41379310344827,31.006043370067545,60.01648804616652,vote_rank_mln
81,timik1q2009,AND,31,0.5,3,97.42309811675472,31.000615863343167,96.26532625546108,vote_rank_mln
82,arxiv,AND,31,0.6,3,71.38286526839673,31.006043370067545,58.52225886232481,vote_rank_mln
83,timik1q2009,AND,31,0.6,3,97.42309811675472,31.000615863343167,96.26532625546108,vote_rank_mln
84,arxiv,AND,31,0.7,5,54.19125488801991,31.006043370067545,33.604699093157464,vote_rank_mln
85,timik1q2009,AND,31,0.7,3,95.94016401413243,31.000615863343167,94.11612721379248,vote_rank_mln
86,arxiv,AND,31,0.8,4,46.56238890863846,31.006043370067545,22.547403132728764,vote_rank_mln
87,timik1q2009,AND,31,0.8,4,93.4135036141454,31.000615863343167,90.454267863015,vote_rank_mln
88,arxiv,AND,31,0.9,2,45.7518663348738,31.006043370067545,21.372629843363555,vote_rank_mln
89,timik1q2009,AND,31,0.9,4,89.63080613270235,31.000615863343167,84.97204866820125,vote_rank_mln
90,arxiv,AND,32,0.1,2,92.10806967650196,32.00142196942765,88.3939774153074,vote_rank_mln
91,timik1q2009,AND,32,0.1,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
92,arxiv,AND,32,0.2,2,91.6174902239602,32.00142196942765,87.67252195734004,vote_rank_mln
93,timik1q2009,AND,32,0.2,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
94,arxiv,AND,32,0.3,2,91.37575542125845,32.00142196942765,87.31702216645755,vote_rank_mln
95,timik1q2009,AND,32,0.3,3,99.78444782989206,32.000583449483,99.6830087947184,vote_rank_mln
96,arxiv,AND,32,0.4,3,90.79985780305724,32.00142196942765,86.47009619406107,vote_rank_mln
97,timik1q2009,AND,32,0.4,3,99.77634436485042,32.000583449483,99.67109183211385,vote_rank_mln
98,arxiv,AND,32,0.5,3,75.10131532172059,32.00142196942765,63.38352153910499,vote_rank_mln
99,timik1q2009,AND,32,0.5,3,98.71641113740236,32.000583449483,98.1123531234359,vote_rank_mln
100,arxiv,AND,32,0.6,3,74.09882687522217,32.00142196942765,61.90924299456293,vote_rank_mln
101,timik1q2009,AND,32,0.6,3,98.71641113740236,32.000583449483,98.1123531234359,vote_rank_mln
