,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,AND,15,0.1,1,4,60.028439388553146,15.00177746178457,52.973651191969886
1,timik1q2009,AND,15,0.1,1,11,97.03899387378043,15.001134485105833,96.51641688593982
2,arxiv,AND,15,0.2,1,7,57.838606469960894,15.00177746178457,50.397323295692175
3,timik1q2009,AND,15,0.2,1,11,97.00820070662215,15.001134485105833,96.48018914693208
4,arxiv,AND,15,0.3,1,6,54.22680412371134,15.00177746178457,46.148055207026346
5,timik1q2009,AND,15,0.3,1,21,96.89313150303069,15.001134485105833,96.34481180642946
6,arxiv,AND,15,0.4,1,6,45.54568076786349,15.00177746178457,35.93475533249686
7,timik1q2009,AND,15,0.4,1,10,95.99364688340735,15.001134485105833,95.2865804827823
8,arxiv,AND,15,0.5,1,4,32.890152861713474,15.00177746178457,21.04558762024258
9,timik1q2009,AND,15,0.5,1,8,89.46387475284432,15.001134485105833,87.60439309003547
10,arxiv,AND,15,0.6,1,4,32.577319587628864,15.00177746178457,20.67754077791719
11,timik1q2009,AND,15,0.6,1,10,88.58383844932092,15.001134485105833,86.56904244365633
12,arxiv,AND,15,0.7,1,4,26.733025239957342,15.00177746178457,13.80175658720201
13,timik1q2009,AND,15,0.7,1,22,75.95701922141907,15.001134485105833,71.71376272737672
14,arxiv,AND,15,0.8,1,3,23.66157127621756,15.00177746178457,10.188205771643664
15,timik1q2009,AND,15,0.8,1,9,58.53619007487602,15.001134485105833,51.21839606452351
16,arxiv,AND,15,0.9,1,1,23.09278350515464,15.00177746178457,9.519029694688417
17,timik1q2009,AND,15,0.9,1,4,49.442481605134354,15.001134485105833,40.51977271860581
18,arxiv,AND,20,0.1,1,4,66.50551013153218,20.0,58.13188766441522
19,timik1q2009,AND,20,0.1,1,11,97.53492593432952,20.000972415805,96.91861996312878
20,arxiv,AND,20,0.2,1,7,64.7493778883754,20.0,55.936722360469254
21,timik1q2009,AND,20,0.2,1,11,97.52033969725454,20.000972415805,96.90038694515913
22,arxiv,AND,20,0.3,1,7,61.265552790615,20.0,51.58194098826874
23,timik1q2009,AND,20,0.3,1,21,97.44092573984636,20.000972415805,96.80111829176882
24,arxiv,AND,20,0.4,1,5,53.78599360113757,20.0,42.23249200142196
25,timik1q2009,AND,20,0.4,1,10,96.81047615960586,20.000972415805,96.01304673730274
26,arxiv,AND,20,0.5,1,7,41.12335584784927,20.0,26.40419480981159
27,timik1q2009,AND,20,0.5,1,7,91.89491426533985,20.000972415805,89.86851968152995
28,arxiv,AND,20,0.6,1,8,40.52612868823321,20.0,25.657660860291507
29,timik1q2009,AND,20,0.6,1,8,91.51891348740722,20.000972415805,89.39851299609003
30,arxiv,AND,20,0.7,1,4,33.63668681123356,20.0,17.04585851404195
31,timik1q2009,AND,20,0.7,1,12,84.06372564908754,20.000972415805,80.07941492271226
32,arxiv,AND,20,0.8,1,3,30.721649484536083,20.0,13.402061855670103
33,timik1q2009,AND,20,0.8,1,11,72.56004667595865,20.000972415805,65.69964141731327
34,arxiv,AND,20,0.9,1,1,29.86135798080341,20.0,12.326697476004265
35,timik1q2009,AND,20,0.9,1,5,62.9655440666429,20.000972415805,53.706367375053176
36,arxiv,AND,25,0.1,1,4,70.09598293636687,25.00533238535371,60.12514220705347
37,timik1q2009,AND,25,0.1,1,10,97.97575443259538,25.000810346504167,97.30097674820641
38,arxiv,AND,25,0.2,1,5,68.61002488446498,25.00533238535371,58.14372392870686
39,timik1q2009,AND,25,0.2,1,10,97.96603027454539,25.000810346504167,97.28801106405048
40,arxiv,AND,25,0.3,1,6,65.92250266619267,25.00533238535371,54.56010618126658
41,timik1q2009,AND,25,0.3,1,10,97.93037502836212,25.000810346504167,97.24047022214538
42,arxiv,AND,25,0.4,1,5,58.75577675079986,25.00533238535371,45.00379218809254
43,timik1q2009,AND,25,0.4,1,10,97.4960293021296,25.000810346504167,96.66133632984702
44,arxiv,AND,25,0.5,1,7,46.66903661571276,25.00533238535371,28.88699279484263
45,timik1q2009,AND,25,0.5,1,7,93.60798677514505,25.000810346504167,91.47722361483275
46,arxiv,AND,25,0.6,1,9,45.98649129043725,25.00533238535371,27.976867652635566
47,timik1q2009,AND,25,0.6,1,7,93.5464004408285,25.000810346504167,91.3951076151785
48,arxiv,AND,25,0.7,1,4,40.28439388553146,25.00533238535371,20.373530527114145
49,timik1q2009,AND,25,0.7,1,6,88.907977050987,25.000810346504167,85.21047627279799
50,arxiv,AND,25,0.8,1,3,36.8361180234625,25.00533238535371,15.775502464922267
51,timik1q2009,AND,25,0.8,1,6,82.00868691452466,25.000810346504167,76.01132336416286
