,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,OR,1,0.1,1,9,61.699253466050486,1.0024884464984003,61.31140476874462
1,timik1q2009,OR,1,0.1,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
2,arxiv,OR,1,0.2,1,14,57.767507998578026,1.0024884464984003,57.33984487216317
3,timik1q2009,OR,1,0.2,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
4,arxiv,OR,1,0.3,1,18,50.863846427301816,1.0024884464984003,50.36627405917841
5,timik1q2009,OR,1,0.3,1,5,99.05027389711842,1.0015882791481638,99.04066531333902
6,arxiv,OR,1,0.4,1,12,32.9328119445432,1.0024884464984003,32.253662740591786
7,timik1q2009,OR,1,0.4,1,7,98.82661826196882,1.0015882791481638,98.81474690590007
8,arxiv,OR,1,0.5,1,14,15.200853181656596,1.0024884464984003,14.34214306233841
9,timik1q2009,OR,1,0.5,1,10,96.88178665197238,1.0015882791481638,96.8502390151267
10,arxiv,OR,1,0.6,1,15,13.821542836829009,1.0024884464984003,12.94886526860098
11,timik1q2009,OR,1,0.6,1,15,96.74402774626431,1.0015882791481638,96.7110863728636
12,arxiv,OR,1,0.7,1,13,5.5883398506932105,1.0024884464984003,4.63228957196208
13,timik1q2009,OR,1,0.7,1,8,25.16125895432887,1.0015882791481638,24.40409927313208
14,arxiv,OR,1,0.8,1,5,3.6189121933878425,1.0024884464984003,2.642918701522551
15,timik1q2009,OR,1,0.8,1,7,20.22624874396292,1.0015882791481638,19.41916050029468
16,arxiv,OR,1,0.9,1,4,3.4198364735158195,1.0024884464984003,2.4418270611893136
17,timik1q2009,OR,1,0.9,1,7,18.396486337557942,1.0015882791481638,17.570885993058745
18,arxiv,OR,2,0.1,1,9,62.040526128688235,2.0049768929968006,61.26387578901545
19,timik1q2009,OR,2,0.1,1,5,99.07944637126835,2.001555865287997,99.06064464914748
20,arxiv,OR,2,0.2,1,13,58.407394241023816,2.0049768929968006,57.55641007037654
21,timik1q2009,OR,2,0.2,1,5,99.07944637126835,2.001555865287997,99.06064464914748
22,arxiv,OR,2,0.3,1,17,51.63881976537505,2.0049768929968006,50.649350649350644
23,timik1q2009,OR,2,0.3,1,5,99.05027389711842,2.001555865287997,99.03087634577538
24,arxiv,OR,2,0.4,1,10,35.78386064699609,2.0049768929968006,34.46999927446855
25,timik1q2009,OR,2,0.4,1,6,98.82661826196882,2.001555865287997,98.80265268658938
26,arxiv,OR,2,0.5,1,13,18.777106292214718,2.0049768929968006,17.11528694768918
