,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,AND,15,0.1,1,4,69.50586562388908,15.00177746178457,64.12379757423672
1,timik1q2009,AND,15,0.1,1,11,97.05682149687206,15.001134485105833,96.53739084010219
2,arxiv,AND,15,0.2,1,4,68.01279772484892,15.00177746178457,62.36721037222921
3,timik1q2009,AND,15,0.2,1,11,97.01792486467214,15.001134485105833,96.49162948556611
4,arxiv,AND,15,0.3,1,5,64.94845360824742,15.00177746178457,58.76202425763279
5,timik1q2009,AND,15,0.3,1,21,96.88502803798904,15.001134485105833,96.33527819090112
6,arxiv,AND,15,0.4,1,5,55.07998578030572,15.00177746178457,47.15181932245922
7,timik1q2009,AND,15,0.4,1,10,95.92557777705747,15.001134485105833,95.20649811234412
8,arxiv,AND,15,0.5,1,5,38.037682189832914,15.00177746178457,27.101631116687575
9,timik1q2009,AND,15,0.5,1,7,89.4363229717027,15.001134485105833,87.57197879723905
10,arxiv,AND,15,0.6,1,5,36.907216494845365,15.00177746178457,25.771643663739024
11,timik1q2009,AND,15,0.6,1,14,88.72321804803734,15.001134485105833,86.733020630744
12,arxiv,AND,15,0.7,1,4,27.79950231070032,15.00177746178457,15.056461731493101
13,timik1q2009,AND,15,0.7,1,12,76.50481345823475,15.001134485105833,72.3582351370934
14,arxiv,AND,15,0.8,1,4,23.874866690366154,15.00177746178457,10.43914680050188
15,timik1q2009,AND,15,0.8,1,9,59.720916663965504,15.001134485105833,52.61221065476872
16,arxiv,AND,15,0.9,1,2,23.135442587984357,15.00177746178457,9.569217900460059
17,timik1q2009,AND,15,0.9,1,5,49.94327574470844,15.001134485105833,41.108950158258025
18,arxiv,AND,20,0.1,1,4,75.96871667259154,20.0,69.96089584073943
19,timik1q2009,AND,20,0.1,1,11,97.49927068814625,20.000972415805,96.87405036364743
20,arxiv,AND,20,0.2,1,4,75.96871667259154,20.0,69.96089584073943
21,timik1q2009,AND,20,0.2,1,11,97.48468445107127,20.000972415805,96.85581734567776
22,arxiv,AND,20,0.3,1,4,72.54177035193743,20.0,65.67721293992179
23,timik1q2009,AND,20,0.3,1,14,97.41337395870474,20.000972415805,96.76667814671501
24,arxiv,AND,20,0.4,1,6,63.796658371845005,20.0,54.74582296480626
25,timik1q2009,AND,20,0.4,1,14,96.8185796246475,20.000972415805,96.02317619173031
26,arxiv,AND,20,0.5,1,4,47.9132598649129,20.0,34.89157483114113
27,timik1q2009,AND,20,0.5,1,7,91.89491426533985,20.000972415805,89.86851968152995
28,arxiv,AND,20,0.6,1,4,47.21649484536082,20.0,34.020618556701024
29,timik1q2009,AND,20,0.6,1,7,91.61777576091536,20.000972415805,89.52209234010655
30,arxiv,AND,20,0.7,1,5,36.95698542481337,20.0,21.19623178101671
31,timik1q2009,AND,20,0.7,1,7,84.75738225665295,20.000972415805,80.9464962217135
32,arxiv,AND,20,0.8,1,4,31.397084962673304,20.0,14.24635620334163
33,timik1q2009,AND,20,0.8,1,11,74.22125700949726,20.000972415805,67.7761795749681
34,arxiv,AND,20,0.9,1,2,30.145751866334873,20.0,12.682189832918592
35,timik1q2009,AND,20,0.9,1,5,64.20537421801562,20.000972415805,55.256173902473606
36,arxiv,AND,25,0.1,1,3,82.3249200142197,25.00533238535371,76.43155100492986
37,timik1q2009,AND,25,0.1,1,8,97.93037502836212,25.000810346504167,97.24047022214538
38,arxiv,AND,25,0.2,1,3,82.3249200142197,25.00533238535371,76.43155100492986
39,timik1q2009,AND,25,0.2,1,8,97.92551294933713,25.000810346504167,97.23398738006742
40,arxiv,AND,25,0.3,1,3,82.3249200142197,25.00533238535371,76.43155100492986
41,timik1q2009,AND,25,0.3,1,8,97.90606463323718,25.000810346504167,97.20805601175557
42,arxiv,AND,25,0.4,1,3,73.74333451830786,25.00533238535371,64.98862343572242
43,timik1q2009,AND,25,0.4,1,8,97.51547761822955,25.000810346504167,96.68726769815886
44,arxiv,AND,25,0.5,1,4,57.31247778172769,25.00533238535371,43.07925673113386
45,timik1q2009,AND,25,0.5,1,5,93.83002171728631,25.000810346504167,91.7732734030599
46,arxiv,AND,25,0.6,1,4,57.31247778172769,25.00533238535371,43.07925673113386
47,timik1q2009,AND,25,0.6,1,5,93.77005607597809,25.000810346504167,91.69331835076498
48,arxiv,AND,25,0.7,1,4,45.25417703519374,25.00533238535371,27.000379218809254
49,timik1q2009,AND,25,0.7,1,6,89.77504781044374,25.000810346504167,86.36658311003544
50,arxiv,AND,25,0.8,1,4,38.49271240668325,25.00533238535371,17.98445202882063
51,timik1q2009,AND,25,0.8,1,4,84.04751871900424,25.000810346504167,78.72979514219034
52,arxiv,AND,25,0.9,1,2,36.907216494845365,25.00533238535371,15.870307167235506
53,timik1q2009,AND,25,0.9,1,4,77.05422838805873,25.000810346504167,69.4053072867145
54,arxiv,AND,30,0.1,1,3,84.92712406683256,30.00355492356914,78.46622651091924
55,timik1q2009,AND,30,0.1,1,2,98.45547956306116,30.000648277203336,97.79352179852283
56,arxiv,AND,30,0.2,1,3,84.92712406683256,30.00355492356914,78.46622651091924
57,timik1q2009,AND,30,0.2,1,2,98.45547956306116,30.000648277203336,97.79352179852283
58,arxiv,AND,30,0.3,1,3,84.92712406683256,30.00355492356914,78.46622651091924
59,timik1q2009,AND,30,0.3,1,2,98.44575540501118,30.000648277203336,97.7796300155125
60,arxiv,AND,30,0.4,1,3,78.89086384642731,30.00355492356914,69.84255967496192
61,timik1q2009,AND,30,0.4,1,2,98.2172376908366,30.000648277203336,97.45317311476927
62,arxiv,AND,30,0.5,1,4,64.71382865268397,30.00355492356914,49.58862366683597
63,timik1q2009,AND,30,0.5,1,2,95.97743995332404,30.000648277203336,94.25343242805214
64,arxiv,AND,30,0.6,1,4,64.71382865268397,30.00355492356914,49.58862366683597
65,timik1q2009,AND,30,0.6,1,2,95.95475025120741,30.000648277203336,94.22101826769466
66,arxiv,AND,30,0.7,1,4,54.53252755065766,30.00355492356914,35.04316912138141
67,timik1q2009,AND,30,0.7,1,2,93.83164241029465,30.000648277203336,91.18797897710172
68,arxiv,AND,30,0.8,1,3,47.08140774973338,30.00355492356914,24.398171660741497
69,timik1q2009,AND,30,0.8,1,2,90.81067064276684,30.000648277203336,86.87226505521983
70,arxiv,AND,30,0.9,1,2,44.75648773551369,30.00355492356914,21.076688674454044
71,timik1q2009,AND,30,0.9,1,2,87.34076691193154,30.000648277203336,81.91521381769348
72,arxiv,AND,31,0.1,1,3,85.86562388908638,31.006043370067545,79.51360263808738
73,timik1q2009,AND,31,0.1,1,2,98.49761758127775,31.000615863343167,97.82261474139146
74,arxiv,AND,31,0.2,1,3,85.86562388908638,31.006043370067545,79.51360263808738
75,timik1q2009,AND,31,0.2,1,2,98.49761758127775,31.000615863343167,97.82261474139146
76,arxiv,AND,31,0.3,1,3,85.86562388908638,31.006043370067545,79.51360263808738
77,timik1q2009,AND,31,0.3,1,2,98.48789342322777,31.000615863343167,97.80852163292151
78,arxiv,AND,31,0.4,1,3,80.4265908282972,31.006043370067545,71.63025556471558
79,timik1q2009,AND,31,0.4,1,2,98.25937570905319,31.000615863343167,97.47733358387748
80,arxiv,AND,31,0.5,1,4,66.48418059011732,31.006043370067545,51.422093981863156
81,timik1q2009,AND,31,0.5,1,2,96.17516450034034,31.000615863343167,94.4567106684831
82,arxiv,AND,31,0.6,1,4,66.48418059011732,31.006043370067545,51.422093981863156
83,timik1q2009,AND,31,0.6,1,2,96.15247479822372,31.000615863343167,94.42382674871988
84,arxiv,AND,31,0.7,1,4,56.36686811233559,31.006043370067545,36.75803792250618
85,timik1q2009,AND,31,0.7,1,2,94.22871219733558,31.000615863343167,91.63574012307981
86,arxiv,AND,31,0.8,1,3,48.738002132954136,31.006043370067545,25.700741962077487
87,timik1q2009,AND,31,0.8,1,2,91.57887912871544,31.000615863343167,87.7953680650162
88,arxiv,AND,31,0.9,1,2,46.31354425879843,31.006043370067545,22.186727122835933
89,timik1q2009,AND,31,0.9,1,2,88.72970082007066,31.000615863343167,83.66608728331846
90,arxiv,AND,32,0.1,1,3,86.56238890863847,32.00142196942765,80.23839397741531
91,timik1q2009,AND,32,0.1,1,2,98.60134193381089,32.000583449483,97.94313225445096
92,arxiv,AND,32,0.2,1,3,86.56238890863847,32.00142196942765,80.23839397741531
93,timik1q2009,AND,32,0.2,1,2,98.60134193381089,32.000583449483,97.94313225445096
94,arxiv,AND,32,0.3,1,3,86.56238890863847,32.00142196942765,80.23839397741531
95,timik1q2009,AND,32,0.3,1,2,98.59161777576092,32.000583449483,97.92883189932552
96,arxiv,AND,32,0.4,1,3,81.86988979736935,32.00142196942765,73.3375156838143
97,timik1q2009,AND,32,0.4,1,2,98.37282421963631,32.000583449483,97.60707390900207
98,arxiv,AND,32,0.5,1,4,68.46071809456097,32.00142196942765,53.61773316603932
99,timik1q2009,AND,32,0.5,1,2,96.46364785582315,32.000583449483,94.79943751936507
100,arxiv,AND,32,0.6,1,4,68.46071809456097,32.00142196942765,53.61773316603932
101,timik1q2009,AND,32,0.6,1,2,96.44419953972319,32.000583449483,94.7708368091141
102,arxiv,AND,32,0.7,1,4,58.279416992534664,32.00142196942765,38.644918444165626
103,timik1q2009,AND,32,0.7,1,2,94.75543742504294,32.000583449483,92.28734180232141
104,arxiv,AND,32,0.8,1,3,50.238179879132595,32.00142196942765,26.81932245922208
105,timik1q2009,AND,32,0.8,1,2,92.48322582736378,32.000583449483,88.94582548799963
106,arxiv,AND,32,0.9,1,2,47.707074297902594,32.00142196942765,23.097030531158513
107,timik1q2009,AND,32,0.9,1,2,90.22560046675959,32.000583449483,85.62575970636604
108,arxiv,AND,33,0.1,1,3,87.13828652683966,33.00391041592606,80.80229226361031
109,timik1q2009,AND,33,0.1,1,2,98.69534212829406,33.000551035622834,98.05273343009192
110,arxiv,AND,33,0.2,1,3,87.13828652683966,33.00391041592606,80.80229226361031
111,timik1q2009,AND,33,0.2,1,2,98.69534212829406,33.000551035622834,98.05273343009192
112,arxiv,AND,33,0.3,1,3,87.13828652683966,33.00391041592606,80.80229226361031
113,timik1q2009,AND,33,0.3,1,2,98.68885935626074,33.000551035622834,98.04305757135945
114,arxiv,AND,33,0.4,1,3,83.23498044792036,33.00391041592606,74.9761222540592
115,timik1q2009,AND,33,0.4,1,2,98.47330718615281,33.000551035622834,97.7213352685051
116,arxiv,AND,33,0.5,1,4,70.20263064344117,33.00391041592606,55.52371856096784
117,timik1q2009,AND,33,0.5,1,2,96.84451071278079,33.000551035622834,95.29027576197387
118,arxiv,AND,33,0.6,1,4,70.20263064344117,33.00391041592606,55.52371856096784
119,timik1q2009,AND,33,0.6,1,2,96.82830378269747,33.000551035622834,95.2660861151427
120,arxiv,AND,33,0.7,1,4,60.06398862424458,33.00391041592606,40.390533800275925
