,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,OR,1,0.1,1,9,62.040526128688235,1.0024884464984003,61.65613329503017
1,timik1q2009,OR,1,0.1,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
2,arxiv,OR,1,0.2,1,13,58.05901173124778,1.0024884464984003,57.63430048836542
3,timik1q2009,OR,1,0.2,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
4,arxiv,OR,1,0.3,1,18,51.41841450408816,1.0024884464984003,50.92645791439242
5,timik1q2009,OR,1,0.3,1,5,99.05027389711842,1.0015882791481638,99.04066531333902
6,arxiv,OR,1,0.4,1,13,34.68894418769997,1.0024884464984003,34.02757828210285
7,timik1q2009,OR,1,0.4,1,7,98.82661826196882,1.0015882791481638,98.81474690590007
8,arxiv,OR,1,0.5,1,14,14.525417703519375,1.0024884464984003,13.659867854064924
9,timik1q2009,OR,1,0.5,1,10,96.88178665197238,1.0015882791481638,96.8502390151267
10,arxiv,OR,1,0.6,1,12,13.309633842872378,1.0024884464984003,12.431772479172652
11,timik1q2009,OR,1,0.6,1,16,96.74402774626431,1.0015882791481638,96.7110863728636
12,arxiv,OR,1,0.7,1,10,5.417703519374333,1.0024884464984003,4.4599253088193045
13,timik1q2009,OR,1,0.7,1,6,25.018637969595797,1.0015882791481638,24.260035361142034
14,arxiv,OR,1,0.8,1,5,3.4767152506221115,1.0024884464984003,2.4992818155702388
15,timik1q2009,OR,1,0.8,1,5,20.088489838254837,1.0015882791481638,19.280007858031563
16,arxiv,OR,1,0.9,1,5,3.426946320654106,1.0024884464984003,2.449008905486929
17,timik1q2009,OR,1,0.9,1,5,18.22307218566659,1.0015882791481638,17.395717372798117
18,arxiv,OR,2,0.1,1,9,62.21116246000711,2.0049768929968006,61.43800333744467
19,timik1q2009,OR,2,0.1,1,5,99.07944637126835,2.001555865287997,99.06064464914748
20,arxiv,OR,2,0.2,1,13,59.00462140063989,2.0049768929968006,58.165856489878834
21,timik1q2009,OR,2,0.2,1,5,99.07944637126835,2.001555865287997,99.06064464914748
22,arxiv,OR,2,0.3,1,15,52.698186988979735,2.0049768929968006,51.73039251251541
23,timik1q2009,OR,2,0.3,1,5,99.05027389711842,2.001555865287997,99.03087634577538
24,arxiv,OR,2,0.4,1,13,37.79594738713118,2.0049768929968006,36.52325328302982
25,timik1q2009,OR,2,0.4,1,6,98.82661826196882,2.001555865287997,98.80265268658938
26,arxiv,OR,2,0.5,1,13,19.409882687522217,2.0049768929968006,17.761009939780887
27,timik1q2009,OR,2,0.5,1,8,96.88178665197238,2.001555865287997,96.81809912845023
28,arxiv,OR,2,0.6,1,14,17.66086029150373,2.0049768929968006,15.976202568381337
29,timik1q2009,OR,2,0.6,1,10,96.74402774626431,2.001555865287997,96.67752658474872
30,arxiv,OR,2,0.7,1,10,9.64095271951653,2.0049768929968006,7.792207792207791
31,timik1q2009,OR,2,0.7,1,17,93.98722893909436,2.001555865287997,93.86442191608647
32,arxiv,OR,2,0.8,1,6,6.740135087095628,2.0049768929968006,4.8320394689109785
33,timik1q2009,OR,2,0.8,1,8,31.665099996758617,2.001555865287997,30.269403145517394
34,arxiv,OR,2,0.9,1,5,6.405972271596161,2.0049768929968006,4.491039686570413
35,timik1q2009,OR,2,0.9,1,7,27.50640173738291,2.001555865287997,26.025766120363176
36,arxiv,OR,3,0.1,1,7,62.65908282971916,3.0003554923569142,61.50406802023015
37,timik1q2009,OR,3,0.1,1,5,99.07944637126835,3.0015234514278304,99.05096073517124
38,arxiv,OR,3,0.2,1,9,59.29612513330963,3.0003554923569142,58.03708861687311
39,timik1q2009,OR,3,0.2,1,5,99.07944637126835,3.0015234514278304,99.05096073517124
40,arxiv,OR,3,0.3,1,15,54.184145040881624,3.0003554923569142,52.76698673312322
41,timik1q2009,OR,3,0.3,1,5,99.05027389711842,3.0015234514278304,99.02088554720135
42,arxiv,OR,3,0.4,1,11,39.86491290437256,3.0003554923569142,38.0048376456791
43,timik1q2009,OR,3,0.4,1,6,98.82661826196882,3.0015234514278304,98.79030910609859
44,arxiv,OR,3,0.5,1,11,22.715961606825452,3.0003554923569142,20.325441618412373
45,timik1q2009,OR,3,0.5,1,8,96.88178665197238,3.0015234514278304,96.78529657477024
46,arxiv,OR,3,0.6,1,9,21.258442943476716,3.0003554923569142,18.822839551418312
47,timik1q2009,OR,3,0.6,1,9,96.74402774626431,3.0015234514278304,96.64327485380117
48,arxiv,OR,3,0.7,1,8,13.039459651617491,3.0003554923569142,10.34962984680789
49,timik1q2009,OR,3,0.7,1,12,93.98722893909436,3.0015234514278304,93.80116959064327
50,arxiv,OR,3,0.8,1,7,9.185922502666193,3.0003554923569142,6.3768965769991945
51,timik1q2009,OR,3,0.8,1,14,43.922401218761145,3.0015234514278304,42.18713450292398
52,arxiv,OR,3,0.9,1,7,8.759331674369001,3.0003554923569142,5.937110606171664
53,timik1q2009,OR,3,0.9,1,7,35.692522122459565,3.0015234514278304,33.702589807852966
54,arxiv,OR,4,0.1,1,7,63.611802346249554,4.002843938855315,62.09450451784921
55,timik1q2009,OR,4,0.1,1,5,99.07944637126835,4.001491037567663,99.04107507639321
56,arxiv,OR,4,0.2,1,8,60.46924991112691,4.002843938855315,58.82091541993779
57,timik1q2009,OR,4,0.2,1,5,99.07944637126835,4.001491037567663,99.04107507639321
58,arxiv,OR,4,0.3,1,11,55.748311411304655,4.002843938855315,53.903125462894394
59,timik1q2009,OR,4,0.3,1,5,99.05027389711842,4.001491037567663,99.0106866105043
60,arxiv,OR,4,0.4,1,11,42.58798435833629,4.002843938855315,40.19404532661828
61,timik1q2009,OR,4,0.4,1,6,98.82661826196882,4.001491037567663,98.77770837202235
62,arxiv,OR,4,0.5,1,9,25.32527550657661,4.002843938855315,22.21152421863428
63,timik1q2009,OR,4,0.5,1,8,96.88178665197238,4.001491037567663,96.75181064609254
64,arxiv,OR,4,0.6,1,9,24.23746889441877,4.002843938855315,21.078358761664944
65,timik1q2009,OR,4,0.6,1,8,96.74402774626431,4.001491037567663,96.60830955717252
66,arxiv,OR,4,0.7,1,7,15.68432278706008,4.002843938855315,12.168567619611911
67,timik1q2009,OR,4,0.7,1,11,93.98722893909436,4.001491037567663,93.73659953066704
68,arxiv,OR,4,0.8,1,7,11.333096338428723,4.002843938855315,7.635905791734557
69,timik1q2009,OR,4,0.8,1,21,88.73294220608732,4.001491037567663,88.26329917444667
70,arxiv,OR,4,0.9,1,7,10.80696765019552,4.002843938855315,7.0878388386905655
71,timik1q2009,OR,4,0.9,1,6,43.51398658066189,4.001491037567663,41.15948879847383
72,arxiv,OR,5,0.1,1,6,64.36544614290793,5.005332385353714,62.487837736696356
73,timik1q2009,OR,5,0.1,1,5,99.07944637126835,5.001458623707497,99.03098130203357
74,arxiv,OR,5,0.2,1,7,61.64237468894419,5.005332385353714,59.62128583189882
75,timik1q2009,OR,5,0.2,1,5,99.07944637126835,5.001458623707497,99.03098130203357
76,arxiv,OR,5,0.3,1,9,56.978314966228226,5.005332385353714,54.711473692088916
77,timik1q2009,OR,5,0.3,1,5,99.05027389711842,5.001458623707497,99.00027296301353
78,arxiv,OR,5,0.4,1,11,44.62851048702453,5.005332385353714,41.71094977920815
79,timik1q2009,OR,5,0.4,1,6,98.82661826196882,5.001458623707497,98.76484236385969
