,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,AND,15,0.1,1,8,26.43441166014931,15.00177746178457,13.450439146800505
1,timik1q2009,AND,15,0.1,1,6,98.17347897961169,15.001134485105833,97.85112305990924
2,arxiv,AND,15,0.2,1,7,22.865268396729473,15.00177746178457,9.25135926390632
3,timik1q2009,AND,15,0.2,1,7,98.16051343554504,15.001134485105833,97.83586927506387
4,arxiv,AND,15,0.3,1,6,20.888730892285814,15.00177746178457,6.925972396486825
5,timik1q2009,AND,15,0.3,1,7,98.01789245081197,15.001134485105833,97.66807764176487
6,arxiv,AND,15,0.4,1,4,18.762886597938145,15.00177746178457,4.424926808866585
7,timik1q2009,AND,15,0.4,1,11,96.72457943016434,15.001134485105833,96.14651260343973
8,arxiv,AND,15,0.5,1,2,16.6228226093139,15.00177746178457,1.907151819322461
9,timik1q2009,AND,15,0.5,1,12,84.79952027486954,15.001134485105833,82.11684399191549
10,arxiv,AND,15,0.6,1,2,16.6228226093139,15.00177746178457,1.907151819322461
11,timik1q2009,AND,15,0.6,1,26,80.73644290298532,15.001134485105833,77.3366891659993
12,arxiv,AND,15,0.7,1,1,16.23889086384643,15.00177746178457,1.4554579673776693
13,timik1q2009,AND,15,0.7,1,9,40.69722213218372,15.001134485105833,30.23109484040727
14,arxiv,AND,15,0.8,1,1,16.13935300391042,15.00177746178457,1.3383521539105023
15,timik1q2009,AND,15,0.8,1,3,35.332728274610226,15.001134485105833,23.919841360637612
16,arxiv,AND,15,0.9,1,1,16.13224315677213,15.00177746178457,1.3299874529485598
17,timik1q2009,AND,15,0.9,1,2,34.2371398009789,15.001134485105833,22.63089654120429
18,arxiv,AND,20,0.1,1,8,32.939921791681485,20.0,16.174902239601856
19,timik1q2009,AND,20,0.1,1,6,98.59161777576092,20.000972415805,98.23950082048582
20,arxiv,AND,20,0.2,1,7,28.4962673302524,20.0,10.620334162815501
21,timik1q2009,AND,20,0.2,1,6,98.57865223169428,20.000972415805,98.22329369340169
22,arxiv,AND,20,0.3,1,8,26.548169214361888,20.0,8.185211517952359
23,timik1q2009,AND,20,0.3,1,6,98.48627273021944,20.000972415805,98.1078179129272
24,arxiv,AND,20,0.4,1,5,24.500533238535372,20.0,5.625666548169215
25,timik1q2009,AND,20,0.4,1,7,97.59975365466273,20.000972415805,96.99965559854947
26,arxiv,AND,20,0.5,1,3,22.083185211517954,20.0,2.603981514397442
27,timik1q2009,AND,20,0.5,1,11,89.27263297786133,20.000972415805,86.5906282287636
28,arxiv,AND,20,0.6,1,2,22.061855670103093,20.0,2.5773195876288657
29,timik1q2009,AND,20,0.6,1,15,88.19001004829666,20.000972415805,85.23733311723831
30,arxiv,AND,20,0.7,1,1,21.564166370423035,20.0,1.9552079630287935
31,timik1q2009,AND,20,0.7,1,18,58.28822404460146,20.000972415805,47.859646279451376
32,arxiv,AND,20,0.8,1,1,21.400639886242445,20.0,1.750799857803056
33,timik1q2009,AND,20,0.8,1,4,45.784577485332726,20.000972415805,32.22989809768845
34,arxiv,AND,20,0.9,1,1,21.400639886242445,20.0,1.750799857803056
35,timik1q2009,AND,20,0.9,1,2,43.77167676898642,20.000972415805,29.713741617876458
36,arxiv,AND,25,0.1,1,8,39.45254177035194,25.00533238535371,19.26431551004931
37,timik1q2009,AND,25,0.1,1,5,98.8039285598522,25.000810346504167,98.40522084882012
38,arxiv,AND,25,0.2,1,6,35.20796302879488,25.00533238535371,13.604474781949188
39,timik1q2009,AND,25,0.2,1,5,98.79744578781887,25.000810346504167,98.39657705938284
40,arxiv,AND,25,0.3,1,5,32.60575897618202,25.00533238535371,10.134622677284804
41,timik1q2009,AND,25,0.3,1,5,98.72937668146899,25.000810346504167,98.30581727029129
42,arxiv,AND,25,0.4,1,5,29.868467827941696,25.00533238535371,6.484641638225257
43,timik1q2009,AND,25,0.4,1,6,98.0195131438203,25.000810346504167,97.35932232690813
44,arxiv,AND,25,0.5,1,3,27.195165303945966,25.00533238535371,2.919984831247637
45,timik1q2009,AND,25,0.5,1,12,92.17691484878934,25.000810346504167,89.56910709655112
46,arxiv,AND,25,0.6,1,2,27.173835762531105,25.00533238535371,2.8915434205536643
47,timik1q2009,AND,25,0.6,1,13,91.61615506790703,25.000810346504167,88.8214193102256
48,arxiv,AND,25,0.7,1,3,26.59082829719161,25.00533238535371,2.1141448615851393
49,timik1q2009,AND,25,0.7,1,16,75.73984635830281,25.000810346504167,67.65277897830408
50,arxiv,AND,25,0.8,1,1,26.377532883043013,25.00533238535371,1.8297307546454342
