,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,OR,1,0.1,1,11,62.751510842516886,1.0024884464984003,62.37431772479173
1,timik1q2009,OR,1,0.1,1,5,99.12806716151826,1.0015882791481638,99.11924562896995
2,arxiv,OR,1,0.2,1,17,58.81976537504444,1.0024884464984003,58.40275782821029
3,timik1q2009,OR,1,0.2,1,6,99.12806716151826,1.0015882791481638,99.11924562896995
4,arxiv,OR,1,0.3,1,21,52.612868823320305,1.0024884464984003,52.13300775639185
5,timik1q2009,OR,1,0.3,1,6,99.09889468736833,1.0015882791481638,99.08977801060834
6,arxiv,OR,1,0.4,1,32,34.26946320654106,1.0024884464984003,33.60384946854353
7,timik1q2009,OR,1,0.4,1,8,98.87523905221873,1.0015882791481638,98.86385960316942
8,arxiv,OR,1,0.5,1,5,2.104514752932812,1.0024884464984003,1.1131858661304226
9,timik1q2009,OR,1,0.5,1,13,17.296035784901623,1.0015882791481638,16.459301944862812
10,arxiv,OR,1,0.6,1,3,2.0191965872733735,1.0024884464984003,1.0270037345590346
11,timik1q2009,OR,1,0.6,1,8,14.215098376065605,1.0015882791481638,13.347194027896013
12,arxiv,OR,1,0.7,1,3,1.685033771773907,1.0024884464984003,0.6894570525711003
13,timik1q2009,OR,1,0.7,1,5,10.900781174030016,1.0015882791481638,9.99934516403641
14,arxiv,OR,1,0.8,1,3,1.5499466761464629,1.0024884464984003,0.5530020109164033
15,timik1q2009,OR,1,0.8,1,4,10.302745453956112,1.0015882791481638,9.395258987623599
16,arxiv,OR,1,0.9,1,3,1.5357269818698898,1.0024884464984003,0.538638322321172
17,timik1q2009,OR,1,0.9,1,4,10.242779812647889,1.0015882791481638,9.334686660991423
18,arxiv,OR,2,0.1,1,10,64.57874155705652,2.0049768929968006,63.85402307190016
19,timik1q2009,OR,2,0.1,1,5,99.12806716151826,2.001555865287997,99.11025848810094
20,arxiv,OR,2,0.2,1,16,60.90295058656239,2.0049768929968006,60.10302546615396
21,timik1q2009,OR,2,0.2,1,5,99.12806716151826,2.001555865287997,99.11025848810094
22,arxiv,OR,2,0.3,1,21,54.64628510487024,2.0049768929968006,53.718348690415716
23,timik1q2009,OR,2,0.3,1,6,99.09889468736833,2.001555865287997,99.08049018472887
24,arxiv,OR,2,0.4,1,29,37.44045503021685,2.0049768929968006,36.1604875571356
25,timik1q2009,OR,2,0.4,1,7,98.87523905221873,2.001555865287997,98.85226652554286
26,arxiv,OR,2,0.5,1,6,3.6118023462495557,2.0049768929968006,1.639701081041863
27,timik1q2009,OR,2,0.5,1,10,97.0325111017471,2.001555865287997,96.971902029206
28,arxiv,OR,2,0.6,1,6,3.5051546391752577,2.0049768929968006,1.5308713632735977
29,timik1q2009,OR,2,0.6,1,17,96.9417522932806,2.001555865287997,96.87928952982617
30,arxiv,OR,2,0.7,1,5,2.971916103803768,2.0049768929968006,0.9867227744322713
31,timik1q2009,OR,2,0.7,1,7,18.153382386308387,2.001555865287997,16.481717300345643
32,arxiv,OR,2,0.8,1,3,2.8012797724848917,2.0049768929968006,0.8125952260030473
33,timik1q2009,OR,2,0.8,1,7,16.221516320378594,2.001555865287997,14.510394099260754
34,arxiv,OR,2,0.9,1,3,2.7870600782083184,2.0049768929968006,0.7980845969672783
35,timik1q2009,OR,2,0.9,1,6,15.965446825062395,2.001555865287997,14.249094547439098
36,arxiv,OR,3,0.1,1,9,65.31816565943832,3.0003554923569142,64.24540057172176
37,timik1q2009,OR,3,0.1,1,5,99.12806716151826,3.0015234514278304,99.10108604845446
38,arxiv,OR,3,0.2,1,15,61.81301102026306,3.0003554923569142,60.63182584475555
39,timik1q2009,OR,3,0.2,1,5,99.12806716151826,3.0015234514278304,99.10108604845446
40,arxiv,OR,3,0.3,1,17,55.86206896551724,3.0003554923569142,54.4968115517115
41,timik1q2009,OR,3,0.3,1,6,99.09889468736833,3.0015234514278304,99.07101086048455
42,arxiv,OR,3,0.4,1,27,39.829363668681125,3.0003554923569142,37.96818881477681
43,timik1q2009,OR,3,0.4,1,7,98.87523905221873,3.0015234514278304,98.8404344193818
