,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,AND,15,0.1,1,7,34.01350870956274,15.00177746178457,22.36721037222919
1,timik1q2009,AND,15,0.1,1,6,97.23023564876341,15.001134485105833,96.74141021240897
2,arxiv,AND,15,0.2,1,7,29.00817632420903,15.00177746178457,16.478460895023
3,timik1q2009,AND,15,0.2,1,7,97.21402871868011,15.001134485105833,96.72234298135226
4,arxiv,AND,15,0.3,1,8,26.14290792747956,15.00177746178457,13.10748640736094
5,timik1q2009,AND,15,0.3,1,7,97.05520080386373,15.001134485105833,96.53548411699651
6,arxiv,AND,15,0.4,1,11,22.502666192676855,15.00177746178457,8.824759514847344
7,timik1q2009,AND,15,0.4,1,12,95.79268095037438,15.001134485105833,95.05014681767913
8,arxiv,AND,15,0.5,1,3,18.826875222182725,15.00177746178457,4.500209117524052
9,timik1q2009,AND,15,0.5,1,17,82.46410164986548,15.001134485105833,79.36925599664417
10,arxiv,AND,15,0.6,1,3,18.777106292214718,15.00177746178457,4.441656210790466
11,timik1q2009,AND,15,0.6,1,95,68.70441800914071,15.001134485105833,63.181176829500814
12,arxiv,AND,15,0.7,1,2,17.63242090295059,15.00177746178457,3.09493935591803
13,timik1q2009,AND,15,0.7,1,3,34.07669119315419,15.001134485105833,22.442130953742893
14,arxiv,AND,15,0.8,1,1,17.390686100248846,15.00177746178457,2.8105395232120483
15,timik1q2009,AND,15,0.8,1,2,31.705617321966873,15.001134485105833,19.652595050146815
16,arxiv,AND,15,0.9,1,1,17.390686100248846,15.00177746178457,2.8105395232120483
17,timik1q2009,AND,15,0.9,1,1,31.221030112476093,15.001134485105833,19.08248484155131
18,arxiv,AND,20,0.1,1,7,39.395662993245644,20.0,24.244578741557056
19,timik1q2009,AND,20,0.1,1,6,97.635408900846,20.000972415805,97.04422519803083
20,arxiv,AND,20,0.2,1,6,34.440099537859936,20.0,18.05012442232492
21,timik1q2009,AND,20,0.2,1,7,97.6192019707627,20.000972415805,97.02396628917568
22,arxiv,AND,20,0.3,1,5,31.425524351226446,20.0,14.281905439033059
23,timik1q2009,AND,20,0.3,1,7,97.52358108327121,20.000972415805,96.90443872693017
24,arxiv,AND,20,0.4,1,5,27.657305367934587,20.0,9.571631709918233
