,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,AND,15,0.1,1,4,78.00213295414149,15.00177746178457,74.11961522375576
1,timik1q2009,AND,15,0.1,1,11,97.21078733266346,15.001134485105833,96.71852953514093
2,arxiv,AND,15,0.2,1,4,77.51155350159972,15.00177746178457,73.54245085738185
3,timik1q2009,AND,15,0.2,1,11,97.20592525363845,15.001134485105833,96.7128093658239
4,arxiv,AND,15,0.3,1,4,72.9754710273729,15.00177746178457,68.20577164366374
5,timik1q2009,AND,15,0.3,1,21,97.11354575216362,15.001134485105833,96.60412614880066
6,arxiv,AND,15,0.4,1,6,57.83149662282261,15.00177746178457,50.38895859473025
7,timik1q2009,AND,15,0.4,1,12,96.32426825710674,15.001134485105833,95.6755519963391
8,arxiv,AND,15,0.5,1,6,36.9925346605048,15.00177746178457,25.87202007528231
9,timik1q2009,AND,15,0.5,1,7,90.04894492885158,15.001134485105833,88.29272013118256
10,arxiv,AND,15,0.6,1,8,35.158194098826876,15.00177746178457,23.71392722710163
11,timik1q2009,AND,15,0.6,1,8,89.60811643058571,15.001134485105833,87.77409144644014
12,arxiv,AND,15,0.7,1,4,25.68787771062922,15.00177746178457,12.572145545796738
13,timik1q2009,AND,15,0.7,1,11,79.62788888528735,15.001134485105833,76.03249056172062
14,arxiv,AND,15,0.8,1,3,23.3771773906861,15.00177746178457,9.85361773316604
15,timik1q2009,AND,15,0.8,1,14,60.727367022138665,15.001134485105833,53.79628570339015
16,arxiv,AND,15,0.9,1,1,23.192321365090653,15.00177746178457,9.636135508155588
17,timik1q2009,AND,15,0.9,1,3,50.6725875984571,15.001134485105833,41.96697555580978
18,arxiv,AND,20,0.1,1,3,82.3249200142197,20.0,77.90615001777462
19,timik1q2009,AND,20,0.1,1,11,97.78289196460406,20.000972415805,97.22858126861287
20,arxiv,AND,20,0.2,1,3,81.83434056167792,20.0,77.29292570209739
21,timik1q2009,AND,20,0.2,1,11,97.78289196460406,20.000972415805,97.22858126861287
22,arxiv,AND,20,0.3,1,3,81.59260575897618,20.0,76.99075719872022
23,timik1q2009,AND,20,0.3,1,11,97.76992642053742,20.000972415805,97.21237414152873
24,arxiv,AND,20,0.4,1,3,69.37077852826164,20.0,61.71347316032704
25,timik1q2009,AND,20,0.4,1,9,97.32747722926324,20.000972415805,96.65930592978263
26,arxiv,AND,20,0.5,1,5,48.04123711340206,20.0,35.05154639175258
27,timik1q2009,AND,20,0.5,1,6,92.8576059122881,20.000972415805,91.071898867527
28,arxiv,AND,20,0.6,1,7,46.9676501955208,20.0,33.709562744401
29,timik1q2009,AND,20,0.6,1,6,92.7781919548799,20.000972415805,90.97263021413666
30,arxiv,AND,20,0.7,1,5,35.17952364024173,20.0,18.974404550302165
31,timik1q2009,AND,20,0.7,1,8,87.11711127678196,20.000972415805,83.89619335102613
32,arxiv,AND,20,0.8,1,3,30.650551013153216,20.0,13.313188766441518
33,timik1q2009,AND,20,0.8,1,11,76.81436582282583,20.000972415805,71.01760499179514
34,arxiv,AND,20,0.9,1,1,30.344827586206897,20.0,12.931034482758623
35,timik1q2009,AND,20,0.9,1,5,63.921752941557806,20.000972415805,54.90164299750815
36,arxiv,AND,25,0.1,1,2,91.60327052968361,25.00533238535371,88.80356465680698
37,timik1q2009,AND,25,0.1,1,4,98.32744481540307,25.000810346504167,97.76990232517936
38,arxiv,AND,25,0.2,1,2,91.11269107714183,25.00533238535371,88.14941221084565
39,timik1q2009,AND,25,0.2,1,4,98.32744481540307,25.000810346504167,97.76990232517936
40,arxiv,AND,25,0.3,1,2,90.87095627444009,25.00533238535371,87.82707622298065
41,timik1q2009,AND,25,0.3,1,4,98.32744481540307,25.000810346504167,97.76990232517936
42,arxiv,AND,25,0.4,1,3,81.61393530039103,25.00533238535371,75.4835039817975
43,timik1q2009,AND,25,0.4,1,9,98.22209976986159,25.000810346504167,97.6294407468234
44,arxiv,AND,25,0.5,1,5,57.32669747600426,25.00533238535371,43.09821767159651
45,timik1q2009,AND,25,0.5,1,4,95.22219701144209,25.000810346504167,93.62952718471779
46,arxiv,AND,25,0.6,1,4,56.08958407394241,25.00533238535371,41.44861585134623
47,timik1q2009,AND,25,0.6,1,4,95.22219701144209,25.000810346504167,93.62952718471779
48,arxiv,AND,25,0.7,1,5,43.00035549235691,25.00533238535371,23.99507015547971
49,timik1q2009,AND,25,0.7,1,5,92.10398366341448,25.000810346504167,89.47186446538163
50,arxiv,AND,25,0.8,1,3,37.504443654461426,25.00533238535371,16.666666666666668
51,timik1q2009,AND,25,0.8,1,6,86.24517843830021,25.000810346504167,81.6600397614314
52,arxiv,AND,25,0.9,1,2,37.03519374333452,25.00533238535371,16.04095563139932
53,timik1q2009,AND,25,0.9,1,7,77.0526076950504,25.000810346504167,69.40314633935517
54,arxiv,AND,30,0.1,1,2,92.0298613579808,30.00355492356914,88.6135093956323
55,timik1q2009,AND,30,0.1,1,3,98.65644549609412,30.000648277203336,98.08061864740338
56,arxiv,AND,30,0.2,1,2,91.53928190543903,30.00355492356914,87.91264601320466
57,timik1q2009,AND,30,0.2,1,3,98.65644549609412,30.000648277203336,98.08061864740338
58,arxiv,AND,30,0.3,1,2,91.29754710273728,30.00355492356914,87.56729304215337
59,timik1q2009,AND,30,0.3,1,3,98.65644549609412,30.000648277203336,98.08061864740338
60,arxiv,AND,30,0.4,1,3,90.70031994312122,30.00355492356914,86.71406805485017
61,timik1q2009,AND,30,0.4,1,3,98.64834203105248,30.000648277203336,98.06904216156144
62,arxiv,AND,30,0.5,1,3,70.20263064344117,30.00355492356914,57.43016759776536
63,timik1q2009,AND,30,0.5,1,3,96.53171696217302,30.000648277203336,95.04526405964205
64,arxiv,AND,30,0.6,1,3,69.13615357269819,30.00355492356914,55.906551549009656
65,timik1q2009,AND,30,0.6,1,3,96.53171696217302,30.000648277203336,95.04526405964205
66,arxiv,AND,30,0.7,1,5,51.404194809811585,30.00355492356914,30.573895378364647
67,timik1q2009,AND,30,0.7,1,3,94.69871316975139,30.000648277203336,92.4266629621912
68,arxiv,AND,30,0.8,1,4,45.154639175257735,30.00355492356914,21.645505332656178
69,timik1q2009,AND,30,0.8,1,4,91.80739684289001,30.000648277203336,88.29617281378064
70,arxiv,AND,30,0.9,1,2,44.33700675435478,30.00355492356914,20.477399695276794
71,timik1q2009,AND,30,0.9,1,4,87.70542283880587,30.000648277203336,82.4361556805816
72,arxiv,AND,31,0.1,1,2,92.05830074653394,31.006043370067545,88.48928276999176
73,timik1q2009,AND,31,0.1,1,3,99.05837736216006,31.000615863343167,98.63531732982571
74,arxiv,AND,31,0.2,1,2,91.56772129399218,31.006043370067545,87.77823577906018
75,timik1q2009,AND,31,0.2,1,3,99.05837736216006,31.000615863343167,98.63531732982571
76,arxiv,AND,31,0.3,1,2,91.32598649129044,31.006043370067545,87.42786479802143
77,timik1q2009,AND,31,0.3,1,3,99.05837736216006,31.000615863343167,98.63531732982571
78,arxiv,AND,31,0.4,1,3,90.72875933167437,31.006043370067545,86.56224237427865
79,timik1q2009,AND,31,0.4,1,3,99.05027389711842,31.000615863343167,98.62357307276743
80,arxiv,AND,31,0.5,1,3,72.41379310344827,31.006043370067545,60.016488046166515
81,timik1q2009,AND,31,0.5,1,3,97.42309811675473,31.000615863343167,96.26532625546109
82,arxiv,AND,31,0.6,1,3,71.38286526839673,31.006043370067545,58.52225886232481
83,timik1q2009,AND,31,0.6,1,3,97.42309811675473,31.000615863343167,96.26532625546109
84,arxiv,AND,31,0.7,1,5,54.19125488801991,31.006043370067545,33.604699093157464
85,timik1q2009,AND,31,0.7,1,3,95.94016401413245,31.000615863343167,94.11612721379247
86,arxiv,AND,31,0.8,1,4,46.56238890863846,31.006043370067545,22.547403132728764
87,timik1q2009,AND,31,0.8,1,4,93.41350361414541,31.000615863343167,90.45426786301499
88,arxiv,AND,31,0.9,1,2,45.751866334873796,31.006043370067545,21.372629843363555
89,timik1q2009,AND,31,0.9,1,4,89.63080613270235,31.000615863343167,84.97204866820125
90,arxiv,AND,32,0.1,1,2,92.10806967650196,32.00142196942765,88.3939774153074
91,timik1q2009,AND,32,0.1,1,3,99.78444782989206,32.000583449483,99.6830087947184
92,arxiv,AND,32,0.2,1,2,91.61749022396019,32.00142196942765,87.67252195734004
93,timik1q2009,AND,32,0.2,1,3,99.78444782989206,32.000583449483,99.6830087947184
94,arxiv,AND,32,0.3,1,2,91.37575542125845,32.00142196942765,87.31702216645755
95,timik1q2009,AND,32,0.3,1,3,99.78444782989206,32.000583449483,99.6830087947184
96,arxiv,AND,32,0.4,1,3,90.79985780305724,32.00142196942765,86.47009619406107
97,timik1q2009,AND,32,0.4,1,3,99.77634436485042,32.000583449483,99.67109183211383
98,arxiv,AND,32,0.5,1,3,75.10131532172059,32.00142196942765,63.38352153910499
99,timik1q2009,AND,32,0.5,1,3,98.71641113740235,32.000583449483,98.1123531234359
100,arxiv,AND,32,0.6,1,3,74.09882687522217,32.00142196942765,61.90924299456293
101,timik1q2009,AND,32,0.6,1,3,98.71641113740235,32.000583449483,98.1123531234359
102,arxiv,AND,32,0.7,1,5,57.09918236757909,32.00142196942765,36.90924299456294
103,timik1q2009,AND,32,0.7,1,3,97.49440860912127,32.000583449483,96.31527516266655
104,arxiv,AND,32,0.8,1,4,47.763953075008885,32.00142196942765,23.180677540777918
105,timik1q2009,AND,32,0.8,1,4,95.20599008135879,32.000583449483,92.94992492313558
106,arxiv,AND,32,0.9,1,2,46.95343050124423,32.00142196942765,21.98870765370139
107,timik1q2009,AND,32,0.9,1,4,91.61291368189038,32.000583449483,87.66594370426866
108,arxiv,AND,33,0.1,1,2,92.90437255599005,33.00391041592606,89.40889313382151
109,timik1q2009,AND,33,0.1,1,3,99.85737901526693,33.000551035622834,99.78713110788583
110,arxiv,AND,33,0.2,1,2,92.41379310344827,33.00391041592606,88.67664225830414
111,timik1q2009,AND,33,0.2,1,3,99.85737901526693,33.000551035622834,99.78713110788583
112,arxiv,AND,33,0.3,1,2,92.17205830074653,33.00391041592606,88.31582298631008
113,timik1q2009,AND,33,0.3,1,3,99.85737901526693,33.000551035622834,99.78713110788583
114,arxiv,AND,33,0.4,1,2,91.61749022396019,33.00391041592606,87.48806112702961
115,timik1q2009,AND,33,0.4,1,3,99.85413762925027,33.000551035622834,99.78229317851961
116,arxiv,AND,33,0.5,1,3,76.65126199786705,33.00391041592606,65.14910325798579
117,timik1q2009,AND,33,0.5,1,3,99.19127418884315,33.000551035622834,98.7929366231253
118,arxiv,AND,33,0.6,1,3,75.55634553857092,33.00391041592606,63.51480420248329
119,timik1q2009,AND,33,0.6,1,3,99.19127418884315,33.000551035622834,98.7929366231253
120,arxiv,AND,33,0.7,1,5,59.16103803768219,33.00391041592606,39.042767696062825
121,timik1q2009,AND,33,0.7,1,3,98.33878966646138,33.000551035622834,97.5205611998065
122,arxiv,AND,33,0.8,1,5,49.8186988979737,33.00391041592606,25.098164066645445
123,timik1q2009,AND,33,0.8,1,4,96.49930310200642,33.000551035622834,94.77503628447025
124,arxiv,AND,33,0.9,1,2,48.922858158549595,33.00391041592606,23.761010293961586
125,timik1q2009,AND,33,0.9,1,4,93.40540014910376,33.000551035622834,90.15723270440252
126,arxiv,AND,34,0.1,1,2,94.76715250622112,34.00639886242446,92.07067442361561
127,timik1q2009,AND,34,0.1,1,3,99.90924119153351,34.000518621762666,99.86248557326329
128,arxiv,AND,34,0.2,1,2,94.27657305367934,34.00639886242446,91.32730015082956
129,timik1q2009,AND,34,0.2,1,3,99.90924119153351,34.000518621762666,99.86248557326329
130,arxiv,AND,34,0.3,1,2,94.0348382509776,34.00639886242446,90.96099978452919
131,timik1q2009,AND,34,0.3,1,3,99.90924119153351,34.000518621762666,99.86248557326329
132,arxiv,AND,34,0.4,1,2,93.48027017419126,34.00639886242446,90.12066365007541
133,timik1q2009,AND,34,0.4,1,3,99.90762049852518,34.000518621762666,99.86002995850012
