,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,OR,1,0.1,1,9,61.720583007465336,1.0024884464984003,61.33295030163746
1,timik1q2009,OR,1,0.1,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
2,arxiv,OR,1,0.2,1,13,57.69640952719517,1.0024884464984003,57.268026429187024
3,timik1q2009,OR,1,0.2,1,5,99.07944637126835,1.0015882791481638,99.07013293170061
4,arxiv,OR,1,0.3,1,17,51.47529328119445,1.0024884464984003,50.98391266877334
5,timik1q2009,OR,1,0.3,1,6,99.05027389711842,1.0015882791481638,99.04066531333902
6,arxiv,OR,1,0.4,1,13,36.5730536793459,1.0024884464984003,35.93076702097099
7,timik1q2009,OR,1,0.4,1,6,98.82661826196882,1.0015882791481638,98.81474690590007
8,arxiv,OR,1,0.5,1,19,17.07074297902595,1.0024884464984003,16.23096811261132
9,timik1q2009,OR,1,0.5,1,10,96.88178665197238,1.0015882791481638,96.8502390151267
10,arxiv,OR,1,0.6,1,17,14.987557767507997,1.0024884464984003,14.126687733409938
11,timik1q2009,OR,1,0.6,1,51,96.74402774626431,1.0015882791481638,96.7110863728636
12,arxiv,OR,1,0.7,1,10,5.524351226448632,1.0024884464984003,4.567652973283539
13,timik1q2009,OR,1,0.7,1,8,24.11753265696412,1.0015882791481638,23.349813371750383
14,arxiv,OR,1,0.8,1,5,4.045503021685034,1.0024884464984003,3.0738293593794888
15,timik1q2009,OR,1,0.8,1,5,19.769213315613758,1.0015882791481638,18.95750114596294
16,arxiv,OR,1,0.9,1,5,4.002843938855315,1.0024884464984003,3.0307382935937945
17,timik1q2009,OR,1,0.9,1,5,18.328417231208064,1.0015882791481638,17.502128216881673
18,arxiv,OR,2,0.1,1,7,62.54532527550658,2.0049768929968006,61.77900311978524
19,timik1q2009,OR,2,0.1,1,5,99.07944637126835,2.001555865287997,99.06064464914748
20,arxiv,OR,2,0.2,1,9,58.88375399928901,2.0049768929968006,58.04251614307479
21,timik1q2009,OR,2,0.2,1,5,99.07944637126835,2.001555865287997,99.06064464914748
22,arxiv,OR,2,0.3,1,15,53.530039104159265,2.0049768929968006,52.57926431110789
23,timik1q2009,OR,2,0.3,1,5,99.05027389711842,2.001555865287997,99.03087634577538
24,arxiv,OR,2,0.4,1,13,39.48098115890508,2.0049768929968006,38.24276282376841
25,timik1q2009,OR,2,0.4,1,6,98.82661826196882,2.001555865287997,98.80265268658938
26,arxiv,OR,2,0.5,1,12,21.0024884464984,2.0049768929968006,19.386200391786982
27,timik1q2009,OR,2,0.5,1,8,96.88178665197238,2.001555865287997,96.81809912845023
28,arxiv,OR,2,0.6,1,13,19.111269107714186,2.0049768929968006,17.456286730029746
29,timik1q2009,OR,2,0.6,1,10,96.74402774626431,2.001555865287997,96.67752658474872
30,arxiv,OR,2,0.7,1,13,9.861357980803414,2.0049768929968006,8.017122542262207
31,timik1q2009,OR,2,0.7,1,13,41.01163657579981,2.001555865287997,39.80683678700779
32,arxiv,OR,2,0.8,1,6,6.967650195520796,2.0049768929968006,5.064209533483276
33,timik1q2009,OR,2,0.8,1,6,30.04440698842825,2.001555865287997,28.615608513734763
