,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,arxiv,OR,1,0.1,1,12,64.93423391397086,1.0024884464984003,64.57914392415974
1,timik1q2009,OR,1,0.1,1,5,99.1248257755016,1.0015882791481638,99.11597144915198
2,arxiv,OR,1,0.2,1,17,60.533238535371495,1.0024884464984003,60.13358230393567
3,timik1q2009,OR,1,0.2,1,6,99.1248257755016,1.0015882791481638,99.11597144915198
4,arxiv,OR,1,0.3,1,24,54.33345183078564,1.0024884464984003,53.87101407641483
5,timik1q2009,OR,1,0.3,1,6,99.09565330135166,1.0015882791481638,99.0865038307904
6,arxiv,OR,1,0.4,1,11,4.095271951653039,1.0024884464984003,3.124102269462798
7,timik1q2009,OR,1,0.4,1,8,98.87199766620208,1.0015882791481638,98.86058542335147
8,arxiv,OR,1,0.5,1,7,1.5428368290081764,1.0024884464984003,0.5458201666187878
9,timik1q2009,OR,1,0.5,1,7,13.936339178632783,1.0015882791481638,13.065614563551831
10,arxiv,OR,1,0.6,1,7,1.5286171347316033,1.0024884464984003,0.5314564780235566
11,timik1q2009,OR,1,0.6,1,6,12.727302194418332,1.0015882791481638,11.84434549145439
12,arxiv,OR,1,0.7,1,2,1.2797724848915748,1.0024884464984003,0.28009192760700946
13,timik1q2009,OR,1,0.7,1,5,10.135814074098084,1.0015882791481638,9.226638726998885
14,arxiv,OR,1,0.8,1,2,1.2726626377532884,1.0024884464984003,0.2729100833093939
15,timik1q2009,OR,1,0.8,1,4,9.680399338757253,1.0015882791481638,8.766616462576124
16,arxiv,OR,1,0.9,1,2,1.2726626377532884,1.0024884464984003,0.2729100833093939
17,timik1q2009,OR,1,0.9,1,4,9.643123399565654,1.0015882791481638,8.728963394669636
18,arxiv,OR,2,0.1,1,11,66.99608958407394,2.0049768929968006,66.32083000798085
19,timik1q2009,OR,2,0.1,1,5,99.12806716151826,2.001555865287997,99.11025848810094
20,arxiv,OR,2,0.2,1,17,62.502666192676855,2.0049768929968006,61.735471232677924
21,timik1q2009,OR,2,0.2,1,6,99.12806716151826,2.001555865287997,99.11025848810094
22,arxiv,OR,2,0.3,1,19,56.715250622111625,2.0049768929968006,55.829645215120074
23,timik1q2009,OR,2,0.3,1,6,99.09889468736833,2.001555865287997,99.08049018472887
24,arxiv,OR,2,0.4,1,33,37.248489157483114,2.0049768929968006,35.964594065152724
25,timik1q2009,OR,2,0.4,1,7,98.87523905221873,2.001555865287997,98.85226652554286
26,arxiv,OR,2,0.5,1,7,2.957696409527195,2.0049768929968006,0.9722121453965028
27,timik1q2009,OR,2,0.5,1,14,97.02764902272212,2.001555865287997,96.96694064531066
28,arxiv,OR,2,0.6,1,7,2.9505865623889087,2.0049768929968006,0.9649568308786186
29,timik1q2009,OR,2,0.6,1,9,20.535801108554015,2.001555865287997,18.9127954090661
30,arxiv,OR,2,0.7,1,3,2.5453252755065767,2.0049768929968006,0.5514039033592107
31,timik1q2009,OR,2,0.7,1,7,14.81151340313118,2.001555865287997,13.07159276960987
32,arxiv,OR,2,0.8,1,3,2.4671169569854245,2.0049768929968006,0.47159544366248246
33,timik1q2009,OR,2,0.8,1,6,13.672166218274933,2.001555865287997,11.908975143466682
34,arxiv,OR,2,0.9,1,3,2.4671169569854245,2.0049768929968006,0.47159544366248246
35,timik1q2009,OR,2,0.9,1,6,13.558717707691809,2.001555865287997,11.7932095192419
36,arxiv,OR,3,0.1,1,11,68.77355136864557,3.0003554923569142,67.80766693542476
37,timik1q2009,OR,3,0.1,1,5,99.12806716151826,3.0015234514278304,99.10108604845446
38,arxiv,OR,3,0.2,1,15,64.08816210451475,3.0003554923569142,62.97735102250238
39,timik1q2009,OR,3,0.2,1,5,99.12806716151826,3.0015234514278304,99.10108604845446
40,arxiv,OR,3,0.3,1,18,57.98080341272662,3.0003554923569142,56.68108187348823
41,timik1q2009,OR,3,0.3,1,6,99.09889468736833,3.0015234514278304,99.07101086048455
42,arxiv,OR,3,0.4,1,30,41.09491645929613,3.0003554923569142,39.27288719489849
43,timik1q2009,OR,3,0.4,1,7,98.87523905221873,3.0015234514278304,98.8404344193818
44,arxiv,OR,3,0.5,1,7,4.649840028439389,3.0003554923569142,1.700505753866452
45,timik1q2009,OR,3,0.5,1,11,97.02764902272212,3.0015234514278304,96.93567251461988
46,arxiv,OR,3,0.6,1,7,4.56452186277995,3.0003554923569142,1.6125485597009452
47,timik1q2009,OR,3,0.6,1,36,96.93364882823894,3.0015234514278304,96.83876357560567
48,arxiv,OR,3,0.7,1,3,3.7326697476004265,3.0003554923569142,0.7549659165872609
49,timik1q2009,OR,3,0.7,1,7,19.38348837963113,3.0015234514278304,16.88888888888889
50,arxiv,OR,3,0.8,1,3,3.6331318876644154,3.0003554923569142,0.6523491900608375
51,timik1q2009,OR,3,0.8,1,6,17.446760234676347,3.0015234514278304,14.8922305764411
52,arxiv,OR,3,0.9,1,3,3.6331318876644154,3.0003554923569142,0.6523491900608375
53,timik1q2009,OR,3,0.9,1,6,17.22958737156008,3.0015234514278304,14.668337510442774
54,arxiv,OR,4,0.1,1,11,70.28083896196232,4.002843938855315,69.04162346319063
55,timik1q2009,OR,4,0.1,1,5,99.12806716151826,4.001491037567663,99.09172251954146
56,arxiv,OR,4,0.2,1,15,66.02204052612869,4.002843938855315,64.60524366760481
57,timik1q2009,OR,4,0.2,1,5,99.12806716151826,4.001491037567663,99.09172251954146
58,arxiv,OR,4,0.3,1,17,59.6871667259154,4.002843938855315,58.00622130054808
59,timik1q2009,OR,4,0.3,1,5,99.10537745940164,4.001491037567663,99.06808704607229
60,arxiv,OR,4,0.4,1,28,43.25630998933523,4.002843938855315,40.89023848318768
61,timik1q2009,OR,4,0.4,1,6,98.88820459628536,4.001491037567663,98.84186180001014
62,arxiv,OR,4,0.5,1,11,7.0600782083185205,4.002843938855315,3.1847133757961776
63,timik1q2009,OR,4,0.5,1,10,97.04061456678876,4.001491037567663,96.91725896037683
64,arxiv,OR,4,0.6,1,11,6.811233558478492,4.002843938855315,2.9254925196267214
65,timik1q2009,OR,4,0.6,1,12,96.94661437230559,4.001491037567663,96.8193405702902
66,arxiv,OR,4,0.7,1,3,5.303945965161749,4.002843938855315,1.3553547622574438
67,timik1q2009,OR,4,0.7,1,8,24.637775112638163,4.001491037567663,21.496463120220145
68,arxiv,OR,4,0.8,1,3,5.1901884109491645,4.002843938855315,1.2368537994371203
69,timik1q2009,OR,4,0.8,1,7,21.273216427344334,4.001491037567663,17.991660054361592
70,arxiv,OR,4,0.9,1,3,5.1901884109491645,4.002843938855315,1.2368537994371203
71,timik1q2009,OR,4,0.9,1,6,20.827525850053483,4.001491037567663,17.527391825502676
72,arxiv,OR,5,0.1,1,9,71.49662282260931,5.005332385353714,69.99476087119227
73,timik1q2009,OR,5,0.1,1,5,99.12806716151826,5.001458623707497,99.08216186706701
74,arxiv,OR,5,0.2,1,15,67.61464628510487,5.005332385353714,65.90824040116757
75,timik1q2009,OR,5,0.2,1,5,99.12806716151826,5.001458623707497,99.08216186706701
76,arxiv,OR,5,0.3,1,17,61.20867401350871,5.005332385353714,59.1647331786543
77,timik1q2009,OR,5,0.3,1,5,99.10537745940164,5.001458623707497,99.05827760338474
78,arxiv,OR,5,0.4,1,28,44.60007109847138,5.005332385353714,41.681011900306856
79,timik1q2009,OR,5,0.4,1,6,98.89306667531037,5.001458623707497,98.83478913607206
80,arxiv,OR,5,0.5,1,11,8.688233202986135,5.005332385353714,3.876955317715739
81,timik1q2009,OR,5,0.5,1,9,97.05358011085539,5.001458623707497,96.89845775897365
82,arxiv,OR,5,0.6,1,11,8.425168858869535,5.005332385353714,3.600029937878902
83,timik1q2009,OR,5,0.6,1,11,96.97254546043888,5.001458623707497,96.81315681725127
84,arxiv,OR,5,0.7,1,3,7.038748666903662,5.005332385353714,2.1405583414415097
85,timik1q2009,OR,5,0.7,1,11,30.19675213121131,5.001458623707497,26.521768800327557
86,arxiv,OR,5,0.8,1,3,6.740135087095628,5.005332385353714,1.8262106129780715
87,timik1q2009,OR,5,0.8,1,7,24.595637094421573,5.001458623707497,20.6257677084755
88,arxiv,OR,5,0.9,1,3,6.740135087095628,5.005332385353714,1.8262106129780715
89,timik1q2009,OR,5,0.9,1,6,23.932773654014454,5.001458623707497,19.928006005186294
90,arxiv,OR,6,0.1,1,9,72.14361891219339,6.0007109847138285,70.36532788745178
91,timik1q2009,OR,6,0.1,1,5,99.12806716151826,6.00142620984733,99.07239779996208
92,arxiv,OR,6,0.2,1,15,68.42516885886954,6.0007109847138285,66.40950003781863
93,timik1q2009,OR,6,0.2,1,5,99.12806716151826,6.00142620984733,99.07239779996208
94,arxiv,OR,6,0.3,1,17,62.239601848560255,6.0007109847138285,59.82905982905983
95,timik1q2009,OR,6,0.3,1,5,99.10537745940164,6.00142620984733,99.04825945274919
96,arxiv,OR,6,0.4,1,26,45.943832207607535,6.0007109847138285,42.49300355495046
97,timik1q2009,OR,6,0.4,1,6,98.89630806132702,6.00142620984733,98.82584182485904
98,arxiv,OR,6,0.5,1,11,9.818698897973693,6.0007109847138285,4.061719990923531
99,timik1q2009,OR,6,0.5,1,9,97.08761466403034,6.00142620984733,96.90167071846066
100,arxiv,OR,6,0.6,1,11,9.534305012442232,6.0007109847138285,3.7591710158081835
101,timik1q2009,OR,6,0.6,1,10,97.01306278564714,6.00142620984733,96.82235900618977
102,arxiv,OR,6,0.7,1,3,8.396729470316389,6.0007109847138285,2.548975115346798
103,timik1q2009,OR,6,0.7,1,20,94.64198891445982,6.00142620984733,94.29990172244348
104,arxiv,OR,6,0.8,1,3,8.098115890508355,6.0007109847138285,2.231298691475684
105,timik1q2009,OR,6,0.8,1,6,29.95040679394509,6.00142620984733,25.47802548319798
106,arxiv,OR,6,0.9,1,3,8.098115890508355,6.0007109847138285,2.231298691475684
107,timik1q2009,OR,6,0.9,1,7,28.678162782405757,6.00142620984733,24.124553871618474
108,arxiv,OR,7,0.1,1,9,73.06789904017063,7.003199431212229,71.03975535168195
109,timik1q2009,OR,7,0.1,1,5,99.13454993355158,7.0013937959871635,99.06939458366736
110,arxiv,OR,7,0.2,1,15,69.64095271951653,7.003199431212229,67.35474006116208
111,timik1q2009,OR,7,0.2,1,5,99.13454993355158,7.0013937959871635,99.06939458366736
112,arxiv,OR,7,0.3,1,16,63.55492356914326,7.003199431212229,60.810397553516815
113,timik1q2009,OR,7,0.3,1,5,99.12158438948494,7.0013937959871635,99.05545292949009
114,arxiv,OR,7,0.4,1,25,47.00319943121223,7.003199431212229,43.01223241590214
115,timik1q2009,OR,7,0.4,1,6,98.94654954458527,7.0013937959871635,98.86724059809697
116,arxiv,OR,7,0.5,1,13,10.799857803057234,7.003199431212229,4.08256880733945
117,timik1q2009,OR,7,0.5,1,9,97.17999416550516,7.0013937959871635,96.96769021644417
118,arxiv,OR,7,0.6,1,13,10.565232847493778,7.003199431212229,3.830275229357797
119,timik1q2009,OR,7,0.6,1,9,97.14595961233023,7.0013937959871635,96.93109337422885
120,arxiv,OR,7,0.7,1,4,9.349448986846783,7.003199431212229,2.5229357798165135
121,timik1q2009,OR,7,0.7,1,13,94.91912741888432,7.0013937959871635,94.53661426928305
122,arxiv,OR,7,0.8,1,3,9.143263419836474,7.003199431212229,2.3012232415902147
