,real,er,sf,all
k_shell,1.0,2.888888888888889,3.4365079365079363,2.441798941798942
page_rank_mln,1.0,2.4206349206349205,2.7777777777777777,2.066137566137566
neighbourhood_size,1.0,2.873015873015873,3.055555555555556,2.3095238095238098
vote_rank,1.0,2.4285714285714284,2.5396825396825404,1.9894179894179895
degree_centrality,1.0,2.873015873015873,3.055555555555556,2.3095238095238098
k_shell_mln,1.0,2.888888888888889,3.4365079365079363,2.441798941798942
page_rank,1.0,2.4206349206349205,2.7777777777777777,2.066137566137566
neighbourhood_2_hop_size,1.0,3.4682539682539675,3.7936507936507935,2.753968253968254
vote_rank_mln,1.0,2.3253968253968256,2.5396825396825404,1.9550264550264551
random,1.682539682539683,3.9365079365079363,3.857142857142857,3.1587301587301586
greedy,1.0,1.0,1.0,1.0
