,real,er,sf,all
k_shell,2.6666666666666665,3.1957671957671954,3.6878306878306875,3.131746031746032
page_rank_mln,2.5714285714285716,2.984126984126984,3.5449735449735447,2.987301587301587
neighbourhood_size,2.724206349206349,3.4312169312169307,3.666666666666667,3.2190476190476187
vote_rank,2.619047619047619,2.3412698412698414,2.9153439153439153,2.6246031746031746
degree_centrality,2.5734126984126986,3.2010582010582,2.8994708994708995,2.8595238095238096
k_shell_mln,3.025793650793651,3.2275132275132274,3.182539682539683,3.1333333333333333
page_rank,2.307539682539683,2.8333333333333335,3.042328042328042,2.685714285714286
neighbourhood_2_hop_size,3.3134920634920637,3.9338624338624335,4.261904761904762,3.7841269841269844
vote_rank_mln,2.3531746031746033,3.5264550264550265,3.4920634920634925,3.0468253968253967
random,3.4384920634920633,4.552910052910052,4.544973544973545,4.104761904761904
greedy,1.0297619047619049,1.0,1.0,1.0119047619047619
