,method,protocol,curve_type,0_err,1_err,0_par,1_par,0_prct_err,1_prct_err
0,v-rnk-m,OR,effective,0.01357375808666165,0.0294467655905104,0.011848485259459932,0.34821546913549,114.56112565801814,8.456478301672668
1,v-rnk-m,AND,effective,0.02798765407338631,0.09622335807263686,0.14031506309513136,-0.08808535470679124,19.946293331608405,109.23877004631986
2,v-rnk,OR,effective,0.008738946462803371,0.018958176614447618,0.02223465130299894,0.27072442996581186,39.30327642073114,7.002757976752127
3,v-rnk,AND,effective,0.15921520234864592,0.5655958857105688,0.5218497095053611,-1.7168480638511754,30.50978077568715,32.943852028574
4,nghb-sd,OR,effective,0.008212100207856139,0.01781524212194525,0.0336244030745469,0.3126957751844209,24.423036416883065,5.697308226002806
5,nghb-sd,AND,effective,0.018139173318341077,0.062363653153919694,0.11436249165984079,-0.00627343929017118,15.861121120283162,994.0903270017619
6,deg-c-d,OR,effective,0.008570662178969837,0.018593102459202968,0.03833894670900322,0.2963163632199716,22.354975591849445,6.274747117289741
7,deg-c-d,AND,effective,3.474585965475963e-12,2.2757649448121404e-11,-2.6055013313415467e-10,0.40000000089414256,1.333557547516943,5.689412349312486e-09
8,p-rnk,OR,effective,0.009098340248479173,0.01973784160996554,0.03076533740628165,0.2611542909062588,29.57334785030337,7.557923533046764
9,p-rnk,AND,effective,303085.56642092345,1102740.3879038927,1.0238871534709154e-08,0.2999999625878705,2960146197688698.0,367580175.14115465
