,method,protocol,curve_type,0_err,1_err,0_par,1_par,0_prct_err,1_prct_err
0,v-rnk-m,OR,effective,0.016834232336882325,0.02799257182967481,0.1237323088987359,0.5631096157287439,13.605365071349048,4.971069761159813
1,v-rnk-m,AND,effective,0.1266287143179199,0.37755117436872937,0.18652480161201382,0.17856764360980773,67.88840584391427,211.4331391378637
2,v-rnk,OR,effective,0.011060813983456222,0.021169781601213293,0.1581618221201931,0.39241149635007827,6.993352653114159,5.3947913856038765
3,v-rnk,AND,effective,0.03742608302992203,0.12867328616741452,0.14171653877302892,0.12853953341060165,26.409114528166032,100.10405573543326
4,nghb-sd,OR,effective,0.014759905532833418,0.024543305816354662,0.10426462146322316,0.6125144141174433,14.156197304221374,4.0069760401832335
5,nghb-sd,AND,effective,0.1266287143179199,0.37755117436872937,0.18652480161201382,0.17856764360980773,67.88840584391427,211.4331391378637
6,deg-c-d,OR,effective,0.014759905532833418,0.024543305816354662,0.10426462146322316,0.6125144141174433,14.156197304221374,4.0069760401832335
7,deg-c-d,AND,effective,0.1266287143179199,0.37755117436872937,0.18652480161201382,0.17856764360980773,67.88840584391427,211.4331391378637
8,p-rnk,OR,effective,0.013527264266473221,0.025890429953356334,0.16512216215971348,0.4220088202564581,8.192276608750465,6.135044745657808
9,p-rnk,AND,effective,0.021556117000122367,0.07411131119233873,0.20656126180725037,-0.03657872987010738,10.43570164682531,202.60766695702978
