,real,er,sf,all
k_shell,4.56984126984127,4.337301587301588,6.821428571428572,5.19108669108669
page_rank_mln,3.293650793650793,3.5595238095238098,5.579365079365078,4.0787545787545785
neighbourhood_size,2.531746031746031,3.8829365079365084,4.648809523809525,3.598901098901099
vote_rank,3.342857142857143,2.920634920634921,3.9047619047619055,3.385836385836386
degree_centrality,2.6920634920634927,4.146825396825396,4.924603174603175,3.826617826617826
k_shell_mln,3.861904761904761,4.192460317460317,5.595238095238096,4.496947496947497
page_rank,2.642857142857143,3.3015873015873014,4.4603174603174605,3.404761904761904
neighbourhood_2_hop_size,3.515873015873016,4.950396825396825,5.847222222222222,4.674603174603173
vote_rank_mln,1.8888888888888893,2.865079365079366,2.7718253968253967,2.4609279609279606
random,4.523809523809524,5.049603174603175,6.019841269841271,5.145909645909647
greedy,1.263492063492063,1.0,1.0,1.1013431013431012
