,real,er,sf,all
k_shell,2.333333333333333,3.0793650793650795,3.545634920634921,2.9358974358974357
page_rank_mln,2.257142857142857,2.75,3.305555555555556,2.7313797313797314
neighbourhood_size,2.3793650793650793,3.2559523809523805,3.4702380952380953,2.984737484737484
vote_rank,2.295238095238095,2.458333333333333,2.942460317460317,2.5445665445665453
degree_centrality,2.2587301587301587,3.0833333333333335,2.89484126984127,2.7081807081807088
k_shell_mln,2.62063492063492,3.1031746031746033,3.148809523809524,2.931623931623932
page_rank,2.0460317460317463,2.636904761904762,2.9285714285714284,2.499389499389499
neighbourhood_2_hop_size,2.868253968253969,3.8412698412698414,4.17063492063492,3.5683760683760686
vote_rank_mln,2.0825396825396827,3.347222222222222,3.386904761904762,2.873015873015873
random,3.136507936507936,4.478174603174604,4.515873015873016,3.973748473748473
greedy,1.0238095238095237,1.0,1.0,1.0091575091575091
