,real,er,sf,all
k_shell,1.0,2.7301587301587307,3.119047619047619,2.2830687830687832
page_rank_mln,1.0,2.0476190476190474,2.587301587301588,1.8783068783068781
neighbourhood_size,1.0,2.7301587301587307,2.880952380952381,2.2037037037037037
vote_rank,1.0,2.8095238095238098,3.0238095238095233,2.2777777777777777
degree_centrality,1.0,2.7301587301587307,2.880952380952381,2.2037037037037037
k_shell_mln,1.0,2.7301587301587307,3.0476190476190474,2.259259259259259
page_rank,1.0,2.0476190476190474,2.587301587301588,1.8783068783068781
neighbourhood_2_hop_size,1.0873015873015872,3.5634920634920637,3.8968253968253963,2.849206349206349
vote_rank_mln,1.0,2.8095238095238098,3.0714285714285703,2.2936507936507935
random,1.9285714285714288,4.253968253968254,4.428571428571429,3.537037037037037
greedy,1.0,1.0,1.0,1.0
