,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
0,aucs,OR,1,0.1,3,100.0,1.639344262295082,100.0,k_shell
1,ckm_physicians,OR,1,0.1,4,68.46473029045643,1.2448132780082988,68.0672268907563,k_shell
2,eu_transportation,OR,1,0.1,5,100.0,1.1990407673860912,100.0,k_shell
3,lazega,OR,1,0.1,3,100.0,1.4084507042253522,100.0,k_shell
4,er2,OR,1,0.1,4,100.0,1.0,100.0,k_shell
5,er3,OR,1,0.1,3,100.0,1.0,100.0,k_shell
6,er5,OR,1,0.1,3,100.0,1.0,100.0,k_shell
7,sf2,OR,1,0.1,3,79.9,1.0,79.6969696969697,k_shell
8,sf3,OR,1,0.1,3,87.8,1.0,87.67676767676768,k_shell
9,sf5,OR,1,0.1,3,98.8,1.0,98.78787878787878,k_shell
10,aucs,OR,1,0.2,5,100.0,1.639344262295082,100.0,k_shell
11,ckm_physicians,OR,1,0.2,4,68.46473029045643,1.2448132780082988,68.0672268907563,k_shell
12,eu_transportation,OR,1,0.2,5,100.0,1.1990407673860912,100.0,k_shell
13,lazega,OR,1,0.2,1,4.225352112676056,1.4084507042253522,2.857142857142857,k_shell
14,er2,OR,1,0.2,6,100.0,1.0,100.0,k_shell
15,er3,OR,1,0.2,4,100.0,1.0,100.0,k_shell
16,er5,OR,1,0.2,4,100.0,1.0,100.0,k_shell
17,sf2,OR,1,0.2,4,79.9,1.0,79.6969696969697,k_shell
18,sf3,OR,1,0.2,4,87.8,1.0,87.67676767676768,k_shell
19,sf5,OR,1,0.2,3,98.8,1.0,98.78787878787878,k_shell
20,aucs,OR,1,0.3,7,100.0,1.639344262295082,100.0,k_shell
21,ckm_physicians,OR,1,0.3,5,68.46473029045643,1.2448132780082988,68.0672268907563,k_shell
22,eu_transportation,OR,1,0.3,6,100.0,1.1990407673860912,100.0,k_shell
23,lazega,OR,1,0.3,0,1.4084507042253522,1.4084507042253522,0.0,k_shell
24,er2,OR,1,0.3,13,100.0,1.0,100.0,k_shell
25,er3,OR,1,0.3,6,100.0,1.0,100.0,k_shell
