,network,protocol,seeding_budget,mi_value,diffusion_len,activated_prct_actors
0,aucs,OR,1.0,0.1,4,100.0
1,ckm_physicians,OR,1.0,0.1,5,68.46473029045643
2,eu_transportation,OR,1.0,0.1,5,100.0
3,lazega,OR,1.0,0.1,4,100.0
4,er2,OR,1.0,0.1,5,100.0
5,er3,OR,1.0,0.1,5,100.0
6,er5,OR,1.0,0.1,4,100.0
7,sf2,OR,1.0,0.1,4,79.9
8,sf3,OR,1.0,0.1,4,87.8
9,sf5,OR,1.0,0.1,4,98.8
10,aucs,OR,1.0,0.2,5,100.0
11,ckm_physicians,OR,1.0,0.2,5,68.46473029045643
12,eu_transportation,OR,1.0,0.2,5,100.0
13,lazega,OR,1.0,0.2,2,4.225352112676056
14,er2,OR,1.0,0.2,7,100.0
15,er3,OR,1.0,0.2,5,100.0
16,er5,OR,1.0,0.2,5,100.0
17,sf2,OR,1.0,0.2,5,79.9
18,sf3,OR,1.0,0.2,5,87.8
19,sf5,OR,1.0,0.2,4,98.8
20,aucs,OR,1.0,0.30000000000000004,5,100.0
21,ckm_physicians,OR,1.0,0.30000000000000004,6,68.46473029045643
22,eu_transportation,OR,1.0,0.30000000000000004,6,100.0
23,lazega,OR,1.0,0.30000000000000004,1,1.4084507042253522
24,er2,OR,1.0,0.30000000000000004,22,100.0
25,er3,OR,1.0,0.30000000000000004,7,100.0
26,er5,OR,1.0,0.30000000000000004,6,100.0
27,sf2,OR,1.0,0.30000000000000004,6,79.9
28,sf3,OR,1.0,0.30000000000000004,5,87.8
29,sf5,OR,1.0,0.30000000000000004,4,98.8
30,aucs,OR,1.0,0.4,8,100.0
31,ckm_physicians,OR,1.0,0.4,5,21.991701244813278
32,eu_transportation,OR,1.0,0.4,8,98.56115107913669
33,lazega,OR,1.0,0.4,1,1.4084507042253522
34,er2,OR,1.0,0.4,3,1.6
35,er3,OR,1.0,0.4,9,6.4
36,er5,OR,1.0,0.4,5,4.3999999999999995
37,sf2,OR,1.0,0.4,8,9.3
38,sf3,OR,1.0,0.4,12,87.8
39,sf5,OR,1.0,0.4,7,98.8
40,aucs,OR,1.0,0.5,1,1.639344262295082
41,ckm_physicians,OR,1.0,0.5,10,20.74688796680498
42,eu_transportation,OR,1.0,0.5,9,95.92326139088729
43,lazega,OR,1.0,0.5,1,1.4084507042253522
44,er2,OR,1.0,0.5,1,1.0
45,er3,OR,1.0,0.5,3,1.7000000000000002
46,er5,OR,1.0,0.5,2,1.4000000000000001
47,sf2,OR,1.0,0.5,3,3.6999999999999997
48,sf3,OR,1.0,0.5,3,4.0
49,sf5,OR,1.0,0.5,9,17.1
50,aucs,OR,1.0,0.6,1,1.639344262295082
51,ckm_physicians,OR,1.0,0.6,10,20.74688796680498
52,eu_transportation,OR,1.0,0.6,9,95.92326139088729
53,lazega,OR,1.0,0.6,1,1.4084507042253522
54,er2,OR,1.0,0.6,1,1.0
55,er3,OR,1.0,0.6,3,1.7000000000000002
56,er5,OR,1.0,0.6,2,1.4000000000000001
57,sf2,OR,1.0,0.6,3,3.6999999999999997
58,sf3,OR,1.0,0.6,3,4.0
59,sf5,OR,1.0,0.6,15,17.1
60,aucs,OR,1.0,0.7000000000000001,1,1.639344262295082
61,ckm_physicians,OR,1.0,0.7000000000000001,2,1.6597510373443984
62,eu_transportation,OR,1.0,0.7000000000000001,6,91.60671462829735
63,lazega,OR,1.0,0.7000000000000001,1,1.4084507042253522
64,er2,OR,1.0,0.7000000000000001,1,1.0
65,er3,OR,1.0,0.7000000000000001,3,1.6
66,er5,OR,1.0,0.7000000000000001,2,1.3
67,sf2,OR,1.0,0.7000000000000001,2,1.7000000000000002
68,sf3,OR,1.0,0.7000000000000001,3,2.4
69,sf5,OR,1.0,0.7000000000000001,5,6.4
70,aucs,OR,1.0,0.8,1,1.639344262295082
71,ckm_physicians,OR,1.0,0.8,2,1.6597510373443984
72,eu_transportation,OR,1.0,0.8,7,91.60671462829735
73,lazega,OR,1.0,0.8,1,1.4084507042253522
74,er2,OR,1.0,0.8,1,1.0
75,er3,OR,1.0,0.8,3,1.6
76,er5,OR,1.0,0.8,2,1.3
77,sf2,OR,1.0,0.8,2,1.7000000000000002
78,sf3,OR,1.0,0.8,2,2.1999999999999997
79,sf5,OR,1.0,0.8,5,6.2
80,aucs,OR,1.0,0.9,1,1.639344262295082
81,ckm_physicians,OR,1.0,0.9,2,1.6597510373443984
82,eu_transportation,OR,1.0,0.9,8,89.20863309352518
83,lazega,OR,1.0,0.9,1,1.4084507042253522
84,er2,OR,1.0,0.9,1,1.0
85,er3,OR,1.0,0.9,3,1.6
86,er5,OR,1.0,0.9,2,1.3
87,sf2,OR,1.0,0.9,2,1.7000000000000002
88,sf3,OR,1.0,0.9,2,2.1999999999999997
89,sf5,OR,1.0,0.9,5,6.2
90,aucs,OR,1.0,1.0,1,1.639344262295082
91,ckm_physicians,OR,1.0,1.0,1,1.2448132780082988
92,eu_transportation,OR,1.0,1.0,1,1.1990407673860912
93,lazega,OR,1.0,1.0,1,1.4084507042253522
94,er2,OR,1.0,1.0,1,1.0
95,er3,OR,1.0,1.0,1,1.0
96,er5,OR,1.0,1.0,1,1.0
97,sf2,OR,1.0,1.0,1,1.0
98,sf3,OR,1.0,1.0,1,1.0
99,sf5,OR,1.0,1.0,1,1.0
