,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,86.88524590163934,31.147540983606557,80.95238095238095
1,ckm_physicians,AND,31,0.1,1,5,97.5103734439834,31.12033195020747,96.38554216867469
2,eu_transportation,AND,31,0.1,1,3,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,4,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,4,97.6,31.0,96.52173913043477
7,sf2,AND,31,0.1,1,2,62.7,31.0,45.94202898550725
8,sf3,AND,31,0.1,1,2,38.7,31.0,11.159420289855076
9,sf5,AND,31,0.1,1,2,44.6,31.0,19.710144927536234
10,aucs,AND,31,0.2,1,3,86.88524590163934,31.147540983606557,80.95238095238095
11,ckm_physicians,AND,31,0.2,1,5,97.5103734439834,31.12033195020747,96.38554216867469
12,eu_transportation,AND,31,0.2,1,3,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,5,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,5,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.6,31.0,96.52173913043477
17,sf2,AND,31,0.2,1,2,62.7,31.0,45.94202898550725
18,sf3,AND,31,0.2,1,2,38.7,31.0,11.159420289855076
19,sf5,AND,31,0.2,1,3,44.6,31.0,19.710144927536234
20,aucs,AND,31,0.30000000000000004,1,5,81.9672131147541,31.147540983606557,73.80952380952382
21,ckm_physicians,AND,31,0.30000000000000004,1,3,90.87136929460581,31.12033195020747,86.74698795180723
22,eu_transportation,AND,31,0.30000000000000004,1,4,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,5,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,7,97.6,31.0,96.52173913043477
27,sf2,AND,31,0.30000000000000004,1,2,62.7,31.0,45.94202898550725
28,sf3,AND,31,0.30000000000000004,1,2,38.5,31.0,10.869565217391305
29,sf5,AND,31,0.30000000000000004,1,4,43.8,31.0,18.550724637681157
30,aucs,AND,31,0.4,1,3,57.377049180327866,31.147540983606557,38.095238095238095
31,ckm_physicians,AND,31,0.4,1,7,85.06224066390041,31.12033195020747,78.31325301204818
32,eu_transportation,AND,31,0.4,1,7,98.56115107913669,31.17505995203837,97.90940766550523
33,lazega,AND,31,0.4,1,3,100.0,32.3943661971831,100.0
34,er2,AND,31,0.4,1,6,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,21,94.19999999999999,31.0,91.5942028985507
36,er5,AND,31,0.4,1,17,46.5,31.0,22.463768115942027
37,sf2,AND,31,0.4,1,3,62.7,31.0,45.94202898550725
38,sf3,AND,31,0.4,1,2,37.6,31.0,9.56521739130435
39,sf5,AND,31,0.4,1,3,39.1,31.0,11.739130434782611
40,aucs,AND,31,0.5,1,1,42.62295081967213,31.147540983606557,16.66666666666666
41,ckm_physicians,AND,31,0.5,1,3,47.30290456431535,31.12033195020747,23.493975903614455
42,eu_transportation,AND,31,0.5,1,6,88.2494004796163,31.17505995203837,82.92682926829268
43,lazega,AND,31,0.5,1,5,43.66197183098591,32.3943661971831,16.666666666666657
44,er2,AND,31,0.5,1,6,54.300000000000004,31.0,33.76811594202899
45,er3,AND,31,0.5,1,5,34.300000000000004,31.0,4.782608695652181
46,er5,AND,31,0.5,1,2,32.300000000000004,31.0,1.884057971014499
47,sf2,AND,31,0.5,1,5,61.0,31.0,43.47826086956522
48,sf3,AND,31,0.5,1,2,36.4,31.0,7.8260869565217375
49,sf5,AND,31,0.5,1,3,35.3,31.0,6.23188405797101
50,aucs,AND,31,0.6,1,2,42.62295081967213,31.147540983606557,16.66666666666666
51,ckm_physicians,AND,31,0.6,1,3,47.30290456431535,31.12033195020747,23.493975903614455
52,eu_transportation,AND,31,0.6,1,6,88.2494004796163,31.17505995203837,82.92682926829268
53,lazega,AND,31,0.6,1,0,32.3943661971831,32.3943661971831,0.0
54,er2,AND,31,0.6,1,6,50.3,31.0,27.97101449275362
55,er3,AND,31,0.6,1,3,34.0,31.0,4.3478260869565215
56,er5,AND,31,0.6,1,1,31.5,31.0,0.7246376811594203
57,sf2,AND,31,0.6,1,5,61.0,31.0,43.47826086956522
58,sf3,AND,31,0.6,1,2,36.4,31.0,7.8260869565217375
59,sf5,AND,31,0.6,1,5,35.0,31.0,5.797101449275362
60,aucs,AND,31,0.7000000000000001,1,2,42.62295081967213,31.147540983606557,16.66666666666666
