,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,63.934426229508205,31.147540983606557,47.61904761904763
1,ckm_physicians,AND,31,0.1,1,6,96.2655601659751,31.12033195020747,94.57831325301204
2,eu_transportation,AND,31,0.1,1,1,33.81294964028777,31.17505995203837,3.832752613240415
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,3,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,4,97.6,31.0,96.52173913043477
7,sf2,AND,31,0.1,1,2,62.6,31.0,45.79710144927536
8,sf3,AND,31,0.1,1,2,35.8,31.0,6.956521739130431
9,sf5,AND,31,0.1,1,2,41.6,31.0,15.362318840579713
10,aucs,AND,31,0.2,1,2,60.65573770491803,31.147540983606557,42.857142857142854
11,ckm_physicians,AND,31,0.2,1,7,96.2655601659751,31.12033195020747,94.57831325301204
12,eu_transportation,AND,31,0.2,1,1,33.33333333333333,31.17505995203837,3.1358885017421514
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,5,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,5,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.6,31.0,96.52173913043477
17,sf2,AND,31,0.2,1,2,62.6,31.0,45.79710144927536
18,sf3,AND,31,0.2,1,2,35.699999999999996,31.0,6.811594202898545
19,sf5,AND,31,0.2,1,2,41.4,31.0,15.072463768115938
20,aucs,AND,31,0.30000000000000004,1,2,60.65573770491803,31.147540983606557,42.857142857142854
21,ckm_physicians,AND,31,0.30000000000000004,1,8,92.5311203319502,31.12033195020747,89.1566265060241
22,eu_transportation,AND,31,0.30000000000000004,1,1,33.33333333333333,31.17505995203837,3.1358885017421514
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,5,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,6,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,7,97.6,31.0,96.52173913043477
27,sf2,AND,31,0.30000000000000004,1,2,62.6,31.0,45.79710144927536
28,sf3,AND,31,0.30000000000000004,1,2,35.5,31.0,6.521739130434782
29,sf5,AND,31,0.30000000000000004,1,4,40.9,31.0,14.34782608695652
30,aucs,AND,31,0.4,1,4,55.73770491803278,31.147540983606557,35.714285714285715
31,ckm_physicians,AND,31,0.4,1,6,63.48547717842323,31.12033195020747,46.98795180722892
32,eu_transportation,AND,31,0.4,1,1,33.093525179856115,31.17505995203837,2.7874564459930298
33,lazega,AND,31,0.4,1,3,100.0,32.3943661971831,100.0
