,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,78.68852459016394,31.147540983606557,69.04761904761905
1,ckm_physicians,AND,31,0.1,1,4,62.24066390041494,31.12033195020747,45.18072289156627
2,eu_transportation,AND,31,0.1,1,7,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,4,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,4,97.6,31.0,96.52173913043477
7,sf2,AND,31,0.1,1,2,62.8,31.0,46.086956521739125
8,sf3,AND,31,0.1,1,3,38.1,31.0,10.28985507246377
9,sf5,AND,31,0.1,1,2,44.800000000000004,31.0,20.000000000000007
10,aucs,AND,31,0.2,1,6,75.40983606557377,31.147540983606557,64.28571428571429
11,ckm_physicians,AND,31,0.2,1,6,62.24066390041494,31.12033195020747,45.18072289156627
12,eu_transportation,AND,31,0.2,1,9,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,5,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,5,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.6,31.0,96.52173913043477
17,sf2,AND,31,0.2,1,2,62.8,31.0,46.086956521739125
18,sf3,AND,31,0.2,1,3,38.0,31.0,10.144927536231885
19,sf5,AND,31,0.2,1,3,44.7,31.0,19.85507246376812
20,aucs,AND,31,0.30000000000000004,1,3,68.85245901639344,31.147540983606557,54.76190476190475
21,ckm_physicians,AND,31,0.30000000000000004,1,8,55.601659751037346,31.12033195020747,35.5421686746988
22,eu_transportation,AND,31,0.30000000000000004,1,13,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,5,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,7,97.6,31.0,96.52173913043477
27,sf2,AND,31,0.30000000000000004,1,3,62.8,31.0,46.086956521739125
28,sf3,AND,31,0.30000000000000004,1,2,37.1,31.0,8.84057971014493
