,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,31,0.1,1,1,100.0,31.746031746031743,100.0
1,er1,AND,31,0.1,1,3,100.0,31.0,100.0
2,sf1,AND,31,0.1,1,2,93.10000000000001,31.0,90.00000000000001
3,eu_trans_1,AND,31,0.2,1,1,100.0,31.746031746031743,100.0
4,er1,AND,31,0.2,1,3,100.0,31.0,100.0
5,sf1,AND,31,0.2,1,2,93.10000000000001,31.0,90.00000000000001
6,eu_trans_1,AND,31,0.3,1,1,100.0,31.746031746031743,100.0
7,er1,AND,31,0.3,1,4,100.0,31.0,100.0
8,sf1,AND,31,0.3,1,2,93.10000000000001,31.0,90.00000000000001
9,eu_trans_1,AND,31,0.4,1,1,100.0,31.746031746031743,100.0
10,er1,AND,31,0.4,1,5,100.0,31.0,100.0
11,sf1,AND,31,0.4,1,3,93.10000000000001,31.0,90.00000000000001
12,eu_trans_1,AND,31,0.5,1,1,100.0,31.746031746031743,100.0
13,er1,AND,31,0.5,1,15,99.7,31.0,99.56521739130434
14,sf1,AND,31,0.5,1,4,93.10000000000001,31.0,90.00000000000001
15,eu_trans_1,AND,31,0.6,1,1,100.0,31.746031746031743,100.0
16,er1,AND,31,0.6,1,27,99.7,31.0,99.56521739130434
17,sf1,AND,31,0.6,1,4,93.10000000000001,31.0,90.00000000000001
18,eu_trans_1,AND,31,0.7,1,1,100.0,31.746031746031743,100.0
19,er1,AND,31,0.7,1,4,43.2,31.0,17.68115942028986
20,sf1,AND,31,0.7,1,5,65.8,31.0,50.43478260869565
21,eu_trans_1,AND,31,0.8,1,1,100.0,31.746031746031743,100.0
22,er1,AND,31,0.8,1,2,36.4,31.0,7.8260869565217375
23,sf1,AND,31,0.8,1,1,48.199999999999996,31.0,24.92753623188405
24,eu_trans_1,AND,31,0.9,1,1,100.0,31.746031746031743,100.0
25,er1,AND,31,0.9,1,1,35.099999999999994,31.0,5.942028985507238
26,sf1,AND,31,0.9,1,1,48.199999999999996,31.0,24.92753623188405
27,eu_trans_1,AND,32,0.1,1,1,100.0,33.33333333333333,100.0
28,er1,AND,32,0.1,1,3,100.0,32.0,100.0
29,sf1,AND,32,0.1,1,2,93.10000000000001,32.0,89.85294117647061
30,eu_trans_1,AND,32,0.2,1,1,100.0,33.33333333333333,100.0
31,er1,AND,32,0.2,1,3,100.0,32.0,100.0
32,sf1,AND,32,0.2,1,2,93.10000000000001,32.0,89.85294117647061
33,eu_trans_1,AND,32,0.3,1,1,100.0,33.33333333333333,100.0
34,er1,AND,32,0.3,1,3,100.0,32.0,100.0
35,sf1,AND,32,0.3,1,2,93.10000000000001,32.0,89.85294117647061
36,eu_trans_1,AND,32,0.4,1,1,100.0,33.33333333333333,100.0
37,er1,AND,32,0.4,1,5,100.0,32.0,100.0
