,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,2,91.80327868852459,31.147540983606557,88.09523809523809
1,ckm_physicians,AND,31,0.1,1,4,68.46473029045643,31.12033195020747,54.21686746987952
2,eu_transportation,AND,31,0.1,1,7,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,3,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,3,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,5,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,4,97.89999999999999,31.0,96.95652173913042
7,sf2,AND,31,0.1,1,2,63.2,31.0,46.66666666666667
8,sf3,AND,31,0.1,1,2,39.1,31.0,11.739130434782611
9,sf5,AND,31,0.1,1,5,45.7,31.0,21.30434782608696
10,aucs,AND,31,0.2,1,4,91.80327868852459,31.147540983606557,88.09523809523809
11,ckm_physicians,AND,31,0.2,1,9,68.46473029045643,31.12033195020747,54.21686746987952
12,eu_transportation,AND,31,0.2,1,9,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,3,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,4,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,6,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.89999999999999,31.0,96.95652173913042
17,sf2,AND,31,0.2,1,3,63.2,31.0,46.66666666666667
18,sf3,AND,31,0.2,1,2,38.9,31.0,11.449275362318838
19,sf5,AND,31,0.2,1,6,45.1,31.0,20.434782608695656
20,aucs,AND,31,0.30000000000000004,1,4,86.88524590163934,31.147540983606557,80.95238095238095
21,ckm_physicians,AND,31,0.30000000000000004,1,12,68.46473029045643,31.12033195020747,54.21686746987952
22,eu_transportation,AND,31,0.30000000000000004,1,14,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,4,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,5,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,8,97.89999999999999,31.0,96.95652173913042
27,sf2,AND,31,0.30000000000000004,1,3,63.2,31.0,46.66666666666667
28,sf3,AND,31,0.30000000000000004,1,3,38.5,31.0,10.869565217391305
29,sf5,AND,31,0.30000000000000004,1,4,44.0,31.0,18.840579710144926
30,aucs,AND,31,0.4,1,4,68.85245901639344,31.147540983606557,54.76190476190475
31,ckm_physicians,AND,31,0.4,1,3,47.71784232365145,31.12033195020747,24.09638554216868
32,eu_transportation,AND,31,0.4,1,4,93.04556354916068,31.17505995203837,89.89547038327527
33,lazega,AND,31,0.4,1,3,42.25352112676056,32.3943661971831,14.583333333333323
34,er2,AND,31,0.4,1,9,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,20,50.8,31.0,28.69565217391304
36,er5,AND,31,0.4,1,4,37.4,31.0,9.275362318840578
37,sf2,AND,31,0.4,1,4,63.2,31.0,46.66666666666667
38,sf3,AND,31,0.4,1,3,36.7,31.0,8.260869565217394
39,sf5,AND,31,0.4,1,5,37.5,31.0,9.420289855072463
