,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,31,0.1,1,1,100.0,31.746031746031743,100.0
1,er1,AND,31,0.1,1,3,100.0,31.0,100.0
2,sf1,AND,31,0.1,1,2,93.10000000000001,31.0,90.00000000000001
3,eu_trans_1,AND,31,0.2,1,1,100.0,31.746031746031743,100.0
4,er1,AND,31,0.2,1,3,100.0,31.0,100.0
5,sf1,AND,31,0.2,1,3,93.10000000000001,31.0,90.00000000000001
6,eu_trans_1,AND,31,0.3,1,1,100.0,31.746031746031743,100.0
7,er1,AND,31,0.3,1,4,100.0,31.0,100.0
8,sf1,AND,31,0.3,1,3,93.10000000000001,31.0,90.00000000000001
9,eu_trans_1,AND,31,0.4,1,1,100.0,31.746031746031743,100.0
10,er1,AND,31,0.4,1,5,100.0,31.0,100.0
11,sf1,AND,31,0.4,1,4,93.10000000000001,31.0,90.00000000000001
12,eu_trans_1,AND,31,0.5,1,1,100.0,31.746031746031743,100.0
13,er1,AND,31,0.5,1,33,99.7,31.0,99.56521739130434
14,sf1,AND,31,0.5,1,7,93.10000000000001,31.0,90.00000000000001
15,eu_trans_1,AND,31,0.6,1,1,100.0,31.746031746031743,100.0
16,er1,AND,31,0.6,1,10,58.4,31.0,39.710144927536234
17,sf1,AND,31,0.6,1,9,93.10000000000001,31.0,90.00000000000001
18,eu_trans_1,AND,31,0.7,1,1,100.0,31.746031746031743,100.0
19,er1,AND,31,0.7,1,2,36.5,31.0,7.971014492753623
20,sf1,AND,31,0.7,1,4,46.9,31.0,23.043478260869563
21,eu_trans_1,AND,31,0.8,1,1,100.0,31.746031746031743,100.0
22,er1,AND,31,0.8,1,1,34.2,31.0,4.637681159420294
23,sf1,AND,31,0.8,1,1,38.2,31.0,10.434782608695656
24,eu_trans_1,AND,31,0.9,1,1,100.0,31.746031746031743,100.0
25,er1,AND,31,0.9,1,1,33.6,31.0,3.768115942028987
26,sf1,AND,31,0.9,1,1,38.1,31.0,10.28985507246377
27,eu_trans_1,AND,32,0.1,1,1,100.0,33.33333333333333,100.0
28,er1,AND,32,0.1,1,3,100.0,32.0,100.0
29,sf1,AND,32,0.1,1,2,93.10000000000001,32.0,89.85294117647061
30,eu_trans_1,AND,32,0.2,1,1,100.0,33.33333333333333,100.0
31,er1,AND,32,0.2,1,3,100.0,32.0,100.0
32,sf1,AND,32,0.2,1,3,93.10000000000001,32.0,89.85294117647061
33,eu_trans_1,AND,32,0.3,1,1,100.0,33.33333333333333,100.0
34,er1,AND,32,0.3,1,4,100.0,32.0,100.0
35,sf1,AND,32,0.3,1,3,93.10000000000001,32.0,89.85294117647061
36,eu_trans_1,AND,32,0.4,1,1,100.0,33.33333333333333,100.0
37,er1,AND,32,0.4,1,5,100.0,32.0,100.0
38,sf1,AND,32,0.4,1,3,93.10000000000001,32.0,89.85294117647061
