,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,96.72131147540983,31.147540983606557,95.23809523809523
1,ckm_physicians,AND,31,0.1,1,4,97.5103734439834,31.12033195020747,96.38554216867469
2,eu_transportation,AND,31,0.1,1,3,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,4,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,5,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,3,97.89999999999999,31.0,96.95652173913042
7,sf2,AND,31,0.1,1,2,62.9,31.0,46.231884057971016
8,sf3,AND,31,0.1,1,3,38.6,31.0,11.01449275362319
9,sf5,AND,31,0.1,1,3,45.800000000000004,31.0,21.449275362318847
10,aucs,AND,31,0.2,1,3,96.72131147540983,31.147540983606557,95.23809523809523
11,ckm_physicians,AND,31,0.2,1,6,97.5103734439834,31.12033195020747,96.38554216867469
12,eu_transportation,AND,31,0.2,1,3,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,5,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,6,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.89999999999999,31.0,96.95652173913042
17,sf2,AND,31,0.2,1,2,62.9,31.0,46.231884057971016
18,sf3,AND,31,0.2,1,3,38.6,31.0,11.01449275362319
19,sf5,AND,31,0.2,1,3,45.5,31.0,21.014492753623188
20,aucs,AND,31,0.30000000000000004,1,4,96.72131147540983,31.147540983606557,95.23809523809523
21,ckm_physicians,AND,31,0.30000000000000004,1,11,97.5103734439834,31.12033195020747,96.38554216867469
22,eu_transportation,AND,31,0.30000000000000004,1,4,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,3,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,5,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,6,97.89999999999999,31.0,96.95652173913042
27,sf2,AND,31,0.30000000000000004,1,2,62.9,31.0,46.231884057971016
28,sf3,AND,31,0.30000000000000004,1,2,37.9,31.0,9.999999999999998
29,sf5,AND,31,0.30000000000000004,1,4,45.4,31.0,20.8695652173913
30,aucs,AND,31,0.4,1,3,77.04918032786885,31.147540983606557,66.66666666666667
31,ckm_physicians,AND,31,0.4,1,10,81.74273858921161,31.12033195020747,73.49397590361444
32,eu_transportation,AND,31,0.4,1,7,98.56115107913669,31.17505995203837,97.90940766550523
33,lazega,AND,31,0.4,1,4,100.0,32.3943661971831,100.0
34,er2,AND,31,0.4,1,7,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,20,94.19999999999999,31.0,91.5942028985507
36,er5,AND,31,0.4,1,4,39.300000000000004,31.0,12.028985507246384
37,sf2,AND,31,0.4,1,3,62.9,31.0,46.231884057971016
38,sf3,AND,31,0.4,1,2,37.5,31.0,9.420289855072463
39,sf5,AND,31,0.4,1,3,40.8,31.0,14.202898550724635
40,aucs,AND,31,0.5,1,5,47.540983606557376,31.147540983606557,23.809523809523807
41,ckm_physicians,AND,31,0.5,1,4,52.282157676348554,31.12033195020747,30.722891566265073
42,eu_transportation,AND,31,0.5,1,6,88.72901678657075,31.17505995203837,83.62369337979095
43,lazega,AND,31,0.5,1,7,73.23943661971832,32.3943661971831,60.41666666666667
44,er2,AND,31,0.5,1,9,51.4,31.0,29.565217391304344
45,er3,AND,31,0.5,1,3,34.2,31.0,4.637681159420294
46,er5,AND,31,0.5,1,3,32.5,31.0,2.1739130434782608
47,sf2,AND,31,0.5,1,7,61.1,31.0,43.6231884057971
48,sf3,AND,31,0.5,1,2,36.1,31.0,7.391304347826089
49,sf5,AND,31,0.5,1,2,35.0,31.0,5.797101449275362
50,aucs,AND,31,0.6,1,1,36.0655737704918,31.147540983606557,7.142857142857142
51,ckm_physicians,AND,31,0.6,1,4,52.282157676348554,31.12033195020747,30.722891566265073
52,eu_transportation,AND,31,0.6,1,6,88.72901678657075,31.17505995203837,83.62369337979095
53,lazega,AND,31,0.6,1,1,33.80281690140845,32.3943661971831,2.083333333333323
54,er2,AND,31,0.6,1,7,47.199999999999996,31.0,23.47826086956521
55,er3,AND,31,0.6,1,2,33.7,31.0,3.9130434782608736
56,er5,AND,31,0.6,1,2,31.6,31.0,0.8695652173913064
57,sf2,AND,31,0.6,1,8,60.6,31.0,42.89855072463768
58,sf3,AND,31,0.6,1,2,36.1,31.0,7.391304347826089
59,sf5,AND,31,0.6,1,2,34.699999999999996,31.0,5.362318840579704
60,aucs,AND,31,0.7000000000000001,1,2,36.0655737704918,31.147540983606557,7.142857142857142
61,ckm_physicians,AND,31,0.7000000000000001,1,1,38.589211618257266,31.12033195020747,10.843373493975912
62,eu_transportation,AND,31,0.7000000000000001,1,3,82.9736211031175,31.17505995203837,75.26132404181183
63,lazega,AND,31,0.7000000000000001,1,0,32.3943661971831,32.3943661971831,0.0
64,er2,AND,31,0.7000000000000001,1,3,35.8,31.0,6.956521739130431
65,er3,AND,31,0.7000000000000001,1,1,31.7,31.0,1.0144927536231874
66,er5,AND,31,0.7000000000000001,1,1,31.1,31.0,0.14492753623188612
67,sf2,AND,31,0.7000000000000001,1,3,46.6,31.0,22.608695652173918
68,sf3,AND,31,0.7000000000000001,1,1,33.6,31.0,3.768115942028987
69,sf5,AND,31,0.7000000000000001,1,1,31.6,31.0,0.8695652173913064
70,aucs,AND,31,0.8,1,1,32.78688524590164,31.147540983606557,2.3809523809523774
71,ckm_physicians,AND,31,0.8,1,1,36.09958506224066,31.12033195020747,7.228915662650603
72,eu_transportation,AND,31,0.8,1,2,78.41726618705036,31.17505995203837,68.6411149825784
73,lazega,AND,31,0.8,1,0,32.3943661971831,32.3943661971831,0.0
74,er2,AND,31,0.8,1,1,32.4,31.0,2.0289855072463747
75,er3,AND,31,0.8,1,1,31.4,31.0,0.5797101449275341
76,er5,AND,31,0.8,1,0,31.0,31.0,0.0
77,sf2,AND,31,0.8,1,1,40.5,31.0,13.768115942028986
78,sf3,AND,31,0.8,1,1,32.1,31.0,1.5942028985507266
79,sf5,AND,31,0.8,1,1,31.1,31.0,0.14492753623188612
80,aucs,AND,31,0.9,1,1,32.78688524590164,31.147540983606557,2.3809523809523774
81,ckm_physicians,AND,31,0.9,1,1,36.09958506224066,31.12033195020747,7.228915662650603
82,eu_transportation,AND,31,0.9,1,1,76.97841726618705,31.17505995203837,66.55052264808363
83,lazega,AND,31,0.9,1,0,32.3943661971831,32.3943661971831,0.0
84,er2,AND,31,0.9,1,1,32.1,31.0,1.5942028985507266
85,er3,AND,31,0.9,1,1,31.3,31.0,0.4347826086956532
86,er5,AND,31,0.9,1,0,31.0,31.0,0.0
87,sf2,AND,31,0.9,1,1,40.2,31.0,13.333333333333337
88,sf3,AND,31,0.9,1,1,32.1,31.0,1.5942028985507266
89,sf5,AND,31,0.9,1,1,31.1,31.0,0.14492753623188612
90,aucs,AND,32,0.1,1,3,96.72131147540983,32.78688524590164,95.12195121951218
91,ckm_physicians,AND,32,0.1,1,4,97.5103734439834,32.365145228215766,96.31901840490796
92,eu_transportation,AND,32,0.1,1,3,100.0,32.13429256594724,100.0
93,lazega,AND,32,0.1,1,2,100.0,32.3943661971831,100.0
94,er2,AND,32,0.1,1,4,99.4,32.0,99.11764705882354
95,er3,AND,32,0.1,1,5,96.5,32.0,94.8529411764706
96,er5,AND,32,0.1,1,3,97.89999999999999,32.0,96.91176470588233
97,sf2,AND,32,0.1,1,2,63.0,32.0,45.588235294117645
98,sf3,AND,32,0.1,1,3,39.2,32.0,10.58823529411765
99,sf5,AND,32,0.1,1,3,46.300000000000004,32.0,21.029411764705888
100,aucs,AND,32,0.2,1,3,96.72131147540983,32.78688524590164,95.12195121951218
101,ckm_physicians,AND,32,0.2,1,6,97.5103734439834,32.365145228215766,96.31901840490796
102,eu_transportation,AND,32,0.2,1,3,100.0,32.13429256594724,100.0
103,lazega,AND,32,0.2,1,2,100.0,32.3943661971831,100.0
104,er2,AND,32,0.2,1,5,99.4,32.0,99.11764705882354
105,er3,AND,32,0.2,1,5,96.5,32.0,94.8529411764706
106,er5,AND,32,0.2,1,5,97.89999999999999,32.0,96.91176470588233
107,sf2,AND,32,0.2,1,2,63.0,32.0,45.588235294117645
108,sf3,AND,32,0.2,1,3,39.2,32.0,10.58823529411765
109,sf5,AND,32,0.2,1,3,46.0,32.0,20.58823529411765
110,aucs,AND,32,0.30000000000000004,1,4,96.72131147540983,32.78688524590164,95.12195121951218
111,ckm_physicians,AND,32,0.30000000000000004,1,11,97.5103734439834,32.365145228215766,96.31901840490796
112,eu_transportation,AND,32,0.30000000000000004,1,4,100.0,32.13429256594724,100.0
113,lazega,AND,32,0.30000000000000004,1,3,100.0,32.3943661971831,100.0
114,er2,AND,32,0.30000000000000004,1,5,99.4,32.0,99.11764705882354
115,er3,AND,32,0.30000000000000004,1,7,96.5,32.0,94.8529411764706
116,er5,AND,32,0.30000000000000004,1,5,97.89999999999999,32.0,96.91176470588233
117,sf2,AND,32,0.30000000000000004,1,2,63.0,32.0,45.588235294117645
118,sf3,AND,32,0.30000000000000004,1,2,38.5,32.0,9.558823529411764
119,sf5,AND,32,0.30000000000000004,1,4,45.9,32.0,20.441176470588232
120,aucs,AND,32,0.4,1,3,77.04918032786885,32.78688524590164,65.85365853658536
121,ckm_physicians,AND,32,0.4,1,8,83.81742738589212,32.365145228215766,76.07361963190185
122,eu_transportation,AND,32,0.4,1,7,98.56115107913669,32.13429256594724,97.87985865724382
123,lazega,AND,32,0.4,1,4,100.0,32.3943661971831,100.0
124,er2,AND,32,0.4,1,7,99.4,32.0,99.11764705882354
125,er3,AND,32,0.4,1,20,94.19999999999999,32.0,91.4705882352941
126,er5,AND,32,0.4,1,11,43.2,32.0,16.47058823529412
127,sf2,AND,32,0.4,1,3,63.0,32.0,45.588235294117645
128,sf3,AND,32,0.4,1,2,38.3,32.0,9.264705882352938
129,sf5,AND,32,0.4,1,3,41.4,32.0,13.823529411764705
130,aucs,AND,32,0.5,1,3,47.540983606557376,32.78688524590164,21.95121951219512
131,ckm_physicians,AND,32,0.5,1,4,55.601659751037346,32.365145228215766,34.3558282208589
132,eu_transportation,AND,32,0.5,1,6,88.72901678657075,32.13429256594724,83.39222614840992
133,lazega,AND,32,0.5,1,7,73.23943661971832,32.3943661971831,60.41666666666667
134,er2,AND,32,0.5,1,11,55.2,32.0,34.117647058823536
135,er3,AND,32,0.5,1,3,36.3,32.0,6.323529411764702
136,er5,AND,32,0.5,1,3,33.5,32.0,2.2058823529411766
137,sf2,AND,32,0.5,1,5,61.199999999999996,32.0,42.94117647058823
138,sf3,AND,32,0.5,1,2,37.2,32.0,7.647058823529415
139,sf5,AND,32,0.5,1,3,36.4,32.0,6.470588235294116
140,aucs,AND,32,0.6,1,1,37.704918032786885,32.78688524590164,7.31707317073171
141,ckm_physicians,AND,32,0.6,1,4,55.601659751037346,32.365145228215766,34.3558282208589
142,eu_transportation,AND,32,0.6,1,6,88.72901678657075,32.13429256594724,83.39222614840992
143,lazega,AND,32,0.6,1,1,33.80281690140845,32.3943661971831,2.083333333333323
144,er2,AND,32,0.6,1,10,51.300000000000004,32.0,28.382352941176478
145,er3,AND,32,0.6,1,3,35.8,32.0,5.588235294117643
146,er5,AND,32,0.6,1,2,32.800000000000004,32.0,1.1764705882353004
147,sf2,AND,32,0.6,1,8,60.699999999999996,32.0,42.20588235294117
148,sf3,AND,32,0.6,1,2,37.2,32.0,7.647058823529415
149,sf5,AND,32,0.6,1,4,36.1,32.0,6.029411764705884
150,aucs,AND,32,0.7000000000000001,1,2,37.704918032786885,32.78688524590164,7.31707317073171
151,ckm_physicians,AND,32,0.7000000000000001,1,1,40.24896265560166,32.365145228215766,11.656441717791413
152,eu_transportation,AND,32,0.7000000000000001,1,3,83.69304556354916,32.13429256594724,75.97173144876326
153,lazega,AND,32,0.7000000000000001,1,0,32.3943661971831,32.3943661971831,0.0
154,er2,AND,32,0.7000000000000001,1,3,37.6,32.0,8.23529411764706
155,er3,AND,32,0.7000000000000001,1,1,32.800000000000004,32.0,1.1764705882353004
156,er5,AND,32,0.7000000000000001,1,1,32.1,32.0,0.14705882352941385
157,sf2,AND,32,0.7000000000000001,1,3,48.3,32.0,23.970588235294116
158,sf3,AND,32,0.7000000000000001,1,1,34.699999999999996,32.0,3.970588235294111
159,sf5,AND,32,0.7000000000000001,1,1,32.7,32.0,1.0294117647058865
160,aucs,AND,32,0.8,1,1,34.42622950819672,32.78688524590164,2.4390243902439033
161,ckm_physicians,AND,32,0.8,1,1,37.344398340248965,32.365145228215766,7.3619631901840545
162,eu_transportation,AND,32,0.8,1,2,79.13669064748201,32.13429256594724,69.25795053003534
163,lazega,AND,32,0.8,1,0,32.3943661971831,32.3943661971831,0.0
164,er2,AND,32,0.8,1,1,33.6,32.0,2.3529411764705905
165,er3,AND,32,0.8,1,1,32.4,32.0,0.588235294117645
166,er5,AND,32,0.8,1,0,32.0,32.0,0.0
167,sf2,AND,32,0.8,1,1,42.0,32.0,14.705882352941176
168,sf3,AND,32,0.8,1,1,33.1,32.0,1.6176470588235314
169,sf5,AND,32,0.8,1,1,32.1,32.0,0.14705882352941385
170,aucs,AND,32,0.9,1,1,34.42622950819672,32.78688524590164,2.4390243902439033
171,ckm_physicians,AND,32,0.9,1,1,37.344398340248965,32.365145228215766,7.3619631901840545
172,eu_transportation,AND,32,0.9,1,1,78.17745803357315,32.13429256594724,67.8445229681979
173,lazega,AND,32,0.9,1,0,32.3943661971831,32.3943661971831,0.0
174,er2,AND,32,0.9,1,1,33.300000000000004,32.0,1.9117647058823592
175,er3,AND,32,0.9,1,1,32.300000000000004,32.0,0.44117647058824155
176,er5,AND,32,0.9,1,0,32.0,32.0,0.0
177,sf2,AND,32,0.9,1,1,41.5,32.0,13.970588235294118
178,sf3,AND,32,0.9,1,1,33.1,32.0,1.6176470588235314
179,sf5,AND,32,0.9,1,1,32.1,32.0,0.14705882352941385
180,aucs,AND,33,0.1,1,3,96.72131147540983,34.42622950819672,94.99999999999999
181,ckm_physicians,AND,33,0.1,1,4,97.5103734439834,33.19502074688796,96.27329192546583
182,eu_transportation,AND,33,0.1,1,3,100.0,33.093525179856115,100.0
183,lazega,AND,33,0.1,1,2,100.0,33.80281690140845,100.0
184,er2,AND,33,0.1,1,4,99.4,33.0,99.10447761194031
