,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,96.72131147540983,31.147540983606557,95.23809523809523
1,ckm_physicians,AND,31,0.1,1,3,99.1701244813278,31.12033195020747,98.79518072289157
2,eu_transportation,AND,31,0.1,1,3,100.0,31.17505995203837,100.0
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,4,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,5,96.5,31.0,94.92753623188406
6,er5,AND,31,0.1,1,3,97.89999999999999,31.0,96.95652173913042
7,sf2,AND,31,0.1,1,2,63.0,31.0,46.3768115942029
8,sf3,AND,31,0.1,1,3,39.0,31.0,11.594202898550725
9,sf5,AND,31,0.1,1,3,45.800000000000004,31.0,21.449275362318847
10,aucs,AND,31,0.2,1,3,96.72131147540983,31.147540983606557,95.23809523809523
11,ckm_physicians,AND,31,0.2,1,3,99.1701244813278,31.12033195020747,98.79518072289157
12,eu_transportation,AND,31,0.2,1,3,100.0,31.17505995203837,100.0
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,4,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,5,96.5,31.0,94.92753623188406
16,er5,AND,31,0.2,1,5,97.89999999999999,31.0,96.95652173913042
17,sf2,AND,31,0.2,1,2,63.0,31.0,46.3768115942029
18,sf3,AND,31,0.2,1,3,39.0,31.0,11.594202898550725
19,sf5,AND,31,0.2,1,3,45.5,31.0,21.014492753623188
20,aucs,AND,31,0.30000000000000004,1,3,96.72131147540983,31.147540983606557,95.23809523809523
21,ckm_physicians,AND,31,0.30000000000000004,1,5,99.1701244813278,31.12033195020747,98.79518072289157
22,eu_transportation,AND,31,0.30000000000000004,1,3,100.0,31.17505995203837,100.0
23,lazega,AND,31,0.30000000000000004,1,3,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,4,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,7,96.5,31.0,94.92753623188406
26,er5,AND,31,0.30000000000000004,1,7,97.89999999999999,31.0,96.95652173913042
27,sf2,AND,31,0.30000000000000004,1,2,63.0,31.0,46.3768115942029
28,sf3,AND,31,0.30000000000000004,1,2,38.3,31.0,10.579710144927533
29,sf5,AND,31,0.30000000000000004,1,4,45.1,31.0,20.434782608695656
30,aucs,AND,31,0.4,1,5,78.68852459016394,31.147540983606557,69.04761904761905
31,ckm_physicians,AND,31,0.4,1,8,84.23236514522821,31.12033195020747,77.10843373493975
32,eu_transportation,AND,31,0.4,1,4,100.0,31.17505995203837,100.0
33,lazega,AND,31,0.4,1,4,100.0,32.3943661971831,100.0
34,er2,AND,31,0.4,1,6,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,21,94.19999999999999,31.0,91.5942028985507
36,er5,AND,31,0.4,1,6,40.300000000000004,31.0,13.478260869565224
37,sf2,AND,31,0.4,1,3,63.0,31.0,46.3768115942029
38,sf3,AND,31,0.4,1,2,37.9,31.0,9.999999999999998
39,sf5,AND,31,0.4,1,3,40.5,31.0,13.768115942028986
40,aucs,AND,31,0.5,1,1,36.0655737704918,31.147540983606557,7.142857142857142
41,ckm_physicians,AND,31,0.5,1,3,51.45228215767634,31.12033195020747,29.51807228915662
42,eu_transportation,AND,31,0.5,1,6,92.08633093525181,31.17505995203837,88.50174216027877
43,lazega,AND,31,0.5,1,7,73.23943661971832,32.3943661971831,60.41666666666667
44,er2,AND,31,0.5,1,12,55.900000000000006,31.0,36.08695652173914
45,er3,AND,31,0.5,1,3,34.599999999999994,31.0,5.217391304347818
46,er5,AND,31,0.5,1,3,32.7,31.0,2.4637681159420333
47,sf2,AND,31,0.5,1,4,61.199999999999996,31.0,43.76811594202898
48,sf3,AND,31,0.5,1,2,36.4,31.0,7.8260869565217375
49,sf5,AND,31,0.5,1,2,34.9,31.0,5.652173913043477
50,aucs,AND,31,0.6,1,1,36.0655737704918,31.147540983606557,7.142857142857142
51,ckm_physicians,AND,31,0.6,1,3,50.62240663900415,31.12033195020747,28.313253012048193
52,eu_transportation,AND,31,0.6,1,6,92.08633093525181,31.17505995203837,88.50174216027877
53,lazega,AND,31,0.6,1,1,33.80281690140845,32.3943661971831,2.083333333333323
54,er2,AND,31,0.6,1,10,51.7,31.0,30.000000000000007
55,er3,AND,31,0.6,1,2,34.5,31.0,5.072463768115942
56,er5,AND,31,0.6,1,2,31.7,31.0,1.0144927536231874
57,sf2,AND,31,0.6,1,6,60.9,31.0,43.333333333333336
58,sf3,AND,31,0.6,1,2,36.4,31.0,7.8260869565217375
59,sf5,AND,31,0.6,1,2,34.699999999999996,31.0,5.362318840579704
60,aucs,AND,31,0.7000000000000001,1,2,36.0655737704918,31.147540983606557,7.142857142857142
61,ckm_physicians,AND,31,0.7000000000000001,1,1,38.589211618257266,31.12033195020747,10.843373493975912
62,eu_transportation,AND,31,0.7000000000000001,1,4,85.37170263788968,31.17505995203837,78.74564459930312
63,lazega,AND,31,0.7000000000000001,1,0,32.3943661971831,32.3943661971831,0.0
64,er2,AND,31,0.7000000000000001,1,3,37.1,31.0,8.84057971014493
65,er3,AND,31,0.7000000000000001,1,1,32.0,31.0,1.4492753623188406
66,er5,AND,31,0.7000000000000001,1,1,31.1,31.0,0.14492753623188612
67,sf2,AND,31,0.7000000000000001,1,3,47.0,31.0,23.18840579710145
68,sf3,AND,31,0.7000000000000001,1,1,33.800000000000004,31.0,4.05797101449276
69,sf5,AND,31,0.7000000000000001,1,1,31.7,31.0,1.0144927536231874
70,aucs,AND,31,0.8,1,1,32.78688524590164,31.147540983606557,2.3809523809523774
71,ckm_physicians,AND,31,0.8,1,1,35.26970954356847,31.12033195020747,6.024096385542173
72,eu_transportation,AND,31,0.8,1,3,79.85611510791367,31.17505995203837,70.73170731707317
73,lazega,AND,31,0.8,1,0,32.3943661971831,32.3943661971831,0.0
74,er2,AND,31,0.8,1,1,32.9,31.0,2.753623188405795
75,er3,AND,31,0.8,1,1,31.6,31.0,0.8695652173913064
76,er5,AND,31,0.8,1,0,31.0,31.0,0.0
77,sf2,AND,31,0.8,1,1,40.699999999999996,31.0,14.057971014492747
78,sf3,AND,31,0.8,1,1,32.2,31.0,1.7391304347826129
79,sf5,AND,31,0.8,1,1,31.1,31.0,0.14492753623188612
80,aucs,AND,31,0.9,1,1,32.78688524590164,31.147540983606557,2.3809523809523774
81,ckm_physicians,AND,31,0.9,1,1,35.26970954356847,31.12033195020747,6.024096385542173
82,eu_transportation,AND,31,0.9,1,1,77.6978417266187,31.17505995203837,67.595818815331
83,lazega,AND,31,0.9,1,0,32.3943661971831,32.3943661971831,0.0
84,er2,AND,31,0.9,1,1,32.4,31.0,2.0289855072463747
85,er3,AND,31,0.9,1,1,31.5,31.0,0.7246376811594203
86,er5,AND,31,0.9,1,0,31.0,31.0,0.0
87,sf2,AND,31,0.9,1,1,40.300000000000004,31.0,13.478260869565224
88,sf3,AND,31,0.9,1,1,32.2,31.0,1.7391304347826129
89,sf5,AND,31,0.9,1,1,31.1,31.0,0.14492753623188612
90,aucs,AND,32,0.1,1,3,96.72131147540983,32.78688524590164,95.12195121951218
91,ckm_physicians,AND,32,0.1,1,3,99.1701244813278,32.365145228215766,98.77300613496932
92,eu_transportation,AND,32,0.1,1,3,100.0,32.13429256594724,100.0
93,lazega,AND,32,0.1,1,2,100.0,32.3943661971831,100.0
94,er2,AND,32,0.1,1,4,99.4,32.0,99.11764705882354
95,er3,AND,32,0.1,1,5,96.5,32.0,94.8529411764706
96,er5,AND,32,0.1,1,3,97.89999999999999,32.0,96.91176470588233
97,sf2,AND,32,0.1,1,2,63.0,32.0,45.588235294117645
98,sf3,AND,32,0.1,1,3,39.7,32.0,11.32352941176471
99,sf5,AND,32,0.1,1,3,46.2,32.0,20.882352941176475
100,aucs,AND,32,0.2,1,3,96.72131147540983,32.78688524590164,95.12195121951218
101,ckm_physicians,AND,32,0.2,1,3,99.1701244813278,32.365145228215766,98.77300613496932
102,eu_transportation,AND,32,0.2,1,3,100.0,32.13429256594724,100.0
103,lazega,AND,32,0.2,1,2,100.0,32.3943661971831,100.0
104,er2,AND,32,0.2,1,4,99.4,32.0,99.11764705882354
105,er3,AND,32,0.2,1,5,96.5,32.0,94.8529411764706
106,er5,AND,32,0.2,1,4,97.89999999999999,32.0,96.91176470588233
107,sf2,AND,32,0.2,1,2,63.0,32.0,45.588235294117645
108,sf3,AND,32,0.2,1,3,39.7,32.0,11.32352941176471
109,sf5,AND,32,0.2,1,3,45.9,32.0,20.441176470588232
110,aucs,AND,32,0.30000000000000004,1,3,96.72131147540983,32.78688524590164,95.12195121951218
111,ckm_physicians,AND,32,0.30000000000000004,1,4,99.1701244813278,32.365145228215766,98.77300613496932
112,eu_transportation,AND,32,0.30000000000000004,1,3,100.0,32.13429256594724,100.0
113,lazega,AND,32,0.30000000000000004,1,3,100.0,32.3943661971831,100.0
114,er2,AND,32,0.30000000000000004,1,4,99.4,32.0,99.11764705882354
115,er3,AND,32,0.30000000000000004,1,7,96.5,32.0,94.8529411764706
