,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,3,91.80327868852459,31.147540983606557,88.09523809523809
1,aucs,AND,31,0.1,2,4,91.80327868852459,31.147540983606557,88.09523809523809
2,aucs,AND,31,0.1,3,3,100.0,31.147540983606557,100.0
3,aucs,AND,31,0.1,4,3,91.80327868852459,31.147540983606557,88.09523809523809
4,aucs,AND,31,0.1,5,3,83.60655737704919,31.147540983606557,76.1904761904762
5,aucs,AND,31,0.1,6,3,90.1639344262295,31.147540983606557,85.71428571428571
6,aucs,AND,31,0.1,7,4,96.72131147540983,31.147540983606557,95.23809523809523
7,aucs,AND,31,0.1,8,2,88.52459016393442,31.147540983606557,83.33333333333333
8,aucs,AND,31,0.1,9,3,91.80327868852459,31.147540983606557,88.09523809523809
9,aucs,AND,31,0.1,10,3,88.52459016393442,31.147540983606557,83.33333333333333
10,aucs,AND,31,0.1,11,3,81.9672131147541,31.147540983606557,73.80952380952382
11,aucs,AND,31,0.1,12,4,90.1639344262295,31.147540983606557,85.71428571428571
12,aucs,AND,31,0.1,13,3,83.60655737704919,31.147540983606557,76.1904761904762
13,aucs,AND,31,0.1,14,4,81.9672131147541,31.147540983606557,73.80952380952382
14,aucs,AND,31,0.1,15,3,70.49180327868852,31.147540983606557,57.14285714285714
15,aucs,AND,31,0.1,16,3,86.88524590163934,31.147540983606557,80.95238095238095
16,aucs,AND,31,0.1,17,4,83.60655737704919,31.147540983606557,76.1904761904762
17,aucs,AND,31,0.1,18,3,86.88524590163934,31.147540983606557,80.95238095238095
18,aucs,AND,31,0.1,19,2,85.24590163934425,31.147540983606557,78.57142857142857
19,aucs,AND,31,0.1,20,3,93.44262295081968,31.147540983606557,90.47619047619048
20,ckm_physicians,AND,31,0.1,1,4,97.9253112033195,31.12033195020747,96.98795180722891
21,ckm_physicians,AND,31,0.1,2,6,97.9253112033195,31.12033195020747,96.98795180722891
22,ckm_physicians,AND,31,0.1,3,4,97.9253112033195,31.12033195020747,96.98795180722891
23,ckm_physicians,AND,31,0.1,4,5,99.1701244813278,31.12033195020747,98.79518072289157
24,ckm_physicians,AND,31,0.1,5,5,97.5103734439834,31.12033195020747,96.38554216867469
25,ckm_physicians,AND,31,0.1,6,4,100.0,31.12033195020747,100.0
26,ckm_physicians,AND,31,0.1,7,4,100.0,31.12033195020747,100.0
27,ckm_physicians,AND,31,0.1,8,5,98.7551867219917,31.12033195020747,98.19277108433735
