,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,1,0.1,1,0,1.5873015873015872,1.5873015873015872,0.0
1,eu_trans_1,AND,1,0.1,2,0,1.5873015873015872,1.5873015873015872,0.0
2,eu_trans_1,AND,1,0.1,3,0,1.5873015873015872,1.5873015873015872,0.0
3,eu_trans_1,AND,1,0.1,4,0,1.5873015873015872,1.5873015873015872,0.0
4,eu_trans_1,AND,1,0.1,5,0,1.5873015873015872,1.5873015873015872,0.0
5,eu_trans_1,AND,1,0.1,6,0,1.5873015873015872,1.5873015873015872,0.0
6,eu_trans_1,AND,1,0.1,7,0,1.5873015873015872,1.5873015873015872,0.0
7,eu_trans_1,AND,1,0.1,8,0,1.5873015873015872,1.5873015873015872,0.0
8,eu_trans_1,AND,1,0.1,9,0,1.5873015873015872,1.5873015873015872,0.0
9,eu_trans_1,AND,1,0.1,10,0,1.5873015873015872,1.5873015873015872,0.0
10,eu_trans_1,AND,1,0.1,11,0,1.5873015873015872,1.5873015873015872,0.0
11,eu_trans_1,AND,1,0.1,12,0,1.5873015873015872,1.5873015873015872,0.0
12,eu_trans_1,AND,1,0.1,13,0,1.5873015873015872,1.5873015873015872,0.0
13,eu_trans_1,AND,1,0.1,14,0,1.5873015873015872,1.5873015873015872,0.0
14,eu_trans_1,AND,1,0.1,15,0,1.5873015873015872,1.5873015873015872,0.0
15,eu_trans_1,AND,1,0.1,16,0,1.5873015873015872,1.5873015873015872,0.0
16,eu_trans_1,AND,1,0.1,17,0,1.5873015873015872,1.5873015873015872,0.0
17,eu_trans_1,AND,1,0.1,18,0,1.5873015873015872,1.5873015873015872,0.0
18,eu_trans_1,AND,1,0.1,19,0,1.5873015873015872,1.5873015873015872,0.0
19,eu_trans_1,AND,1,0.1,20,0,1.5873015873015872,1.5873015873015872,0.0
20,er1,AND,1,0.1,1,5,100.0,1.0,100.0
21,er1,AND,1,0.1,2,5,100.0,1.0,100.0
22,er1,AND,1,0.1,3,5,100.0,1.0,100.0
23,er1,AND,1,0.1,4,5,100.0,1.0,100.0
24,er1,AND,1,0.1,5,5,100.0,1.0,100.0
