,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,eu_trans_1,AND,31,0.1,1,2,100.0,31.746031746031743,100.0
1,eu_trans_1,AND,31,0.1,2,1,100.0,31.746031746031743,100.0
2,eu_trans_1,AND,31,0.1,3,2,100.0,31.746031746031743,100.0
3,eu_trans_1,AND,31,0.1,4,2,100.0,31.746031746031743,100.0
4,eu_trans_1,AND,31,0.1,5,1,100.0,31.746031746031743,100.0
5,eu_trans_1,AND,31,0.1,6,2,100.0,31.746031746031743,100.0
6,eu_trans_1,AND,31,0.1,7,2,100.0,31.746031746031743,100.0
7,eu_trans_1,AND,31,0.1,8,2,100.0,31.746031746031743,100.0
8,eu_trans_1,AND,31,0.1,9,2,100.0,31.746031746031743,100.0
9,eu_trans_1,AND,31,0.1,10,1,100.0,31.746031746031743,100.0
10,eu_trans_1,AND,31,0.1,11,2,100.0,31.746031746031743,100.0
11,eu_trans_1,AND,31,0.1,12,1,100.0,31.746031746031743,100.0
12,eu_trans_1,AND,31,0.1,13,1,100.0,31.746031746031743,100.0
13,eu_trans_1,AND,31,0.1,14,2,100.0,31.746031746031743,100.0
14,eu_trans_1,AND,31,0.1,15,1,100.0,31.746031746031743,100.0
15,eu_trans_1,AND,31,0.1,16,1,100.0,31.746031746031743,100.0
16,eu_trans_1,AND,31,0.1,17,2,100.0,31.746031746031743,100.0
17,eu_trans_1,AND,31,0.1,18,2,100.0,31.746031746031743,100.0
18,eu_trans_1,AND,31,0.1,19,1,100.0,31.746031746031743,100.0
19,eu_trans_1,AND,31,0.1,20,2,100.0,31.746031746031743,100.0
20,er1,AND,31,0.1,1,3,100.0,31.0,100.0
21,er1,AND,31,0.1,2,3,100.0,31.0,100.0
22,er1,AND,31,0.1,3,3,100.0,31.0,100.0
23,er1,AND,31,0.1,4,3,100.0,31.0,100.0
24,er1,AND,31,0.1,5,3,100.0,31.0,100.0
25,er1,AND,31,0.1,6,3,100.0,31.0,100.0
26,er1,AND,31,0.1,7,3,100.0,31.0,100.0
27,er1,AND,31,0.1,8,3,100.0,31.0,100.0
28,er1,AND,31,0.1,9,3,100.0,31.0,100.0
29,er1,AND,31,0.1,10,3,100.0,31.0,100.0
30,er1,AND,31,0.1,11,3,100.0,31.0,100.0
31,er1,AND,31,0.1,12,2,100.0,31.0,100.0
32,er1,AND,31,0.1,13,3,100.0,31.0,100.0
33,er1,AND,31,0.1,14,3,100.0,31.0,100.0
34,er1,AND,31,0.1,15,2,100.0,31.0,100.0
35,er1,AND,31,0.1,16,3,100.0,31.0,100.0
36,er1,AND,31,0.1,17,3,100.0,31.0,100.0
37,er1,AND,31,0.1,18,3,100.0,31.0,100.0
38,er1,AND,31,0.1,19,3,100.0,31.0,100.0
39,er1,AND,31,0.1,20,3,100.0,31.0,100.0
40,sf1,AND,31,0.1,1,3,95.6,31.0,93.6231884057971
41,sf1,AND,31,0.1,2,2,95.0,31.0,92.7536231884058
42,sf1,AND,31,0.1,3,2,94.89999999999999,31.0,92.6086956521739
43,sf1,AND,31,0.1,4,2,95.5,31.0,93.47826086956522
44,sf1,AND,31,0.1,5,2,95.39999999999999,31.0,93.33333333333331
45,sf1,AND,31,0.1,6,2,95.5,31.0,93.47826086956522
46,sf1,AND,31,0.1,7,3,95.3,31.0,93.18840579710145
47,sf1,AND,31,0.1,8,3,96.2,31.0,94.4927536231884
48,sf1,AND,31,0.1,9,3,95.19999999999999,31.0,93.04347826086955
49,sf1,AND,31,0.1,10,3,95.39999999999999,31.0,93.33333333333331
50,sf1,AND,31,0.1,11,3,95.5,31.0,93.47826086956522
51,sf1,AND,31,0.1,12,2,95.6,31.0,93.6231884057971
52,sf1,AND,31,0.1,13,2,95.39999999999999,31.0,93.33333333333331
53,sf1,AND,31,0.1,14,2,95.5,31.0,93.47826086956522
54,sf1,AND,31,0.1,15,2,94.89999999999999,31.0,92.6086956521739
55,sf1,AND,31,0.1,16,2,95.39999999999999,31.0,93.33333333333331
56,sf1,AND,31,0.1,17,2,94.69999999999999,31.0,92.31884057971013
57,sf1,AND,31,0.1,18,2,95.8,31.0,93.91304347826087
58,sf1,AND,31,0.1,19,2,95.19999999999999,31.0,93.04347826086955
59,sf1,AND,31,0.1,20,3,96.3,31.0,94.6376811594203
60,eu_trans_1,AND,31,0.2,1,1,100.0,31.746031746031743,100.0
61,eu_trans_1,AND,31,0.2,2,2,100.0,31.746031746031743,100.0
62,eu_trans_1,AND,31,0.2,3,1,100.0,31.746031746031743,100.0
63,eu_trans_1,AND,31,0.2,4,2,100.0,31.746031746031743,100.0
64,eu_trans_1,AND,31,0.2,5,1,100.0,31.746031746031743,100.0
65,eu_trans_1,AND,31,0.2,6,2,100.0,31.746031746031743,100.0
66,eu_trans_1,AND,31,0.2,7,1,100.0,31.746031746031743,100.0
67,eu_trans_1,AND,31,0.2,8,1,100.0,31.746031746031743,100.0
68,eu_trans_1,AND,31,0.2,9,1,100.0,31.746031746031743,100.0
69,eu_trans_1,AND,31,0.2,10,2,100.0,31.746031746031743,100.0
70,eu_trans_1,AND,31,0.2,11,2,100.0,31.746031746031743,100.0
71,eu_trans_1,AND,31,0.2,12,2,100.0,31.746031746031743,100.0
72,eu_trans_1,AND,31,0.2,13,1,100.0,31.746031746031743,100.0
73,eu_trans_1,AND,31,0.2,14,2,100.0,31.746031746031743,100.0
74,eu_trans_1,AND,31,0.2,15,2,100.0,31.746031746031743,100.0
75,eu_trans_1,AND,31,0.2,16,1,100.0,31.746031746031743,100.0
76,eu_trans_1,AND,31,0.2,17,2,100.0,31.746031746031743,100.0
77,eu_trans_1,AND,31,0.2,18,2,100.0,31.746031746031743,100.0
78,eu_trans_1,AND,31,0.2,19,1,100.0,31.746031746031743,100.0
79,eu_trans_1,AND,31,0.2,20,2,100.0,31.746031746031743,100.0
80,er1,AND,31,0.2,1,4,100.0,31.0,100.0
81,er1,AND,31,0.2,2,3,100.0,31.0,100.0
82,er1,AND,31,0.2,3,3,100.0,31.0,100.0
83,er1,AND,31,0.2,4,3,100.0,31.0,100.0
84,er1,AND,31,0.2,5,3,100.0,31.0,100.0
85,er1,AND,31,0.2,6,3,100.0,31.0,100.0
86,er1,AND,31,0.2,7,4,100.0,31.0,100.0
87,er1,AND,31,0.2,8,3,100.0,31.0,100.0
88,er1,AND,31,0.2,9,3,100.0,31.0,100.0
89,er1,AND,31,0.2,10,4,100.0,31.0,100.0
90,er1,AND,31,0.2,11,3,100.0,31.0,100.0
