,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,AND,31,0.1,1,2,93.44262295081968,31.147540983606557,90.47619047619048
1,ckm_physicians,AND,31,0.1,1,3,97.5103734439834,31.12033195020747,96.38554216867469
2,eu_transportation,AND,31,0.1,1,3,35.73141486810552,31.17505995203837,6.620209059233449
3,lazega,AND,31,0.1,1,2,100.0,32.3943661971831,100.0
4,er2,AND,31,0.1,1,3,99.4,31.0,99.1304347826087
5,er3,AND,31,0.1,1,4,96.6,31.0,95.07246376811592
6,er5,AND,31,0.1,1,3,97.6,31.0,96.52173913043477
7,sf2,AND,31,0.1,1,2,63.9,31.0,47.68115942028985
8,sf3,AND,31,0.1,1,3,42.6,31.0,16.811594202898554
9,sf5,AND,31,0.1,1,3,48.3,31.0,25.072463768115938
10,aucs,AND,31,0.2,1,2,93.44262295081968,31.147540983606557,90.47619047619048
11,ckm_physicians,AND,31,0.2,1,3,97.5103734439834,31.12033195020747,96.38554216867469
12,eu_transportation,AND,31,0.2,1,1,34.05275779376499,31.17505995203837,4.181184668989546
13,lazega,AND,31,0.2,1,2,100.0,32.3943661971831,100.0
14,er2,AND,31,0.2,1,3,99.4,31.0,99.1304347826087
15,er3,AND,31,0.2,1,4,96.6,31.0,95.07246376811592
16,er5,AND,31,0.2,1,4,97.6,31.0,96.52173913043477
17,sf2,AND,31,0.2,1,2,63.9,31.0,47.68115942028985
18,sf3,AND,31,0.2,1,3,42.6,31.0,16.811594202898554
19,sf5,AND,31,0.2,1,3,48.1,31.0,24.782608695652176
20,aucs,AND,31,0.30000000000000004,1,7,93.44262295081968,31.147540983606557,90.47619047619048
21,ckm_physicians,AND,31,0.30000000000000004,1,7,97.5103734439834,31.12033195020747,96.38554216867469
22,eu_transportation,AND,31,0.30000000000000004,1,1,33.81294964028777,31.17505995203837,3.832752613240415
23,lazega,AND,31,0.30000000000000004,1,2,100.0,32.3943661971831,100.0
24,er2,AND,31,0.30000000000000004,1,4,99.4,31.0,99.1304347826087
25,er3,AND,31,0.30000000000000004,1,5,96.6,31.0,95.07246376811592
26,er5,AND,31,0.30000000000000004,1,6,97.6,31.0,96.52173913043477
27,sf2,AND,31,0.30000000000000004,1,2,63.9,31.0,47.68115942028985
28,sf3,AND,31,0.30000000000000004,1,3,42.1,31.0,16.086956521739133
29,sf5,AND,31,0.30000000000000004,1,4,47.599999999999994,31.0,24.057971014492747
30,aucs,AND,31,0.4,1,7,68.85245901639344,31.147540983606557,54.76190476190475
31,ckm_physicians,AND,31,0.4,1,9,83.81742738589212,31.12033195020747,76.50602409638553
32,eu_transportation,AND,31,0.4,1,1,33.573141486810556,31.17505995203837,3.4843205574912934
33,lazega,AND,31,0.4,1,3,100.0,32.3943661971831,100.0
34,er2,AND,31,0.4,1,5,99.4,31.0,99.1304347826087
35,er3,AND,31,0.4,1,12,96.5,31.0,94.92753623188406
36,er5,AND,31,0.4,1,20,97.2,31.0,95.94202898550725
37,sf2,AND,31,0.4,1,3,63.9,31.0,47.68115942028985
38,sf3,AND,31,0.4,1,4,39.300000000000004,31.0,12.028985507246384
39,sf5,AND,31,0.4,1,5,40.6,31.0,13.913043478260871
40,aucs,AND,31,0.5,1,4,44.26229508196721,31.147540983606557,19.047619047619044
41,ckm_physicians,AND,31,0.5,1,1,42.32365145228216,31.12033195020747,16.265060240963855
42,eu_transportation,AND,31,0.5,1,1,31.414868105515588,31.17505995203837,0.3484320557491267
43,lazega,AND,31,0.5,1,4,49.29577464788733,32.3943661971831,25.0
44,er2,AND,31,0.5,1,29,85.3,31.0,78.69565217391305
45,er3,AND,31,0.5,1,3,37.9,31.0,9.999999999999998
46,er5,AND,31,0.5,1,3,32.6,31.0,2.318840579710147
47,sf2,AND,31,0.5,1,4,63.4,31.0,46.95652173913044
48,sf3,AND,31,0.5,1,3,36.4,31.0,7.8260869565217375
49,sf5,AND,31,0.5,1,2,33.2,31.0,3.188405797101453
50,aucs,AND,31,0.6,1,1,34.42622950819672,31.147540983606557,4.76190476190476
51,ckm_physicians,AND,31,0.6,1,1,42.32365145228216,31.12033195020747,16.265060240963855
52,eu_transportation,AND,31,0.6,1,1,31.414868105515588,31.17505995203837,0.3484320557491267
53,lazega,AND,31,0.6,1,0,32.3943661971831,32.3943661971831,0.0
54,er2,AND,31,0.6,1,7,57.199999999999996,31.0,37.97101449275362
55,er3,AND,31,0.6,1,2,36.7,31.0,8.260869565217394
56,er5,AND,31,0.6,1,2,31.6,31.0,0.8695652173913064
57,sf2,AND,31,0.6,1,6,63.4,31.0,46.95652173913044
58,sf3,AND,31,0.6,1,3,35.8,31.0,6.956521739130431
59,sf5,AND,31,0.6,1,2,32.6,31.0,2.318840579710147
60,aucs,AND,31,0.7000000000000001,1,1,32.78688524590164,31.147540983606557,2.3809523809523774
61,ckm_physicians,AND,31,0.7000000000000001,1,1,37.75933609958506,31.12033195020747,9.638554216867472
62,eu_transportation,AND,31,0.7000000000000001,1,1,31.414868105515588,31.17505995203837,0.3484320557491267
63,lazega,AND,31,0.7000000000000001,1,0,32.3943661971831,32.3943661971831,0.0
64,er2,AND,31,0.7000000000000001,1,3,37.9,31.0,9.999999999999998
65,er3,AND,31,0.7000000000000001,1,1,32.0,31.0,1.4492753623188406
66,er5,AND,31,0.7000000000000001,1,1,31.1,31.0,0.14492753623188612
